Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
12,K,Jake,Bates,Jake Bates,DET,0,0,0,0,0,0,173,54,0,0,91,True,0,0,28,52,0,8,9,6,5,0,6,5,22,59,15,18,14,4,7,0,15,Jake,Bates,BatesJake_1238,172.0,170.0,2.0,26.0,63.0,18.0,Signed,Normal,75.0,0.0,0.0,DET,tier_4,0.7857142857142857,0.9629629629629629,0.6470588235294118,,,,DET,-7.0
13,P,Bryce,Baringer,Bryce Baringer,NE,0,1825,2168,0,46,18,46,0,73,0,0,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0,0,0,0,15,Bryce,Baringer,BaringerBryce_23112,142.0,140.0,2.0,26.0,6.0,21.0,Signed,Normal,76.0,0.0,0.0,NE,tier_4,,,,0.2222222222222222,47.130434782608695,0.841789667896679,NE,-3.0
14,K,Andres,Borregales,Andres Borregales,NE,0,0,0,0,0,0,156,44,0,0,83,True,0,0,29,42,0,3,10,8,8,0,8,8,26,53,15,21,18,3,7,0,15,Andres,Borregales,BorregalesAndres_15364,258.0,256.0,0.0,23.0,6.0,21.0,Signed,Normal,73.0,0.0,0.0,NE,tier_5,0.896551724137931,0.9545454545454546,0.7692307692307693,,,,NE,0.0
16,P,Jamie,Gillan,Jamie Gillan,NYG,0,1917,2273,0,51,15,84,1,69,0,32,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,4,0,0,0,14,Jamie,Gillan,GillanJamie_20794,928.0,926.0,6.0,28.0,63.0,15.0,Signed,Normal,70.0,0.0,0.0,NYG,tier_5,,0.0,,0.26666666666666666,44.568627450980394,0.8433787945446546,NYG,-7.0
18,P,Kai,Kroeger,Kai Kroeger,NO,0,1897,2212,0,49,17,49,0,61,0,0,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0,0,0,1,15,Kai,Kroeger,KroegerKai_4706,1453.0,1451.0,0.0,23.0,63.0,26.0,Signed,Normal,69.0,0.0,0.0,NO,tier_6,,,,0.23529411764705882,45.142857142857146,0.8575949367088608,NO,-4.0
19,K,Cam,Little,Cam Little,JAX,0,0,0,0,0,0,157,44,0,0,84,True,0,0,29,43,0,7,9,8,5,0,8,5,25,68,15,16,28,5,7,0,15,Cam,Little,LittleCam_15006,1605.0,1603.0,1.0,22.0,6.0,16.0,Signed,College_Impact,78.0,0.0,0.0,JAX,tier_4,0.8620689655172413,0.9772727272727273,0.75,,,,JAX,-2.0
20,P,Logan,Cooke,Logan Cooke,JAX,0,2344,2613,0,55,20,55,0,63,0,0,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,15,Logan,Cooke,CookeLogan_13484,524.0,522.0,7.0,30.0,7.0,16.0,Signed,Normal,74.0,0.0,0.0,JAX,tier_5,,,,0.25,47.50909090909091,0.8970531955606582,JAX,0.0
21,K,Cairo,Santos,Cairo Santos,CHI,0,0,0,0,0,0,134,34,0,0,71,True,0,0,29,34,0,6,12,9,2,0,8,2,24,54,13,0,15,4,10,0,13,Cairo,Santos,SantosCairo_2200,2343.0,2341.0,11.0,33.0,63.0,0.0,Signed,Normal,74.0,0.0,0.0,CHI,tier_5,0.8275862068965517,1.0,0.7777777777777778,,,,CHI,2.0
22,P,Jordan,Stout,Jordan Stout,BAL,0,2156,2424,0,48,20,48,0,74,0,0,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,15,Jordan,Stout,StoutJordan_22253,2542.0,2540.0,3.0,27.0,4.0,24.0,Signed,Normal,74.0,0.0,0.0,BAL,tier_5,,,,0.3,50.5,0.8894389438943895,BAL,-1.0
23,K,Tyler,Loop,Tyler Loop,BAL,0,0,0,0,0,0,149,38,0,0,81,True,0,0,30,36,0,4,7,10,9,0,10,9,27,52,15,24,8,1,7,0,15,Tyler,Loop,LoopTyler_15363,1625.0,1623.0,0.0,24.0,6.0,24.0,Signed,Normal,77.0,0.0,0.0,BAL,tier_4,0.9,0.9473684210526315,0.7272727272727273,,,,BAL,-4.0
24,P,Rigoberto,Sanchez,Rigoberto Sanchez,IND,0,1700,1864,0,38,20,47,0,59,0,9,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2,0,0,0,15,Rigoberto,Sanchez,SanchezRigoberto_12930,2335.0,2333.0,8.0,30.0,63.0,9.0,Signed,Normal,82.0,0.0,0.0,IND,tier_3,,,,0.15,49.05263157894737,0.9120171673819742,IND,2.0
25,K,Blake,Grupe,Blake Grupe,IND,0,0,0,0,0,0,112,20,0,0,59,True,0,0,33,20,0,9,6,10,8,0,8,8,25,60,14,9,9,6,3,0,14,Blake,Grupe,GrupeBlake_23337,1003.0,1001.0,2.0,26.0,63.0,9.0,Signed,Normal,69.0,0.0,0.0,IND,tier_6,0.7575757575757576,1.0,0.6,,,,IND,1.0
26,P,Ryan,Wright,Ryan Wright,MIN,0,2410,2630,0,54,21,54,0,77,0,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0,0,0,15,Ryan,Wright,WrightRyan_22538,3009.0,3007.0,3.0,25.0,63.0,30.0,Signed,Normal,80.0,0.0,0.0,MIN,tier_3,,,,0.047619047619047616,48.7037037037037,0.9163498098859315,MIN,4.0
27,P,Jeremy,Crawshaw,Jeremy Crawshaw,DEN,0,2781,3183,0,67,28,67,0,76,0,0,True,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,15,Jeremy,Crawshaw,CrawshawJeremy_15367,551.0,549.0,0.0,24.0,6.0,3.0,Signed,Normal,75.0,0.0,0.0,DEN,tier_4,,,,0.2857142857142857,47.507462686567166,0.8737040527803959,DEN,-5.0
28,K,Wil,Lutz,Wil Lutz,DEN,0,0,0,0,0,0,139,36,0,0,77,True,0,0,26,36,0,6,4,10,6,0,10,6,22,57,15,3,16,4,2,0,15,Wil,Lutz,LutzWil_12405,1646.0,1644.0,9.0,31.0,63.0,3.0,Signed,Normal,76.0,0.0,0.0,DEN,tier_4,0.8461538461538461,1.0,0.6,,,,DEN,-3.0
29,K,Brandon,Aubrey,Brandon Aubrey,DAL,0,0,0,0,0,0,169,43,0,0,90,True,0,0,36,42,0,13,9,5,9,0,5,9,32,64,15,10,15,9,9,0,15,Brandon,Aubrey,AubreyBrandon_23329,102.0,100.0,3.0,30.0,63.0,10.0,Signed,College_Star,85.0,0.0,0.0,DAL,tier_2,0.8888888888888888,0.9767441860465116,0.8181818181818182,,,,DAL,-4.0
30,P,Bryan,Anger,Bryan Anger,DAL,0,1612,1831,0,38,14,38,0,62,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,15,Bryan,Anger,AngerBryan_11594,83.0,81.0,13.0,36.0,3.0,10.0,Signed,Normal,80.0,0.0,0.0,DAL,tier_3,,,,0.0,48.18421052631579,0.880393227744402,DAL,1.0
31,P,Braden,Mann,Braden Mann,PHI,0,2649,3088,0,62,17,62,0,70,0,0,True,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,15,Braden,Mann,MannBraden_21171,1667.0,1665.0,5.0,27.0,6.0,12.0,Signed,Normal,76.0,0.0,0.0,PHI,tier_4,,,,0.4117647058823529,49.806451612903224,0.8578367875647669,PHI,-3.0
32,K,Jake,Elliott,Jake Elliott,PHI,0,0,0,0,0,0,137,39,0,0,74,True,0,0,24,38,0,8,9,5,2,0,5,2,17,58,15,12,9,4,6,0,15,Jake,Elliott,ElliottJake_12809,748.0,746.0,8.0,30.0,5.0,12.0,Signed,Normal,78.0,0.0,0.0,PHI,tier_4,0.7083333333333334,0.9743589743589743,0.5882352941176471,,,,PHI,-9.0
33,P,Corliss,Waitman,Corliss Waitman,PIT,0,2266,2501,0,54,20,54,0,67,0,0,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,28,0,0,0,0,15,Corliss,Waitman,WaitmanCorliss_22019,2777.0,2775.0,5.0,30.0,63.0,28.0,Signed,Normal,73.0,0.0,0.0,PIT,tier_5,,,,0.15,46.31481481481482,0.9060375849660136,PIT,-1.0
34,K,Chris,Boswell,Chris Boswell,PIT,0,0,0,0,0,0,147,40,0,0,80,True,0,0,27,40,0,9,9,4,5,0,2,5,23,60,15,28,5,8,8,0,15,Chris,Boswell,BoswellChris_2262,262.0,260.0,11.0,34.0,63.0,28.0,Signed,Normal,82.0,0.0,0.0,PIT,tier_3,0.8518518518518519,1.0,0.8888888888888888,,,,PIT,1.0
35,P,Matt,Araiza,Matt Araiza,KC,0,1907,2185,0,47,21,47,0,69,0,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,15,Matt,Araiza,AraizaMatt_22388,90.0,88.0,3.0,25.0,6.0,8.0,Signed,Normal,72.0,0.0,0.0,KC,tier_5,,,,0.047619047619047616,46.48936170212766,0.8727688787185355,KC,0.0
36,K,Harrison,Butker,Harrison Butker,KC,0,0,0,0,0,0,143,34,0,0,77,True,0,0,32,30,0,7,7,8,10,0,8,10,27,59,15,8,11,4,5,0,15,Harrison,Butker,ButkerHarrison_12863,388.0,386.0,8.0,30.0,7.0,8.0,Signed,College_Star,78.0,0.0,0.0,KC,tier_4,0.84375,0.8823529411764706,0.6428571428571429,,,,KC,-10.0
37,K,Zane,Gonzalez,Zane Gonzalez,ATL,0,0,0,0,0,0,55,14,0,0,26,True,0,0,15,13,0,6,7,1,1,0,1,1,13,56,7,13,7,4,7,0,7,Zane,Gonzalez,GonzalezZane_12821,955.0,953.0,8.0,30.0,7.0,13.0,Signed,Normal,70.0,0.0,0.0,ATL,tier_5,0.8666666666666667,0.9285714285714286,0.8461538461538461,,,,ATL,1.0
38,P,Bradley,Pinion,Bradley Pinion,ATL,0,2173,2414,0,55,29,96,0,61,0,41,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,13,10,0,0,0,15,Bradley,Pinion,PinionBradley_2604,2123.0,2121.0,10.0,31.0,5.0,13.0,Signed,Normal,75.0,0.0,0.0,ATL,tier_4,,,,0.10344827586206896,43.89090909090909,0.90016570008285,ATL,-4.0
39,K,Joey,Slye,Joey Slye,TEN,0,0,0,0,0,0,112,24,0,0,58,True,0,0,30,23,0,11,9,5,5,0,5,5,24,57,14,29,15,7,7,0,14,Joey,Slye,SlyeJoey_20835,2437.0,2435.0,6.0,29.0,63.0,29.0,Signed,Normal,75.0,0.0,0.0,TEN,tier_4,0.8,0.9583333333333334,0.7,,,,TEN,-6.0
40,P,Johnny,Hekker,Johnny Hekker,TEN,0,2801,3259,0,70,20,73,0,65,0,3,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,29,0,0,0,0,15,Johnny,Hekker,HekkerJohnny_11695,1120.0,1118.0,13.0,35.0,63.0,29.0,Signed,Normal,74.0,0.0,0.0,TEN,tier_5,,,,0.3,46.55714285714286,0.8594660938938324,TEN,-6.0
41,P,Daniel,Whelan,Daniel Whelan,GB,0,1765,2102,0,41,13,41,0,72,0,0,True,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,15,Daniel,Whelan,WhelanDaniel_23301,2863.0,2861.0,2.0,26.0,63.0,19.0,Signed,Normal,79.0,0.0,0.0,GB,tier_4,,,,0.5384615384615384,51.26829268292683,0.8396764985727878,GB,-3.0
42,K,Brandon,McManus,Brandon McManus,GB,0,0,0,0,0,0,121,30,0,0,63,True,0,0,28,29,0,5,7,8,8,0,8,8,22,56,12,19,14,3,3,0,12,Brandon,McManus,McManusBrandon_2278,1773.0,1771.0,12.0,34.0,63.0,19.0,Signed,Normal,73.0,0.0,0.0,GB,tier_5,0.7857142857142857,0.9666666666666667,0.5,,,,GB,-3.0
43,K,Cameron,Dicker,Cameron Dicker,LAC,0,0,0,0,0,0,155,33,0,0,84,True,0,0,38,33,0,6,13,13,6,0,13,6,36,59,15,7,14,5,12,0,15,Cameron,Dicker,DickerCameron_22392,653.0,651.0,3.0,25.0,63.0,7.0,Signed,Normal,81.0,0.0,0.0,LAC,tier_3,0.9473684210526315,1.0,0.8947368421052632,,,,LAC,2.0
44,P,JK,Scott,JK Scott,LAC,0,1918,2243,0,46,18,46,0,60,0,0,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,15,JK,Scott,ScottJK_13436,2366.0,2364.0,7.0,28.0,5.0,7.0,Signed,College_Impact,81.0,0.0,0.0,LAC,tier_3,,,,0.16666666666666666,48.76086956521739,0.85510477039679,LAC,-1.0
45,K,Jake,Moody,Jake Moody,WAS,0,0,0,0,0,0,62,11,0,0,33,True,0,0,18,10,0,0,6,8,4,0,7,3,15,48,7,25,7,0,5,0,7,Jake,Moody,MoodyJake_23107,1854.0,1852.0,2.0,25.0,3.0,25.0,Signed,Normal,67.0,0.0,0.0,WAS,tier_6,0.8333333333333334,0.9090909090909091,0.8333333333333334,,,,WAS,-2.0
46,P,Tress,Way,Tress Way,WAS,0,2188,2362,0,50,25,50,0,64,0,0,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,15,Tress,Way,WayTress_2335,2843.0,2841.0,12.0,35.0,63.0,25.0,Signed,Normal,71.0,0.0,0.0,WAS,tier_5,,,,0.16,47.24,0.9263336155800169,WAS,2.0
47,K,Nick,Folk,Nick Folk,NYJ,0,0,0,0,0,0,78,21,0,0,29,True,0,0,28,21,0,8,7,8,5,0,8,5,27,58,15,17,6,7,7,0,15,Nick,Folk,FolkNick_28142,837.0,835.0,17.0,40.0,6.0,17.0,Signed,Normal,81.0,0.0,0.0,NYJ,tier_3,0.9642857142857143,1.0,0.9333333333333333,,,,NYJ,3.0
48,P,Austin,McNamara,Austin McNamara,NYJ,0,2757,3008,0,64,28,102,0,72,0,38,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,17,3,0,0,0,15,Austin,McNamara,McNamaraAustin_15007,1781.0,1779.0,1.0,24.0,63.0,17.0,Signed,College_Impact,80.0,0.0,0.0,NYJ,tier_3,,,,0.21428571428571427,47.0,0.9165558510638298,NYJ,-3.0
49,P,Tommy,Townsend,Tommy Townsend,HOU,0,2647,3051,0,64,24,64,0,73,0,0,True,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,0,0,0,15,Tommy,Townsend,TownsendTommy_21175,2690.0,2688.0,5.0,28.0,63.0,31.0,Signed,Normal,76.0,0.0,0.0,HOU,tier_4,,,,0.20833333333333334,47.671875,0.8675843985578499,HOU,-2.0
50,K,Ka'imi,Fairbairn,Ka'imi Fairbairn,HOU,0,0,0,0,0,0,137,24,0,0,73,True,0,0,40,24,0,12,10,11,7,0,11,7,36,57,13,31,16,8,10,0,13,Ka'imi,Fairbairn,FairbairnKaimi_17759,788.0,786.0,9.0,31.0,63.0,31.0,Signed,Normal,80.0,0.0,0.0,HOU,tier_3,0.9,1.0,0.8181818181818182,,,,HOU,-1.0
51,P,Thomas,Morstead,Thomas Morstead,SF,0,1383,1657,0,38,19,41,0,55,0,3,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,14,1,0,0,0,15,Thomas,Morstead,MorsteadThomas_20305,1880.0,1878.0,16.0,39.0,5.0,14.0,Signed,Normal,71.0,0.0,0.0,SF,tier_5,,,,0.05263157894736842,43.60526315789474,0.8346409173204586,SF,-3.0
52,K,Eddy,Pineiro,Eddy Pineiro,SF,0,0,0,0,0,0,130,32,0,0,70,True,0,0,28,28,0,7,9,7,5,0,7,5,27,59,12,14,12,6,9,0,12,Eddy,Pineiro,PineiroEddy_13428,2122.0,2120.0,7.0,29.0,63.0,14.0,Signed,Normal,76.0,0.0,0.0,SF,tier_4,0.9642857142857143,0.875,0.9375,,,,SF,0.0
53,P,Jake,Bailey,Jake Bailey,MIA,0,2226,2524,0,52,20,52,0,64,0,0,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,15,Jake,Bailey,BaileyJake_20480,123.0,121.0,6.0,28.0,5.0,11.0,Signed,Normal,76.0,0.0,0.0,MIA,tier_4,,,,0.15,48.53846153846154,0.881933438985737,MIA,1.0
55,K,Matt,Prater,Matt Prater,BUF,0,0,0,0,0,0,147,46,0,0,81,True,0,0,20,43,0,2,6,8,4,0,7,4,18,52,14,2,10,1,6,0,14,Matt,Prater,PraterMatt_28229,2146.0,2144.0,18.0,41.0,63.0,2.0,Signed,Normal,72.0,0.0,0.0,BUF,tier_5,0.9,0.9347826086956522,0.875,,,,BUF,2.0
56,P,Mitch,Wishnowsky,Mitch Wishnowsky,BUF,0,1356,1461,0,32,15,32,0,62,0,0,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,11,Mitch,Wishnowsky,WishnowskyMitch_20481,2966.0,2964.0,6.0,33.0,4.0,2.0,Signed,Normal,74.0,0.0,0.0,BUF,tier_5,,,,0.13333333333333333,45.65625,0.9281314168377823,BUF,0.0
57,P,Corey,Bojorquez,Corey Bojorquez,CLE,0,3037,3712,0,82,22,83,0,67,0,1,True,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,2,15,Corey,Bojorquez,BojorquezCorey_13684,241.0,239.0,7.0,29.0,63.0,4.0,Signed,Normal,78.0,0.0,0.0,CLE,tier_4,,,,0.5,45.26829268292683,0.8181573275862069,CLE,-8.0
58,K,Andre,Szmyt,Andre Szmyt,CLE,0,0,0,0,0,0,105,23,0,0,59,True,0,0,23,22,0,5,5,10,3,0,9,3,20,55,15,4,11,4,4,0,15,Andre,Szmyt,SzmytAndre_4705,1845.0,1843.0,0.0,26.0,63.0,4.0,Signed,Normal,69.0,0.0,0.0,CLE,tier_6,0.8695652173913043,0.9565217391304348,0.8,,,,CLE,1.0
59,K,Chase,McLaughlin,Chase McLaughlin,TB,0,0,0,0,0,0,137,30,0,0,75,True,0,0,32,29,0,11,8,8,5,0,7,5,28,65,15,5,14,11,5,0,15,Chase,McLaughlin,McLaughlinChase_20873,1766.0,1764.0,6.0,29.0,63.0,5.0,Signed,Normal,77.0,0.0,0.0,TB,tier_4,0.875,0.9666666666666667,0.8421052631578947,,,,TB,0.0
60,P,Riley,Dixon,Riley Dixon,TB,0,2277,2559,0,57,24,57,0,62,0,0,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,2,15,Riley,Dixon,DixonRiley_17818,669.0,667.0,9.0,32.0,7.0,5.0,Signed,Normal,74.0,0.0,0.0,TB,tier_5,,,,0.16666666666666666,44.89473684210526,0.8898007033997656,TB,-5.0
61,P,Ethan,Evans,Ethan Evans,LAR,0,1719,2108,0,46,19,95,0,68,0,49,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,23,41,0,0,0,15,Ethan,Evans,EvansEthan_23274,773.0,771.0,2.0,24.0,7.0,23.0,Signed,Normal,77.0,0.0,0.0,LAR,tier_4,,,,0.21052631578947367,45.82608695652174,0.8154648956356736,LAR,-5.0
63,K,Evan,McPherson,Evan McPherson,CIN,0,0,0,0,0,0,141,37,0,0,77,True,0,0,27,37,0,7,10,6,4,0,6,4,24,63,15,1,9,4,10,0,15,Evan,McPherson,McPhersonEvan_21925,1785.0,1783.0,4.0,26.0,5.0,1.0,Signed,Normal,80.0,0.0,0.0,CIN,tier_3,0.8888888888888888,1.0,0.8235294117647058,,,,CIN,-2.0
64,P,Ryan,Rehkow,Ryan Rehkow,CIN,0,2492,2978,0,58,23,59,0,70,0,1,True,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,15,Ryan,Rehkow,RehkowRyan_1330,2210.0,2208.0,1.0,26.0,63.0,1.0,Signed,Normal,72.0,0.0,0.0,CIN,tier_5,,,,0.4782608695652174,51.3448275862069,0.8368032236400269,CIN,-1.0
