Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
142,K,Justin,Tucker,Justin Tucker,CAR,0,0,0,1,0,0,138,36,0,3,76,False,0,0,27,36,0,10,5,5,7,0,5,7,24,57,15,20,43,8,4,0,15,Justin,Tucker,2668.0,2666.0,20.0,Signed,85.0,0.0,0.0,CAR,tier_2,0.8888888888888888,1.0,0.8,,,,CAR,2
170,P,J.K.,Scott,J.K. Scott,NYG,0,2431,2619,0,57,22,50,0,51,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,15,J.K.,Scott,2333.0,2331.0,15.0,Signed,80.0,0.0,0.0,NYG,tier_3,,,,0.0,45.94736842105263,0.9282168766704849,NYG,-3
207,K,Austin,Seibert,Austin Seibert,IND,0,0,0,1,0,0,56,32,0,3,0,False,0,0,29,30,0,9,6,7,7,0,7,7,25,58,15,9,0,5,6,0,15,Austin,Seibert,2342.0,2340.0,9.0,Signed,74.0,0.0,0.0,IND,tier_5,0.8620689655172413,0.9375,0.7333333333333333,,,,IND,4
208,K,Aldrick,Rosas,Aldrick Rosas,NYG,0,0,0,0,0,0,163,46,0,3,91,False,0,0,35,46,0,14,7,8,6,0,8,6,30,58,15,15,53,9,7,0,15,Aldrick,Rosas,2268.0,2266.0,15.0,Signed,81.0,0.0,0.0,NYG,tier_3,0.8571428571428571,1.0,0.7619047619047619,,,,NYG,2
211,P,Bradley,Pinion,Bradley Pinion,JAX,0,3283,3503,0,80,25,82,0,45,3,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,2,15,Bradley,Pinion,2107.0,2105.0,16.0,Signed,72.0,0.0,0.0,JAX,tier_5,,,,0.12,43.7875,0.9371966885526691,JAX,0
212,K,Matthew,Wright,Matthew Wright,BAL,0,0,0,0,0,0,64,46,0,3,0,False,0,0,24,41,0,2,7,11,4,0,10,4,21,49,14,24,0,0,7,0,15,Matthew,Wright,2949.0,2947.0,24.0,Signed,74.0,0.0,0.0,BAL,tier_5,0.875,0.8913043478260869,0.7777777777777778,,,,BAL,1
213,P,Ryan,Bujcevski,Ryan Bujcevski,NO,0,2969,3222,0,75,21,158,0,44,3,80,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,26,43,0,0,1,15,Ryan,Bujcevski,3743.0,3741.0,26.0,Signed,70.0,0.0,0.0,NO,tier_5,,,,0.047619047619047616,42.96,0.9214773432650528,NO,0
214,K,Younghoe,Koo,Younghoe Koo,GB,0,0,0,0,0,0,72,33,0,3,0,False,0,0,39,32,0,11,13,11,4,0,11,4,36,55,15,19,0,8,13,0,15,Younghoe,Koo,1519.0,1517.0,19.0,Signed,81.0,0.0,0.0,GB,tier_3,0.9230769230769231,0.9696969696969697,0.875,,,,GB,1
215,P,Braden,Mann,Braden Mann,GB,0,2492,2692,0,60,28,150,0,46,3,87,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,58,0,0,0,15,Braden,Mann,1683.0,1681.0,19.0,Signed,77.0,0.0,0.0,GB,tier_4,,,,0.0,44.86666666666667,0.9257057949479941,GB,0
216,K,Brandon,McManus,Brandon McManus,SEA,0,0,0,0,0,0,71,39,0,3,0,False,0,0,36,37,0,11,13,8,4,0,8,4,28,52,14,27,0,4,12,0,15,Brandon,McManus,1770.0,1768.0,27.0,Signed,70.0,0.0,0.0,SEA,tier_5,0.7777777777777778,0.9487179487179487,0.6666666666666666,,,,SEA,0
217,P,Michael,Dickson,Michael Dickson,SEA,0,2977,3114,0,67,23,147,0,53,3,82,False,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,27,44,0,0,0,15,Michael,Dickson,655.0,653.0,27.0,Signed,83.0,0.0,0.0,SEA,tier_3,,,,0.43478260869565216,46.47761194029851,0.9560051380860629,SEA,-6
218,P,Jake,Camarda,Jake Camarda,BAL,0,2538,2701,0,61,20,142,0,46,3,82,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,50,0,0,1,15,Jake,Camarda,3744.0,3742.0,24.0,Signed,76.0,0.0,0.0,BAL,tier_4,,,,0.0,44.278688524590166,0.9396519807478712,BAL,1
219,K,Wil,Lutz,Wil Lutz,DEN,0,0,0,1,0,0,145,37,0,3,78,False,0,0,29,34,0,12,6,7,4,0,7,4,26,59,15,3,53,9,6,0,15,Wil,Lutz,1654.0,1652.0,3.0,Signed,80.0,0.0,0.0,DEN,tier_3,0.896551724137931,0.918918918918919,0.8333333333333334,,,,DEN,-2
220,K,Parker,Lewis,Parker Lewis,LAC,0,0,0,1,0,0,58,34,0,3,0,False,0,0,24,31,0,7,7,6,4,0,6,4,20,53,15,7,0,3,7,0,15,Parker,Lewis,2149.0,2147.0,7.0,Signed,71.0,0.0,0.0,LAC,tier_5,0.8333333333333334,0.9117647058823529,0.7142857142857143,,,,LAC,1
221,P,Issac,Power,Issac Power,LAC,0,2964,3192,0,75,20,150,0,44,3,72,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,7,39,0,0,1,15,Issac,Power,1558.0,1556.0,7.0,Signed,70.0,0.0,0.0,LAC,tier_5,,,,0.1,42.56,0.9285714285714286,LAC,0
222,K,Joey,Slye,Joey Slye,NE,0,0,0,0,0,0,63,28,0,3,0,False,0,0,35,22,0,15,8,9,3,0,9,3,29,59,15,21,0,9,8,0,15,Joey,Slye,2409.0,2407.0,21.0,Signed,75.0,0.0,0.0,NE,tier_4,0.8285714285714286,0.7857142857142857,0.7391304347826086,,,,NE,-5
223,P,Matt,Haack,Matt Haack,NE,0,2698,3042,0,71,14,147,0,44,3,76,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,45,0,0,0,15,Matt,Haack,1031.0,1029.0,21.0,Signed,71.0,0.0,0.0,NE,tier_5,,,,0.0,42.84507042253521,0.8869165023011177,NE,0
224,P,Tommy,Townsend,Tommy Townsend,MIA,0,2977,3314,0,75,25,78,0,45,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,15,Tommy,Townsend,2653.0,2651.0,11.0,Signed,74.0,0.0,0.0,MIA,tier_5,,,,0.0,44.18666666666667,0.8983101991550996,MIA,2
225,K,Jason,Sanders,Jason Sanders,MIA,0,0,0,1,0,0,143,36,0,3,76,False,0,0,31,34,0,13,3,8,7,0,8,7,24,53,15,11,45,6,3,0,15,Jason,Sanders,2308.0,2306.0,11.0,Signed,86.0,0.0,0.0,MIA,tier_2,0.7741935483870968,0.9444444444444444,0.5625,,,,MIA,-9
226,P,Tress,Way,Tress Way,WAS,0,2813,3025,0,65,16,145,0,50,3,80,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,25,40,0,0,0,15,Tress,Way,2774.0,2772.0,25.0,Signed,81.0,0.0,0.0,WAS,tier_3,,,,0.0625,46.53846153846154,0.9299173553719008,WAS,-1
227,K,Matt,Gay,Matt Gay,LAR,0,0,0,1,0,0,144,34,0,3,75,False,0,0,33,29,0,13,8,7,5,0,7,5,25,55,15,23,48,6,7,0,15,Matt,Gay,917.0,915.0,23.0,Signed,70.0,0.0,0.0,LAR,tier_5,0.7575757575757576,0.8529411764705882,0.6190476190476191,,,,LAR,-7
228,K,Zane,Gonzalez,Zane Gonzalez,PIT,1,0,0,1,0,0,52,30,0,3,0,False,0,0,28,27,0,5,15,6,2,0,5,2,23,50,13,28,0,2,14,0,14,Zane,Gonzalez,968.0,966.0,28.0,Signed,71.0,0.0,0.0,PIT,tier_5,0.8214285714285714,0.9,0.8,,,,PIT,2
229,P,Pressley,Harvin III,Pressley Harvin III,PIT,0,3157,3390,0,75,19,142,0,51,3,70,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,28,43,0,0,0,15,Pressley,Harvin III,1108.0,1106.0,28.0,Signed,77.0,0.0,0.0,PIT,tier_4,,,,0.10526315789473684,45.2,0.931268436578171,PIT,0
230,K,Trey,Wolff,Trey Wolff,CLE,0,0,0,0,0,0,56,28,0,3,0,False,0,0,30,26,0,12,6,8,4,0,8,4,26,57,14,4,0,8,6,0,15,Trey,Wolff,1499.0,1497.0,4.0,Signed,72.0,0.0,0.0,CLE,tier_5,0.8666666666666667,0.9285714285714286,0.7777777777777778,,,,CLE,3
231,K,Josh,Lambo,Josh Lambo,JAX,0,0,0,2,0,0,128,38,0,3,68,False,0,0,22,38,0,7,10,5,0,0,5,0,17,53,15,16,42,3,9,0,15,Josh,Lambo,1537.0,1535.0,16.0,Signed,71.0,0.0,0.0,JAX,tier_5,0.7727272727272727,1.0,0.7058823529411765,,,,JAX,3
232,P,Arryn,Siposs,Arryn Siposs,DEN,0,2816,3102,0,73,13,75,0,44,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,15,Arryn,Siposs,2392.0,2390.0,3.0,Signed,69.0,0.0,0.0,DEN,tier_6,,,,0.0,42.49315068493151,0.9078014184397163,DEN,3
233,K,James,Williams,James Williams,NO,0,0,0,0,0,0,65,39,0,3,0,False,0,0,30,37,0,9,9,3,9,0,3,9,25,52,14,26,0,4,9,0,15,James,Williams,2204.0,2202.0,26.0,Signed,73.0,0.0,0.0,NO,tier_5,0.8333333333333334,0.9487179487179487,0.7222222222222222,,,,NO,3
234,P,Dom,Maggio,Dom Maggio,TB,0,2186,2545,0,61,18,61,0,49,3,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,15,Dom,Maggio,1673.0,1671.0,5.0,Signed,66.0,0.0,0.0,TB,tier_6,,,,0.05555555555555555,41.721311475409834,0.8589390962671906,TB,-1
235,K,Caleb,Griffin,Caleb Griffin,TB,0,0,0,1,0,0,152,42,0,3,81,False,0,0,29,36,0,9,7,7,6,0,7,5,23,54,15,5,50,4,7,0,15,Caleb,Griffin,1290.0,1288.0,5.0,Signed,70.0,0.0,0.0,TB,tier_5,0.7931034482758621,0.8571428571428571,0.6875,,,,TB,-6
236,P,Mitch,Wishnowsky,Mitch Wishnowsky,KC,0,2942,3137,0,70,31,70,0,46,3,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,15,Mitch,Wishnowsky,2914.0,2912.0,8.0,Signed,76.0,0.0,0.0,KC,tier_4,,,,0.0967741935483871,44.81428571428572,0.9378386993943257,KC,0
237,K,Ryan,Succop,Ryan Succop,KC,0,0,0,0,0,0,27,7,0,3,16,False,0,0,4,7,0,0,0,3,1,0,3,1,4,37,3,8,9,0,0,0,3,Ryan,Succop,2528.0,2526.0,8.0,Signed,58.0,0.0,0.0,KC,tier_6,1.0,1.0,,,,,KC,8
238,P,Rigoberto,Sanchez,Rigoberto Sanchez,CIN,0,2936,3106,0,69,26,149,0,51,3,82,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,55,0,0,0,15,Rigoberto,Sanchez,2306.0,2304.0,1.0,Signed,77.0,0.0,0.0,CIN,tier_4,,,,0.038461538461538464,45.01449275362319,0.9452672247263362,CIN,0
239,P,Sterling,Hofrichter,Sterling Hofrichter,CLE,0,2841,3210,0,73,22,143,0,46,3,72,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,4,44,0,0,1,15,Sterling,Hofrichter,1192.0,1190.0,4.0,Signed,73.0,0.0,0.0,CLE,tier_5,,,,0.09090909090909091,43.97260273972603,0.8850467289719626,CLE,-1
240,P,Tom,Hutton,Tom Hutton,ARI,0,2808,2900,0,67,30,68,0,45,3,0,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,1,15,Tom,Hutton,2701.0,2699.0,6.0,Signed,73.0,0.0,0.0,ARI,tier_5,,,,0.16666666666666666,43.28358208955224,0.9682758620689655,ARI,-1
241,K,John,Mayers,John Mayers,ARI,1,0,0,2,0,0,156,44,0,3,81,False,0,0,29,39,0,11,8,7,3,0,7,3,23,52,15,6,53,5,8,0,15,John,Mayers,77.0,75.0,6.0,Signed,69.0,0.0,0.0,ARI,tier_6,0.7931034482758621,0.8863636363636364,0.6842105263157895,,,,ARI,-1
242,K,Sam,Sloman,Sam Sloman,TEN,0,0,0,4,0,0,167,41,0,3,86,False,0,0,40,37,0,17,12,9,2,0,9,2,30,56,15,29,57,8,11,0,15,Sam,Sloman,2407.0,2405.0,29.0,Signed,78.0,0.0,0.0,TEN,tier_4,0.75,0.9024390243902439,0.6551724137931034,,,,TEN,-4
243,P,Tory,Taylor,Tory Taylor,TEN,0,2591,2845,0,67,17,70,0,44,3,0,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,29,0,0,0,0,15,Tory,Taylor,2940.0,2938.0,29.0,Signed,69.0,0.0,0.0,TEN,tier_6,,,,0.11764705882352941,42.46268656716418,0.9107205623901582,TEN,1
244,K,Camden,Lewis,Camden Lewis,DAL,0,0,0,2,0,0,62,42,0,3,0,False,0,0,29,38,0,11,10,4,4,0,4,4,22,53,14,10,0,4,10,0,15,Camden,Lewis,2102.0,2100.0,10.0,Signed,71.0,0.0,0.0,DAL,tier_5,0.7586206896551724,0.9047619047619048,0.6666666666666666,,,,DAL,-2
245,P,Jordy,Sandy,Jordy Sandy,DAL,0,2363,2570,0,61,17,143,0,43,3,84,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,10,48,0,0,0,15,Jordy,Sandy,654.0,652.0,10.0,Signed,68.0,0.0,0.0,DAL,tier_6,,,,0.11764705882352941,42.131147540983605,0.9194552529182879,DAL,1
246,K,Cade,York,Cade York,DET,0,0,0,0,0,0,61,35,0,3,0,False,0,0,25,33,0,8,5,6,6,0,6,6,23,55,15,18,0,6,5,0,15,Cade,York,3126.0,3124.0,18.0,Signed,78.0,0.0,0.0,DET,tier_4,0.92,0.9428571428571428,0.8461538461538461,,,,DET,3
247,P,Colby,Wadman,Colby Wadman,DET,0,2562,2841,0,71,17,148,0,41,3,76,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,35,0,0,1,15,Colby,Wadman,2721.0,2719.0,18.0,Signed,61.0,0.0,0.0,DET,tier_6,,,,0.0,40.014084507042256,0.9017951425554382,DET,0
248,K,Harrison,Butker,Harrison Butker,KC,0,0,0,0,0,0,132,42,0,3,72,False,0,0,17,41,0,5,6,4,2,0,4,2,16,57,12,8,48,4,6,0,12,Harrison,Butker,365.0,363.0,8.0,Signed,86.0,0.0,0.0,KC,tier_2,0.9411764705882353,0.9761904761904762,0.9090909090909091,,,,KC,2
249,K,Ka'imi,Fairbairn,Ka'imi Fairbairn,WAS,0,0,0,0,0,0,67,37,0,3,0,False,0,0,35,33,0,14,10,9,2,0,9,2,29,55,14,25,0,8,10,0,15,Ka'imi,Fairbairn,785.0,783.0,25.0,Signed,69.0,0.0,0.0,WAS,tier_6,0.8285714285714286,0.8918918918918919,0.75,,,,WAS,4
250,K,Andre,Szmyt,Andre Szmyt,MIN,0,0,0,1,0,0,67,34,0,3,0,False,0,0,33,30,0,9,10,8,6,0,8,6,28,55,15,30,0,5,9,0,15,Andre,Szmyt,3749.0,3747.0,30.0,Signed,69.0,0.0,0.0,MIN,tier_6,0.8484848484848485,0.8823529411764706,0.7368421052631579,,,,MIN,3
251,P,Chris,Jones,Chris Jones,MIN,0,2417,2720,0,65,14,144,0,43,3,77,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,41,0,0,0,15,Chris,Jones,1411.0,1409.0,30.0,Signed,67.0,0.0,0.0,MIN,tier_6,,,,0.0,41.84615384615385,0.8886029411764705,MIN,1
