Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
57,QB,Carson,Beck,Carson Beck,NYG,0,0,0,0,0,0,2,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,15,0,Carson,Beck,338.0,336.0,2.0,24.0,15.0,Signed,Normal,63.0,0.0,0.0,NYG,tier_6,0.0,,0.0,0.0,0.0,,
60,WR,Justin,Jefferson,Justin Jefferson,SF,118,0,0,76,1407,63,948,663,True,0,13,0,0,92,0,2,4,49,0,11,0,0,0,0,10,16,16,0,14,3,Justin,Jefferson,1433.0,1431.0,7.0,28.0,14.0,Signed,XFactor,99.0,0.0,0.0,SF,tier_0,1608.649789029536,2266.7428571428572,0.8125,13.713080168776372,0.3894270689177968,SF,4.0
65,QB,Will,Rogers,Will Rogers,LAR,0,0,0,0,0,0,3,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,23,0,Will,Rogers,3540.0,3538.0,3.0,26.0,23.0,Signed,Normal,57.0,0.0,0.0,LAR,tier_6,0.0,,0.0,0.0,0.0,,
73,QB,Joe,Burrow,Joe Burrow,CIN,249,4399,0,82,0,0,1108,0,True,375,53,580,7,0,0,1,4,79,70,4,0,0,12,23,0,16,16,3,1,3,Joe,Burrow,395.0,393.0,7.0,30.0,1.0,Signed,XFactor,92.0,0.0,0.0,CIN,tier_1,224.72924187725633,1409.433962264151,0.1875,2.707581227436823,0.0,,
91,QB,Tua,Tagovailoa,Tua Tagovailoa,ATL,225,3618,0,60,0,0,963,0,True,299,63,496,7,0,0,2,4,30,71,5,0,0,38,12,0,16,13,1,13,2,Tua,Tagovailoa,2727.0,2725.0,7.0,29.0,13.0,Signed,Star,76.0,0.0,0.0,ATL,tier_4,233.6448598130841,1071.4285714285716,0.125,2.0768431983385254,0.0,,
93,WR,Jaylen,Waddle,Jaylen Waddle,NYG,1,0,0,0,1042,26,1042,427,True,0,2,0,0,83,0,0,4,1,0,1,0,0,0,0,6,16,16,0,15,0,Jaylen,Waddle,2918.0,2916.0,6.0,28.0,15.0,Signed,Superstar,87.0,0.0,0.0,NYG,tier_2,1000.9596928982725,1768.8,0.375,5.758157389635317,0.24768243403850726,NYG,0.0
117,HB,Trey,Benson,Trey Benson,LV,829,0,1,201,478,58,647,332,True,0,226,0,0,55,0,4,4,50,0,15,0,0,0,0,2,14,14,0,22,5,Trey,Benson,3371.0,3369.0,3.0,25.0,22.0,Signed,Star,83.0,0.0,0.0,LV,tier_3,2020.0927357032458,1130.0071174377224,0.5,10.819165378670787,0.13826517698955057,LV,-1.0
153,QB,Kyler,Murray,Kyler Murray,LAR,0,15,0,0,0,0,54,0,True,1,0,1,0,0,0,0,4,0,15,0,0,0,0,0,0,14,0,0,23,0,Kyler,Murray,2032.0,2030.0,8.0,30.0,23.0,Signed,Star,66.0,0.0,0.0,LAR,tier_6,0.0,,0.0,0.0,0.0,,
163,TE,Jack,Velling,Jack Velling,BAL,0,0,3,0,665,34,1134,317,True,0,0,0,0,63,0,0,4,0,0,4,0,0,0,0,4,16,16,0,24,0,Jack,Velling,113.0,111.0,1.0,24.0,24.0,Signed,Normal,72.0,0.0,0.0,BAL,tier_5,586.4197530864199,1520.0,0.25,3.527336860670194,0.170076726342711,BAL,1.0
166,QB,K.J.,Jefferson,K.J. Jefferson,DET,0,0,0,0,0,0,2,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,18,0,K.J.,Jefferson,3447.0,3445.0,3.0,26.0,18.0,Signed,Normal,60.0,0.0,0.0,DET,tier_6,0.0,,0.0,0.0,0.0,,
183,HB,Jaydn,Ott,Jaydn Ott,TB,874,0,4,281,303,22,883,249,True,0,223,0,0,42,0,6,4,55,0,14,0,0,0,0,0,16,16,0,5,6,Jaydn,Ott,540.0,538.0,2.0,24.0,5.0,Signed,Normal,74.0,0.0,0.0,TB,tier_5,1332.955832389581,1154.0830188679245,0.375,6.795016987542469,0.07214285714285715,TB,1.0
184,TE,Rivaldo,Fairweather,Rivaldo Fairweather,SF,0,0,2,0,515,66,1137,199,True,0,0,0,0,42,0,0,4,0,0,4,0,0,0,0,1,16,16,0,14,0,Rivaldo,Fairweather,3537.0,3535.0,3.0,26.0,14.0,Signed,Star,78.0,0.0,0.0,SF,tier_4,452.9463500439754,1765.7142857142856,0.0625,0.8795074758135445,0.14254082479933572,SF,-5.0
189,HB,Jeremiyah,Love,Jeremiyah Love,NE,382,0,1,95,190,25,407,168,True,0,101,0,0,19,0,4,4,40,0,5,0,0,0,0,0,15,0,0,21,8,Jeremiyah,Love,1592.0,1590.0,0.0,23.0,21.0,Signed,Normal,78.0,0.0,0.0,NE,tier_4,1405.4054054054054,1183.0,0.5333333333333333,19.656019656019655,0.04864778364538326,NE,1.0
192,WR,Rome,Odunze,Rome Odunze,ATL,0,0,0,0,1084,49,1060,413,True,0,0,0,0,80,0,0,4,0,0,0,0,0,0,0,4,16,16,0,13,0,Rome,Odunze,3210.0,3208.0,3.0,25.0,13.0,Signed,Star,85.0,0.0,0.0,ATL,tier_2,1022.6415094339623,1951.1999999999998,0.25,3.7735849056603774,0.25535924617196704,ATL,-1.0
213,HB,Dylan,Laube,Dylan Laube,DET,749,0,1,225,151,20,562,102,True,0,193,0,0,23,0,7,4,49,0,10,0,0,0,0,2,13,11,0,18,2,Dylan,Laube,3433.0,3431.0,3.0,26.0,18.0,Signed,Normal,74.0,0.0,0.0,DET,tier_5,1601.423487544484,1140.9444444444443,0.3076923076923077,7.117437722419928,0.04412301848199284,DET,1.0
228,TE,Keyan,Burnett,Keyan Burnett,KC,0,0,3,0,502,35,1185,194,True,0,0,0,0,43,0,0,4,0,0,1,0,0,0,0,7,16,16,0,8,0,Keyan,Burnett,2266.0,2264.0,2.0,23.0,8.0,Signed,Normal,70.0,0.0,0.0,KC,tier_5,423.62869198312234,1681.1162790697674,0.4375,5.9071729957805905,0.11313950867703403,KC,2.0
235,HB,Keaton,Mitchell,Keaton Mitchell,MIA,156,0,1,0,153,16,482,94,True,0,65,0,0,19,0,0,4,6,0,0,0,0,0,0,1,16,16,0,11,0,Keaton,Mitchell,1953.0,1951.0,4.0,25.0,11.0,Signed,Normal,71.0,0.0,0.0,MIA,tier_5,641.0788381742739,819.4285714285714,0.0625,2.074688796680498,0.036170212765957444,MIA,-6.0
250,WR,Chris,Olave,Chris Olave,NE,0,0,0,0,1064,48,861,377,True,0,0,0,0,77,0,0,4,0,0,0,0,0,0,0,3,13,13,0,21,0,Chris,Olave,2124.0,2122.0,5.0,27.0,21.0,Signed,Star,86.0,0.0,0.0,NE,tier_2,1235.7723577235772,1989.8181818181815,0.23076923076923078,3.484320557491289,0.31433952509324564,NE,2.0
265,WR,Keon,Coleman,Keon Coleman,CIN,8,0,1,0,1066,70,1029,428,True,0,4,0,0,78,0,0,4,5,0,0,0,0,0,0,4,16,16,0,1,0,Keon,Coleman,3205.0,3203.0,3.0,24.0,1.0,Signed,Normal,83.0,0.0,0.0,CIN,tier_3,1043.7317784256559,1901.2682926829273,0.25,3.887269193391642,0.24232780177313026,CIN,1.0
268,HB,Dylan,Edwards,Dylan Edwards,NYG,354,0,2,129,83,18,382,53,True,0,86,0,0,9,0,5,4,41,0,7,0,0,0,0,2,16,0,0,15,5,Dylan,Edwards,27.0,25.0,1.0,22.0,15.0,Signed,Normal,75.0,0.0,0.0,NYG,tier_4,1143.9790575916231,1243.7052631578947,0.4375,18.32460732984293,0.01972902305681008,NYG,1.0
290,QB,Rocco,Becht,Rocco Becht,CHI,0,0,0,0,0,0,1,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,Rocco,Becht,2875.0,2873.0,0.0,24.0,0.0,Signed,Normal,65.0,0.0,0.0,CHI,tier_6,0.0,,0.0,0.0,0.0,,
292,QB,Jayden,Maiava,Jayden Maiava,CIN,0,0,0,0,0,0,12,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0,Jayden,Maiava,2244.0,2242.0,0.0,22.0,1.0,Signed,Normal,64.0,0.0,0.0,CIN,tier_6,0.0,,0.0,0.0,0.0,,
323,WR,Luther,Burden III,Luther Burden III,PIT,0,0,1,0,996,56,878,307,True,0,1,0,0,72,0,0,4,0,0,2,0,0,0,0,8,14,14,0,28,0,Luther,Burden III,262.0,260.0,2.0,23.0,28.0,Signed,XFactor,93.0,0.0,0.0,PIT,tier_1,1134.3963553530753,1964.7123287671234,0.5714285714285714,9.111617312072893,0.27316671809112414,PIT,1.0
332,HB,Peyton,Jones,Peyton Jones,CAR,779,0,5,211,227,23,648,165,True,0,206,0,0,32,0,3,4,69,0,10,0,0,0,0,1,16,16,7,20,3,Peyton,Jones,2799.0,2797.0,1.0,23.0,20.0,Signed,Star,80.0,0.0,0.0,CAR,tier_3,1552.469135802469,1119.2773109243699,0.25,6.172839506172839,0.060890557939914165,CAR,-9.0
340,QB,Patrick,Mahomes,Patrick Mahomes,KC,344,4437,0,144,0,0,1109,0,True,392,69,579,9,0,0,4,4,57,59,5,0,0,21,34,0,16,16,3,8,2,Patrick,Mahomes,1790.0,1788.0,10.0,31.0,8.0,Signed,XFactor,98.0,0.0,0.0,KC,tier_0,310.1893597835888,1495.6521739130435,0.125,1.8034265103697023,0.0,,
346,WR,Zay,Flowers,Zay Flowers,BAL,0,0,1,0,1213,25,1058,466,True,0,0,0,0,100,0,0,4,0,0,2,0,0,0,0,11,16,16,0,24,0,Zay,Flowers,895.0,893.0,4.0,26.0,24.0,Signed,Star,88.0,0.0,0.0,BAL,tier_2,1146.5028355387524,1746.72,0.6875,10.396975425330814,0.310230179028133,BAL,6.0
363,QB,Grayson,McCall,Grayson McCall,CAR,0,0,0,0,0,0,29,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,20,0,Grayson,McCall,3500.0,3498.0,3.0,26.0,20.0,Signed,Normal,64.0,0.0,0.0,CAR,tier_6,0.0,,0.0,0.0,0.0,,
364,TE,Sam,LaPorta,Sam LaPorta,DET,0,0,0,0,1288,67,1185,541,True,0,0,0,0,93,0,0,4,0,0,5,0,0,0,0,7,16,16,0,18,0,Sam,LaPorta,1673.0,1671.0,4.0,26.0,18.0,Signed,XFactor,96.0,0.0,0.0,DET,tier_0,1086.9198312236288,1994.3225806451612,0.4375,5.9071729957805905,0.3057929724596391,DET,1.0
371,QB,C.J.,Stroud,C.J. Stroud,HOU,146,4259,0,43,0,0,1075,0,True,372,48,595,4,0,0,2,4,28,59,2,0,0,30,23,0,16,16,9,31,1,C.J.,Stroud,2703.0,2701.0,4.0,25.0,31.0,Signed,XFactor,86.0,0.0,0.0,HOU,tier_2,135.81395348837208,912.5,0.0625,0.930232558139535,0.0,,
381,TE,Jalin,Conyers,Jalin Conyers,NYG,0,0,0,0,776,63,1022,286,True,0,0,0,0,65,0,0,4,0,0,1,0,0,0,0,7,14,14,0,15,0,Jalin,Conyers,523.0,521.0,2.0,24.0,15.0,Signed,Star,89.0,0.0,0.0,NYG,tier_2,759.2954990215263,1719.1384615384613,0.5,6.8493150684931505,0.21080512071717206,NYG,3.0
397,WR,Mike,Evans,Mike Evans,SF,0,0,1,0,734,63,856,283,True,0,0,0,0,52,0,0,4,0,0,1,0,0,0,0,3,15,15,0,14,0,Mike,Evans,837.0,835.0,13.0,34.0,14.0,Signed,Star,80.0,0.0,0.0,SF,tier_3,857.4766355140187,2032.6153846153845,0.2,3.5046728971962615,0.21669895746840112,SF,-1.0
398,QB,Paxton,DeLaurent,Paxton DeLaurent,TEN,0,0,0,0,0,0,2,0,True,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,29,0,Paxton,DeLaurent,1428.0,1426.0,2.0,25.0,29.0,Signed,Normal,62.0,0.0,0.0,TEN,tier_6,0.0,,0.0,0.0,0.0,,
399,QB,Maalik,Murphy,Maalik Murphy,BAL,11,0,0,0,0,0,66,0,True,0,2,1,0,0,0,0,4,6,0,0,0,0,0,0,0,15,0,0,24,0,Maalik,Murphy,2375.0,2373.0,0.0,23.0,24.0,Signed,Normal,66.0,0.0,0.0,BAL,tier_6,166.66666666666666,1650.0,0.0,0.0,0.0,,
401,HB,MarShawn,Lloyd,MarShawn Lloyd,NE,1041,0,2,367,345,25,726,267,True,0,244,0,0,39,0,7,4,77,0,13,0,0,0,0,2,16,16,0,21,8,MarShawn,Lloyd,3269.0,3267.0,3.0,26.0,21.0,Signed,Star,84.0,0.0,0.0,NE,tier_3,1909.0909090909092,1279.0812720848055,0.625,13.774104683195592,0.08281325012001921,NE,3.0
405,WR,Treylon,Burks,Treylon Burks,NYJ,1,0,3,0,422,25,478,168,True,0,2,0,0,33,0,0,4,1,0,0,0,0,0,0,2,11,11,0,17,0,Treylon,Burks,388.0,386.0,5.0,27.0,17.0,Signed,Normal,75.0,0.0,0.0,NYJ,tier_4,884.9372384937238,1744.8,0.18181818181818182,4.184100418410042,0.16989155322949956,NYJ,-1.0
409,WR,Tyler,Morris,Tyler Morris,PHI,0,0,1,0,256,22,517,122,True,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,3,16,8,0,12,0,Tyler,Morris,2175.0,2173.0,1.0,24.0,12.0,Signed,Normal,70.0,0.0,0.0,PHI,tier_5,495.1644100580271,1365.3333333333333,0.1875,5.802707930367505,0.06710353866317169,PHI,-6.0
420,QB,Brock,Purdy,Brock Purdy,SF,130,2323,0,61,0,0,654,0,True,178,26,302,4,0,0,2,4,45,66,3,0,0,13,17,0,11,11,0,14,0,Brock,Purdy,2292.0,2290.0,5.0,27.0,14.0,Signed,Superstar,85.0,0.0,0.0,SF,tier_2,198.7767584097859,1500.0,0.0,0.0,0.0,,
425,TE,Jaden,Hamm,Jaden Hamm,PIT,0,0,7,0,698,56,1086,244,True,0,0,0,0,49,0,0,4,0,0,3,0,0,0,0,9,16,16,0,28,0,Jaden,Hamm,2965.0,2963.0,0.0,22.0,28.0,Signed,Normal,69.0,0.0,0.0,PIT,tier_6,642.7255985267035,2051.2653061224487,0.5625,8.287292817679557,0.16750659947204224,PIT,13.0
429,WR,Ayden,Williams,Ayden Williams,PIT,0,0,5,0,422,60,749,89,True,0,0,0,0,36,0,0,4,0,0,1,0,0,0,0,1,16,16,1,28,0,Ayden,Williams,86.0,84.0,1.0,22.0,28.0,Signed,Normal,74.0,0.0,0.0,PIT,tier_5,563.4178905206942,1688.0,0.0625,1.335113484646195,0.10127189824814015,PIT,-6.0
443,QB,Malachi,Nelson,Malachi Nelson,PIT,502,3907,0,46,0,0,1030,0,True,332,69,593,14,0,0,5,4,37,56,3,0,0,39,24,0,16,16,0,28,4,Malachi,Nelson,285.0,283.0,1.0,23.0,28.0,Signed,Normal,75.0,0.0,0.0,PIT,tier_4,487.378640776699,2182.608695652174,0.25,3.883495145631068,0.0,,
454,WR,Jakobi,Meyers,Jakobi Meyers,CIN,0,0,2,0,656,54,550,213,True,0,0,0,0,53,0,0,4,0,0,0,0,0,0,0,4,10,10,0,1,0,Jakobi,Meyers,1926.0,1924.0,8.0,30.0,1.0,Signed,Star,75.0,0.0,0.0,CIN,tier_4,1192.7272727272727,1782.3396226415093,0.4,7.2727272727272725,0.2385996817458513,CIN,6.0
455,WR,Kevin,Coleman,Kevin Coleman,NE,9,0,3,0,472,39,713,180,True,0,4,0,0,39,0,0,4,5,0,2,0,0,0,0,2,12,12,1,21,0,Kevin,Coleman,3021.0,3019.0,2.0,23.0,21.0,Signed,Normal,73.0,0.0,0.0,NE,tier_5,674.6143057503507,1643.4418604651162,0.16666666666666666,2.805049088359046,0.15106417026724278,NE,-2.0
458,WR,Antonio,Gates Jr,Antonio Gates Jr,LAC,-5,0,1,1,452,58,703,229,True,0,1,0,0,37,0,0,4,0,0,2,0,0,0,0,1,14,5,0,7,0,Antonio,Gates Jr,3158.0,3156.0,1.0,23.0,7.0,Signed,Normal,70.0,0.0,0.0,LAC,tier_5,635.846372688478,1673.3684210526312,0.07142857142857142,1.4224751066856332,0.11899825583308651,LAC,-4.0
459,HB,Anthony,Hankerson,Anthony Hankerson,ARI,216,0,1,54,70,11,287,61,True,0,61,0,0,10,0,2,4,38,0,7,0,0,0,0,1,10,10,0,6,1,Anthony,Hankerson,3032.0,3030.0,1.0,24.0,6.0,Signed,Normal,69.0,0.0,0.0,ARI,tier_6,996.5156794425087,1054.6478873239437,0.2,6.968641114982578,0.029030585795749093,ARI,-1.0
462,WR,Jermaine,Burton,Jermaine Burton,BUF,7,0,1,0,535,22,567,222,True,0,2,0,0,44,0,0,4,6,0,0,0,0,0,0,4,14,11,0,2,0,Jermaine,Burton,3464.0,3462.0,3.0,26.0,2.0,Signed,Normal,72.0,0.0,0.0,BUF,tier_5,955.9082892416225,1720.4347826086957,0.2857142857142857,7.054673721340388,0.15444015444015444,BUF,5.0
463,HB,Taylor,Tatum,Taylor Tatum,KC,501,0,2,117,329,23,707,211,True,0,130,0,0,35,0,3,4,50,0,9,0,0,0,0,3,16,16,0,8,8,Taylor,Tatum,2494.0,2492.0,0.0,21.0,8.0,Signed,Star,82.0,0.0,0.0,KC,tier_3,1173.9745403111738,1198.0363636363636,0.6875,15.558698727015559,0.074149199909849,KC,1.0
465,HB,Omarion,Hampton,Omarion Hampton,CIN,486,0,1,124,163,20,493,140,True,0,121,0,0,25,0,4,4,28,0,13,0,0,0,0,1,13,2,0,1,3,Omarion,Hampton,2816.0,2814.0,1.0,24.0,1.0,Signed,Normal,77.0,0.0,0.0,CIN,tier_4,1316.4300202839756,1159.3972602739725,0.3076923076923077,8.113590263691684,0.045604770314931715,CIN,-1.0
466,WR,Antwane,Wells Jr.,Antwane Wells Jr.,CLE,0,0,4,0,677,31,902,202,True,0,0,0,0,49,0,0,4,0,0,2,0,0,0,0,2,16,16,1,4,0,Antwane,Wells Jr.,3330.0,3328.0,3.0,26.0,4.0,Signed,Normal,73.0,0.0,0.0,CLE,tier_5,750.5543237250555,1989.5510204081631,0.125,2.2172949002217295,0.16874376869391824,CLE,0.0
469,WR,Eric,Singleton Jr,Eric Singleton Jr,DEN,0,0,0,0,306,36,337,107,True,0,0,0,0,22,0,0,4,0,0,0,0,0,0,0,2,15,5,0,3,0,Eric,Singleton Jr,1427.0,1425.0,0.0,23.0,3.0,Signed,Normal,71.0,0.0,0.0,DEN,tier_5,908.0118694362018,2002.9090909090908,0.13333333333333333,5.934718100890208,0.07725443786982247,DEN,-2.0
477,WR,London,Humphreys,London Humphreys,ATL,1,0,1,0,526,66,578,186,True,0,1,0,0,38,0,0,4,1,0,0,0,0,0,0,3,11,0,0,13,1,London,Humphreys,2301.0,2299.0,0.0,22.0,13.0,Signed,Normal,73.0,0.0,0.0,ATL,tier_5,911.7647058823529,1949.8461538461538,0.36363636363636365,6.920415224913495,0.18023342970339437,ATL,3.0
483,HB,Travis,Etienne Jr,Travis Etienne Jr,LAR,445,0,1,152,163,67,407,71,True,0,120,0,0,15,0,4,4,43,0,6,0,0,0,0,2,12,7,4,23,4,Travis,Etienne Jr,828.0,826.0,6.0,28.0,23.0,Signed,Star,73.0,0.0,0.0,LAR,tier_5,1493.8574938574939,1162.7555555555557,0.5,14.742014742014742,0.05982200201853381,LAR,-1.0
487,WR,Micah,Hudson,Micah Hudson,LAC,32,0,3,26,583,60,1064,182,True,0,3,0,0,40,0,1,4,27,0,5,0,0,0,0,7,16,16,0,7,1,Micah,Hudson,3202.0,3200.0,0.0,21.0,7.0,Signed,Star,75.0,0.0,0.0,LAC,tier_4,578.0075187969925,2175.6279069767443,0.5,7.518796992481203,0.13430085233817093,LAC,-5.0
497,HB,Jaleel,McLaughlin,Jaleel McLaughlin,SF,470,0,2,121,124,15,482,101,True,0,136,0,0,20,0,4,4,47,0,4,0,0,0,0,2,16,7,0,14,1,Jaleel,McLaughlin,476.0,474.0,4.0,26.0,14.0,Signed,Star,77.0,0.0,0.0,SF,tier_4,1232.3651452282159,1018.3076923076923,0.1875,6.224066390041493,0.03432050927207307,SF,-4.0
498,HB,Jordan,Marshall,Jordan Marshall,DET,374,0,3,137,81,19,446,65,True,0,101,0,0,9,0,3,4,47,0,8,0,0,0,0,1,14,14,1,18,3,Jordan,Marshall,1652.0,1650.0,0.0,21.0,18.0,Signed,Normal,73.0,0.0,0.0,DET,tier_5,1020.1793721973094,1126.0363636363636,0.2857142857142857,8.968609865470851,0.021978021978021976,DET,-1.0
502,HB,Kendall,Milton,Kendall Milton,GB,772,0,0,150,319,24,615,272,True,0,211,0,0,39,0,4,4,57,0,8,0,0,0,0,1,14,14,0,19,5,Kendall,Milton,3318.0,3316.0,3.0,25.0,19.0,Signed,Normal,77.0,0.0,0.0,GB,tier_4,1773.9837398373984,1110.144,0.42857142857142855,9.75609756097561,0.08259434267590135,GB,-1.0
503,WR,Moose,Muhammad III,Moose Muhammad III,CLE,0,0,1,0,1007,60,962,353,True,0,1,0,0,75,0,0,4,0,0,1,0,0,0,0,3,16,16,1,4,0,Moose,Muhammad III,860.0,858.0,2.0,26.0,4.0,Signed,Normal,75.0,0.0,0.0,CLE,tier_4,1046.7775467775468,1907.9999999999998,0.1875,3.118503118503119,0.25099700897308075,CLE,1.0
505,WR,Zachariah,Branch,Zachariah Branch,CAR,0,0,3,0,449,65,711,181,True,0,0,0,0,35,0,0,4,0,0,1,0,0,0,0,2,10,10,0,20,0,Zachariah,Branch,2573.0,2571.0,1.0,22.0,20.0,Signed,Normal,77.0,0.0,0.0,CAR,tier_4,631.5049226441631,1847.3142857142857,0.2,2.8129395218002813,0.1927038626609442,CAR,-4.0
507,HB,Justice,Haynes,Justice Haynes,LAR,518,0,4,94,218,20,650,176,True,0,153,0,0,26,0,3,4,30,0,8,0,0,0,0,0,14,14,2,23,5,Justice,Haynes,2606.0,2604.0,1.0,24.0,23.0,Signed,Normal,75.0,0.0,0.0,LAR,tier_4,1132.3076923076922,1043.5307262569831,0.35714285714285715,7.6923076923076925,0.0685777201053832,LAR,-5.0
