Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,SEAS_YEAR,PRETTDS,KRETYARDS,PRETYARDS,KRETATTEMPTS,KRETLONGEST,PRETATTEMPTS,PRETLONGEST,KRETTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName,RatingTier,KRYardsPerReturn,PRYardsPerReturn,TDsPerReturn
146,WR,Luke,Parrish,Luke Parrish,IND,11,0,797,173,34,25,22,45,0,Luke,Parrish,LukeParrish_34410,588,586,1,23,4,9,Signed,Normal,68,0,0,IND,tier_6,23.441176470588236,7.863636363636363,0.0
147,WR,Antwan,Rushing Jr,Antwan Rushing Jr,LAR,11,0,489,128,19,46,13,45,0,Antwan,Rushing Jr,AntwanRushing Jr_34618,2217,2215,1,24,6,23,Signed,Normal,73,0,0,LAR,tier_5,25.736842105263158,9.846153846153847,0.0
148,WR,Luther,Burden III,Luther Burden III,NYJ,11,0,533,0,23,25,0,0,0,Luther,Burden III,LutherBurden III_13,262,260,10,31,1,17,Signed,Star,72,0,0,NYJ,tier_5,23.17391304347826,,0.0
149,WR,Mykel,McCollum,Mykel McCollum,NE,11,0,837,3,37,24,1,3,0,Mykel,McCollum,MykelMcCollum_3137,2677,2675,4,26,3,21,Signed,Normal,69,0,0,NE,tier_6,22.62162162162162,3.0,0.0
150,HB,Jordin,Thomas,Jordin Thomas,SF,11,0,789,0,31,58,0,0,0,Jordin,Thomas,JordinThomas_2956,2809,2807,6,29,5,14,Signed,Star,69,0,0,SF,tier_6,25.451612903225808,,0.0
156,WR,Evan,Hamlin,Evan Hamlin,SEA,11,0,742,0,29,63,0,0,0,Evan,Hamlin,EvanHamlin_33210,275,273,2,24,2,27,Signed,Normal,72,0,0,SEA,tier_5,25.586206896551722,,0.0
157,WR,Javon,Blackstock,Javon Blackstock,CHI,11,0,793,145,32,48,14,44,0,Javon,Blackstock,JavonBlackstock_3363430,59,57,2,24,63,0,Signed,Normal,64,0,0,CHI,tier_6,24.78125,10.357142857142858,0.0
158,WR,Dakorien,Moore,Dakorien Moore,CIN,11,1,767,281,31,50,25,63,0,Dakorien,Moore,DakorienMoore_28,753,751,7,28,2,1,Signed,Normal,68,0,0,CIN,tier_6,24.741935483870968,11.24,0.017857142857142856
175,WR,Montell,Hitchens,Montell Hitchens,HOU,11,0,743,248,26,65,29,45,0,Montell,Hitchens,MontellHitchens_33437,1797,1795,2,25,4,31,Signed,Normal,65,0,0,HOU,tier_6,28.576923076923077,8.551724137931034,0.0
177,WR,Junior,Clayborn,Junior Clayborn,LV,11,0,373,2,17,23,1,2,0,Junior,Clayborn,JuniorClayborn_3072,2230,2228,5,27,63,22,Signed,Normal,69,0,0,LV,tier_6,21.941176470588236,2.0,0.0
181,HB,TaMuarion,Wolfe,TaMuarion Wolfe,NE,11,0,919,211,35,59,27,43,0,TaMuarion,Wolfe,TaMuarionWolfe_33733,904,902,2,25,7,21,Signed,Normal,68,0,0,NE,tier_6,26.257142857142856,7.814814814814815,0.0
182,WR,Tommy,Haynes,Tommy Haynes,SF,11,0,970,233,40,51,31,31,0,Tommy,Haynes,TommyHaynes_33726,2786,2784,2,25,7,14,Signed,Normal,65,0,0,SF,tier_6,24.25,7.516129032258065,0.0
186,WR,Darrius,Anderson,Darrius Anderson,JAX,11,0,844,269,34,26,27,52,0,Darrius,Anderson,DarriusAnderson_35320,2831,2829,0,21,3,16,Signed,Normal,70,0,0,JAX,tier_5,24.823529411764707,9.962962962962964,0.0
199,WR,Connor,Lathan,Connor Lathan,MIN,11,0,514,0,20,56,0,0,0,Connor,Lathan,ConnorLathan_35731,242,240,0,22,7,30,Signed,Normal,68,0,0,MIN,tier_6,25.7,,0.0
201,WR,Reese,Williams III,Reese Williams III,ATL,11,0,802,47,33,52,8,13,0,Reese,Williams III,ReeseWilliams III_35713,464,462,0,22,63,13,Signed,Normal,72,0,0,ATL,tier_5,24.303030303030305,5.875,0.0
202,HB,Lucky,Aldridge,Lucky Aldridge,IND,11,0,666,14,29,28,3,7,0,Lucky,Aldridge,LuckyAldridge_3241,1213,1211,3,25,4,9,Signed,Normal,77,0,0,IND,tier_4,22.96551724137931,4.666666666666667,0.0
211,WR,Ezekiel,Atkins-Talbott,Ezekiel Atkins-Talbott,DAL,11,0,931,139,39,37,14,34,0,Ezekiel,Atkins-Talbott,EzekielAtkins-Talbott_34538,2876,2874,1,23,5,10,Signed,Normal,71,0,0,DAL,tier_5,23.871794871794872,9.928571428571429,0.0
250,HB,Treyton,Sheldon,Treyton Sheldon,CHI,11,0,825,0,33,61,0,0,0,Treyton,Sheldon,TarquinSheldon_3263315,2385,2383,3,26,63,0,Signed,Normal,77,0,0,CHI,tier_4,25.0,,0.0
269,WR,Emauri,Jerido,Emauri Jerido,GB,11,0,97,81,5,20,10,13,0,Emauri,Jerido,EmauriJerido_33626,319,317,2,25,6,19,Signed,Normal,67,0,0,GB,tier_6,19.4,8.1,0.0
270,HB,Nakobe,Ojemudia,Nakobe Ojemudia,HOU,11,0,522,32,19,55,7,7,0,Nakobe,Ojemudia,NakobeOjemudia_32534,1637,1635,3,25,5,31,Signed,Normal,72,0,0,HOU,tier_5,27.473684210526315,4.571428571428571,0.0
271,WR,Will,Barton,Will Barton,WAS,11,0,980,185,38,100,21,26,1,Will,Barton,WillBarton_3263447,2931,2929,3,25,63,25,Signed,Normal,69,0,0,WAS,tier_6,25.789473684210527,8.80952380952381,0.01694915254237288
288,WR,Justin,Hughes,Justin Hughes,ARI,11,0,1022,97,37,70,14,14,0,Justin,Hughes,JustinHughes_34230,616,614,1,24,2,6,Signed,Normal,70,0,0,ARI,tier_5,27.62162162162162,6.928571428571429,0.0
319,WR,Melo,Silver,Melo Silver,CLE,11,0,453,138,19,42,19,46,0,Melo,Silver,MeloSilver_30317,667,665,5,28,3,4,Signed,Normal,66,0,0,CLE,tier_6,23.842105263157894,7.2631578947368425,0.0
320,HB,DaShaun,Goodson,DaShaun Goodson,DEN,11,0,880,32,37,49,2,20,0,DaShaun,Goodson,DaShaunGoodson_34624,1370,1368,1,24,6,3,Signed,Normal,70,0,0,DEN,tier_5,23.783783783783782,16.0,0.0
325,HB,Silas,Parker,Silas Parker,TB,11,0,668,197,28,43,31,13,0,Silas,Parker,SilasParker_34611,2836,2834,1,22,6,5,Signed,Normal,70,0,0,TB,tier_5,23.857142857142858,6.354838709677419,0.0
328,HB,Raysean,Rutherford,Raysean Rutherford,NO,11,0,533,27,22,44,4,10,0,Raysean,Rutherford,RayseanRutherford_33723,913,911,2,25,7,26,Signed,Normal,70,0,0,NO,tier_5,24.227272727272727,6.75,0.0
352,WR,Peter,Brown,Peter Brown,NO,11,1,534,126,21,67,6,77,0,Peter,Brown,PeterBrown_30334,1203,1201,5,27,3,26,Signed,Normal,69,0,0,NO,tier_6,25.428571428571427,21.0,0.037037037037037035
357,HB,Darren,Freeman,Darren Freeman,PHI,11,0,1046,237,39,65,30,14,0,Darren,Freeman,DarrenFreeman_33432,2683,2681,2,24,4,12,Signed,Normal,74,0,0,PHI,tier_5,26.82051282051282,7.9,0.0
360,WR,Allen,Massie,Allen Massie,BAL,11,0,725,234,29,50,31,14,0,Allen,Massie,AllenMassie_3463339,3077,3075,1,23,63,24,Signed,Normal,72,0,0,BAL,tier_5,25.0,7.548387096774194,0.0
361,WR,Byron,Flynn,Byron Flynn,LAC,11,0,789,114,30,64,16,24,0,Byron,Flynn,ByronFlynn_35631,2156,2154,0,23,6,7,Signed,Normal,66,0,0,LAC,tier_6,26.3,7.125,0.0
378,WR,Tedric,Babalade,Tedric Babalade,TB,11,0,478,0,20,53,0,0,0,Tedric,Babalade,TedricBabalade_35537,2727,2725,0,22,5,5,Signed,Normal,71,0,0,TB,tier_5,23.9,,0.0
411,WR,Perry,Little,Perry Little,DET,11,0,740,215,31,41,26,27,0,Perry,Little,PerryLittle_3463328,3042,3040,1,23,63,18,Signed,Normal,69,0,0,DET,tier_6,23.870967741935484,8.26923076923077,0.0
412,WR,Dakota,Prysock,Dakota Prysock,KC,11,0,977,243,37,64,29,50,0,Dakota,Prysock,DakotaPrysock_35435,2150,2148,0,22,4,8,Signed,Normal,71,0,0,KC,tier_5,26.405405405405407,8.379310344827585,0.0
438,WR,DeAngelo,McKee,DeAngelo McKee,CAR,11,0,565,167,24,42,16,41,0,DeAngelo,McKee,DeAngeloMcKee_3021,2728,2726,5,26,2,20,Signed,Normal,73,0,0,CAR,tier_5,23.541666666666668,10.4375,0.0
450,WR,David,McCloud,David McCloud,KC,11,0,986,14,40,49,1,14,0,David,McCloud,DavidMcCloud_32523,1435,1433,3,24,63,8,Signed,Normal,65,0,0,KC,tier_6,24.65,14.0,0.0
451,WR,Amir,Campbell,Amir Campbell,ARI,11,0,989,0,37,63,0,0,0,Amir,Campbell,AmirCampbell_3353,90,88,2,25,5,6,Signed,Normal,64,0,0,ARI,tier_6,26.72972972972973,,0.0
452,WR,Terry,Hatcher,Terry Hatcher,LAR,11,0,226,99,10,23,10,38,0,Terry,Hatcher,TerryHatcher_31616,16,14,4,27,6,23,Signed,Normal,76,0,0,LAR,tier_4,22.6,9.9,0.0
453,WR,Quincey,Brown,Quincey Brown,SEA,11,0,910,257,34,51,29,51,0,Quincey,Brown,QuinceyBrown_32431,899,897,3,26,4,27,Signed,Normal,70,0,0,SEA,tier_5,26.764705882352942,8.862068965517242,0.0
462,WR,K'Vonte,Donnell,K'Vonte Donnell,LV,11,0,566,236,22,56,24,58,0,K'Vonte,Donnell,K'VonteDonnell_31125,866,864,4,26,1,22,Signed,Normal,69,0,0,LV,tier_6,25.727272727272727,9.833333333333334,0.0
463,WR,Calvin,Russell,Calvin Russell,DET,11,0,734,0,28,58,0,0,0,Calvin,Russell,CalvinRussell_29124,3590,3588,6,27,1,18,Signed,Normal,77,0,0,DET,tier_4,26.214285714285715,,0.0
464,WR,Kingston,Goodman,Kingston Goodman,PIT,11,0,643,198,27,34,36,19,0,Kingston,Goodman,KingstonGoodman_32722,1782,1780,3,24,63,28,Signed,Normal,67,0,0,PIT,tier_6,23.814814814814813,5.5,0.0
465,HB,Bryce,Colbert,Bryce Colbert,NYG,11,0,455,0,18,57,0,0,0,Bryce,Colbert,BryceColbert_30214,1491,1489,5,26,2,15,Signed,Normal,76,0,0,NYG,tier_4,25.27777777777778,,0.0
466,HB,Jett,Wallace,Jett Wallace,DEN,11,1,750,343,29,71,28,82,0,Jett,Wallace,JettWallace_31515,988,986,4,26,5,3,Signed,Normal,75,0,0,DEN,tier_4,25.862068965517242,12.25,0.017543859649122806
469,HB,Abu,Sama III,Abu Sama III,LAR,11,0,673,0,29,44,0,0,0,Abu,Sama III,AbuSama III_533,3133,3131,8,30,5,23,Signed,Normal,72,0,0,LAR,tier_5,23.20689655172414,,0.0
470,HB,Brandon,Billingsley,Brandon Billingsley,BUF,11,0,615,95,25,55,14,28,0,Brandon,Billingsley,BrandonBillingsley_31324,3084,3082,4,25,3,2,Signed,Normal,70,0,0,BUF,tier_5,24.6,6.785714285714286,0.0
499,WR,Daithan,Faulkner,Daithan Faulkner,MIA,11,0,812,0,33,58,0,0,0,Daithan,Faulkner,DaithanFaulkner_33530,2869,2867,2,24,5,11,Signed,Normal,66,0,0,MIA,tier_6,24.606060606060606,,0.0
913,WR,Josh,Byers,Josh Byers,NYG,11,0,497,0,18,100,0,0,1,Josh,Byers,JoshByers_3549,483,481,0,23,4,15,Signed,Normal,76,0,0,NYG,tier_4,27.61111111111111,,0.05555555555555555
921,HB,Anthony,Keenan III,Anthony Keenan III,CLE,11,0,873,0,34,59,0,0,0,Anthony,Keenan III,AnthonyKeenan III_33328,1789,1787,2,24,3,4,Signed,Normal,73,0,0,CLE,tier_5,25.676470588235293,,0.0
922,WR,Dorian,McDougle,Dorian McDougle,NYJ,11,0,970,216,36,65,24,44,0,Dorian,McDougle,DorianMcDougle_33513,1478,1476,2,23,5,17,Signed,Normal,67,0,0,NYJ,tier_6,26.944444444444443,9.0,0.0
936,HB,Justin,Thornton,Justin Thornton,MIN,11,0,841,5,30,78,1,5,0,Justin,Thornton,JustinThornton_34430,552,550,1,24,4,30,Signed,Normal,72,0,0,MIN,tier_5,28.033333333333335,5.0,0.0
941,HB,Dwayne,Davis Jr,Dwayne Davis Jr,TB,11,0,461,0,19,61,0,0,0,Dwayne,Davis Jr,DwayneDavis Jr_3231,994,992,3,25,3,5,Signed,Normal,76,0,0,TB,tier_4,24.263157894736842,,0.0
942,WR,Derek,Meadows,Derek Meadows,TEN,11,0,326,8,16,21,1,8,0,Derek,Meadows,DerekMeadows_2941,2832,2830,6,29,4,29,Signed,Normal,68,0,0,TEN,tier_6,20.375,8.0,0.0
943,HB,Adonis,Coates,Adonis Coates,GB,11,0,474,121,21,33,12,35,0,Adonis,Coates,AdonisCoates_34214,841,839,1,23,2,19,Signed,Normal,73,0,0,GB,tier_5,22.571428571428573,10.083333333333334,0.0
68,CB,Syeed,Ashmore,Syeed Ashmore,NO,11,0,1041,88,43,61,8,26,0,Syeed,Ashmore,SyeedAshmore_35412,1532,1530,0,22,4,26,Signed,Normal,71,0,0,NO,tier_5,24.209302325581394,11.0,0.0
69,CB,Alex,Dawson,Alex Dawson,JAX,11,0,956,0,36,66,0,0,0,Alex,Dawson,AlexDawson_35442,78,76,0,22,4,16,Signed,Normal,71,0,0,JAX,tier_5,26.555555555555557,,0.0
72,CB,M.J.,Jackson,M.J. Jackson,CIN,11,0,678,7,29,53,2,7,0,M.J.,Jackson,M.J.Jackson_34524,3276,3274,1,24,5,1,Signed,Normal,72,0,0,CIN,tier_5,23.379310344827587,3.5,0.0
73,CB,Jamaal,Gallimore,Jamaal Gallimore,ATL,11,0,738,87,30,26,10,25,0,Jamaal,Gallimore,JamaalGallimore_3351,3438,3436,2,24,5,13,Signed,Normal,65,0,0,ATL,tier_6,24.6,8.7,0.0
75,CB,Travis,Hunter,Travis Hunter,CIN,11,0,372,0,15,26,0,0,0,Travis,Hunter,TravisHunter_14,492,490,10,31,1,1,Signed,Star,74,0,0,CIN,tier_5,24.8,,0.0
76,CB,Dison,Gray,Dison Gray,BUF,11,0,1107,30,44,61,3,14,0,Dison,Gray,DisonGray_3477,572,570,1,24,63,2,Signed,Normal,65,0,0,BUF,tier_6,25.15909090909091,10.0,0.0
79,CB,Michael,Willis,Michael Willis,CAR,11,0,1007,43,39,27,7,10,0,Michael,Willis,MichaelWillis_35614,1158,1156,0,23,6,20,Signed,Normal,66,0,0,CAR,tier_6,25.82051282051282,6.142857142857143,0.0
80,CB,Brandon,McKnight,Brandon McKnight,GB,11,0,745,0,33,48,0,0,0,Brandon,McKnight,BrandonMcKnight_3363254,959,957,2,25,63,19,Signed,Normal,66,0,0,GB,tier_6,22.575757575757574,,0.0
529,CB,Tyler,Northcutt Jr,Tyler Northcutt Jr,LV,11,0,402,0,17,24,0,0,0,Tyler,Northcutt Jr,TylerNorthcutt Jr_31419,2638,2636,4,25,4,22,Signed,Normal,75,0,0,LV,tier_4,23.647058823529413,,0.0
536,CB,Ovie,Benshaw,Ovie Benshaw,BAL,11,0,952,0,40,30,0,0,0,Ovie,Benshaw,OvieBenshaw_31336,643,641,4,27,3,24,Signed,Normal,72,0,0,BAL,tier_5,23.8,,0.0
546,CB,Jason,Mack,Jason Mack,ATL,11,0,426,0,18,24,0,0,0,Jason,Mack,JasonMack_33424,939,937,2,24,4,13,Signed,Normal,69,0,0,ATL,tier_6,23.666666666666668,,0.0
