Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
223,WR,Joshua,Palmer,Joshua Palmer,IND,0,0,0,0,697,66,806,282,True,0,1,0,0,59,0,0,5,0,0,0,0,0,0,0,2,14,14,0,9,0,Joshua,Palmer,2164.0,2162.0,7.0,28.0,9.0,Signed,Star,78.0,0.0,0.0,IND,tier_4,864.7642679900745,1672.8,0.14285714285714285,2.4813895781637716,0.19102432339842412,IND,-2.0
229,HB,Jonathan,Taylor,Jonathan Taylor,TEN,620,0,2,223,130,19,452,103,True,0,130,0,0,13,0,5,5,60,0,10,0,0,0,0,2,16,1,2,29,9,Jonathan,Taylor,2745.0,2743.0,8.0,29.0,29.0,Signed,Star,79.0,0.0,0.0,TEN,tier_4,1659.2920353982302,1431.6083916083915,0.6875,24.336283185840706,0.03106332138590203,TEN,6.0
232,QB,Jordan,Love,Jordan Love,GB,122,4426,0,22,0,0,1082,0,True,385,35,626,13,0,0,1,5,24,53,1,0,0,39,28,0,16,16,12,19,0,Jordan,Love,1753.0,1751.0,8.0,29.0,19.0,Signed,Superstar,85.0,0.0,0.0,GB,tier_2,112.75415896487985,1045.7142857142858,0.0,0.0,0.0,,
233,WR,Carnell,Tate,Carnell Tate,BAL,0,0,0,0,253,51,496,94,True,0,0,0,0,21,0,0,5,0,0,0,0,0,0,0,1,16,6,0,24,0,Carnell,Tate,3085.0,3083.0,1.0,23.0,24.0,Signed,Normal,72.0,0.0,0.0,BAL,tier_5,510.08064516129036,1734.857142857143,0.0625,2.0161290322580645,0.06054079923426657,BAL,-7.0
280,TE,Dalton,Kincaid,Dalton Kincaid,BUF,0,0,2,0,720,37,1004,327,True,0,0,0,0,61,0,0,5,0,0,1,0,0,0,0,4,15,15,0,2,0,Dalton,Kincaid,1615.0,1613.0,5.0,28.0,2.0,Signed,Superstar,92.0,0.0,0.0,BUF,tier_1,717.1314741035857,1699.672131147541,0.26666666666666666,3.9840637450199203,0.20920730046308908,BUF,-1.0
303,TE,Benjamin,Brahmer,Benjamin Brahmer,IND,0,0,2,0,482,24,1121,253,True,0,0,0,0,47,0,0,5,0,0,1,0,0,0,0,3,16,16,0,9,0,Benjamin,Brahmer,1091.0,1089.0,0.0,23.0,9.0,Signed,Star,83.0,0.0,0.0,IND,tier_3,429.97323818019623,1476.7659574468082,0.1875,2.676181980374665,0.11558752997601919,IND,-4.0
321,QB,Michael,Penix Jr.,Michael Penix Jr.,BAL,99,1308,0,36,0,0,429,0,True,122,25,201,10,0,0,1,5,42,61,1,0,0,19,7,0,15,7,2,24,1,Michael,Penix Jr.,3234.0,3232.0,4.0,28.0,24.0,Signed,Normal,68.0,0.0,0.0,BAL,tier_6,230.76923076923077,1188.0,0.06666666666666667,2.331002331002331,0.0,,
327,HB,Dante,Dowdell,Dante Dowdell,SEA,532,0,0,121,288,21,546,217,True,0,151,0,0,32,0,4,5,38,0,7,0,0,0,0,1,16,8,0,27,7,Dante,Dowdell,591.0,589.0,2.0,24.0,27.0,Signed,Normal,74.0,0.0,0.0,SEA,tier_5,1501.8315018315018,1098.754098360656,0.5,14.652014652014651,0.0622568093385214,SEA,1.0
328,QB,Jackson,Arnold,Jackson Arnold,NYG,116,3085,0,0,0,0,722,0,True,258,45,370,10,0,0,0,5,6,76,0,0,0,20,22,0,11,11,2,15,0,Jackson,Arnold,2954.0,2952.0,2.0,24.0,15.0,Signed,XFactor,94.0,0.0,0.0,NYG,tier_1,160.66481994459832,773.3333333333334,0.0,0.0,0.0,,
338,QB,K.J.,Jefferson,K.J. Jefferson,NE,0,0,0,0,0,0,1,0,True,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,21,0,K.J.,Jefferson,3447.0,3445.0,4.0,27.0,21.0,Signed,Normal,60.0,0.0,0.0,NE,tier_6,0.0,,0.0,0.0,0.0,,
344,QB,Zach,Wilson,Zach Wilson,MIN,0,2,0,0,22,22,15,8,True,1,0,1,0,1,0,0,5,0,2,0,0,0,0,0,0,4,0,0,30,0,Zach,Wilson,3101.0,3099.0,7.0,29.0,30.0,Signed,Normal,66.0,0.0,0.0,MIN,tier_6,1466.6666666666665,3167.9999999999995,0.0,0.0,0.022239070002527166,,
345,QB,Tyler,Cherry,Tyler Cherry,CIN,0,0,0,0,0,0,9,0,True,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,Tyler,Cherry,2891.0,2889.0,0.0,22.0,1.0,Signed,Normal,65.0,0.0,0.0,CIN,tier_6,0.0,,0.0,0.0,0.0,,
358,QB,Reese,Poffenbarger,Reese Poffenbarger,ARI,0,0,0,0,0,0,3,0,True,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,6,0,Reese,Poffenbarger,2057.0,2055.0,2.0,24.0,6.0,Signed,Normal,65.0,0.0,0.0,ARI,tier_6,0.0,,0.0,0.0,0.0,,
367,WR,Adonai,Mitchell,Adonai Mitchell,CHI,14,0,1,0,1012,64,604,375,True,0,3,0,0,76,0,0,5,6,0,0,0,0,0,0,8,11,11,0,0,0,Adonai,Mitchell,3281.0,3279.0,4.0,26.0,0.0,Signed,XFactor,92.0,0.0,0.0,CHI,tier_1,1698.6754966887415,1897.8227848101264,0.7272727272727273,13.245033112582782,0.30833682446585675,CHI,6.0
369,QB,Jalen,Hurts,Jalen Hurts,PHI,440,2076,0,163,0,0,663,0,True,187,76,298,9,0,0,5,5,49,48,8,0,0,17,9,0,12,10,4,12,7,Jalen,Hurts,1357.0,1355.0,8.0,30.0,12.0,Signed,Star,79.0,0.0,0.0,PHI,tier_4,663.6500754147813,1736.842105263158,0.5833333333333334,10.558069381598793,0.0,,
391,HB,Donovan,Edwards,Donovan Edwards,NYG,1028,0,2,234,360,31,753,264,True,0,287,0,0,45,0,5,5,64,0,16,0,0,0,0,2,16,16,0,15,12,Donovan,Edwards,3243.0,3241.0,4.0,25.0,15.0,Signed,Star,87.0,0.0,0.0,NYG,tier_2,1843.293492695883,1085.0602409638554,0.875,18.59229747675963,0.07458048477315103,NYG,-2.0
426,HB,Braylen,Russell,Braylen Russell,CLE,335,0,1,97,57,14,276,42,True,0,89,0,0,8,0,2,5,57,0,6,0,0,0,0,0,12,3,0,4,5,Braylen,Russell,1277.0,1275.0,0.0,23.0,4.0,Signed,Normal,74.0,0.0,0.0,CLE,tier_5,1420.2898550724638,1120.701030927835,0.4166666666666667,18.115942028985508,0.01761706073249884,CLE,3.0
445,WR,Moose,Muhammad III,Moose Muhammad III,CLE,0,0,0,0,891,31,973,354,True,0,0,0,0,73,0,0,5,0,0,1,0,0,0,0,4,16,16,0,4,0,Moose,Muhammad III,860.0,858.0,3.0,27.0,4.0,Signed,Normal,76.0,0.0,0.0,CLE,tier_4,915.7245632065776,1757.5890410958903,0.25,4.110996916752312,0.20653685674547984,CLE,0.0
454,HB,Kameron,Davis,Kameron Davis,SF,395,0,0,117,70,25,404,49,True,0,93,0,0,7,0,2,5,50,0,6,0,0,0,0,1,16,16,0,14,7,Kameron,Davis,1180.0,1178.0,1.0,22.0,14.0,Signed,Star,76.0,0.0,0.0,SF,tier_4,1150.9900990099009,1285.8000000000002,0.5,19.801980198019802,0.01632462686567164,SF,3.0
456,WR,Keonde,Henry,Keonde Henry,TB,0,0,1,0,647,54,760,260,True,0,0,0,0,56,0,0,5,0,0,0,0,0,0,0,4,14,14,2,5,0,Keonde,Henry,3461.0,3459.0,0.0,22.0,5.0,Signed,Normal,78.0,0.0,0.0,TB,tier_4,851.3157894736843,1663.7142857142856,0.2857142857142857,5.263157894736842,0.15612934362934364,TB,-1.0
457,HB,Jerrick,Gibson,Jerrick Gibson,LV,786,0,1,207,402,46,678,309,True,0,195,0,0,46,0,6,5,49,0,11,0,0,0,0,2,15,15,0,22,3,Jerrick,Gibson,2676.0,2674.0,1.0,23.0,22.0,Signed,Star,78.0,0.0,0.0,LV,tier_4,1752.212389380531,1218.6224066390043,0.3333333333333333,7.374631268436578,0.11192900026102845,LV,1.0
460,WR,J.Michael,Sturdivant,J.Michael Sturdivant,IND,0,0,0,0,246,38,363,79,True,0,0,0,0,21,0,0,5,0,0,1,0,0,0,0,4,13,11,0,9,0,J.Michael,Sturdivant,3222.0,3220.0,4.0,26.0,9.0,Signed,Normal,75.0,0.0,0.0,IND,tier_4,677.685950413223,1686.857142857143,0.3076923076923077,11.019283746556475,0.072606530160487,IND,0.0
461,WR,Kobe,Prentice,Kobe Prentice,WAS,0,0,0,0,331,61,614,116,True,0,0,0,0,25,0,0,5,0,0,2,0,0,0,0,5,16,16,0,25,0,Kobe,Prentice,2990.0,2988.0,2.0,24.0,25.0,Signed,Normal,69.0,0.0,0.0,WAS,tier_6,539.0879478827362,1906.56,0.3125,8.143322475570033,0.08373387300784214,WAS,3.0
462,WR,Semaj,Morgan,Semaj Morgan,CHI,6,0,2,0,486,43,897,201,True,0,1,0,0,38,0,0,5,6,0,3,0,0,0,0,2,16,16,0,0,0,Semaj,Morgan,909.0,907.0,1.0,23.0,0.0,Signed,Normal,71.0,0.0,0.0,CHI,tier_5,548.4949832775919,1840.6153846153845,0.125,2.229654403567447,0.10180142438206954,CHI,-5.0
464,HB,Caden,Durham,Caden Durham,GB,1073,0,1,541,285,20,763,225,True,0,192,0,0,34,0,12,5,63,0,21,0,0,0,0,0,16,16,0,19,7,Caden,Durham,3061.0,3059.0,1.0,22.0,19.0,Signed,Normal,76.0,0.0,0.0,GB,tier_4,1779.8165137614678,1605.9292035398228,0.4375,9.174311926605505,0.06439222774514235,GB,9.0
465,WR,Marvin,Mims Jr,Marvin Mims Jr,TB,8,0,3,0,873,50,906,341,True,0,5,0,0,67,0,0,5,5,0,2,0,0,0,0,4,16,14,0,5,0,Marvin,Mims Jr,1944.0,1942.0,5.0,26.0,5.0,Signed,Star,77.0,0.0,0.0,TB,tier_4,972.4061810154525,1779.3333333333333,0.25,4.415011037527594,0.18433277027027026,TB,1.0
469,WR,Squirrel,White,Squirrel White,MIA,0,0,4,0,645,25,961,280,True,0,0,0,0,59,0,0,5,0,0,2,0,0,0,0,2,16,16,1,11,0,Squirrel,White,514.0,512.0,3.0,24.0,11.0,Signed,Normal,74.0,0.0,0.0,MIA,tier_5,671.1758584807492,1574.237288135593,0.125,2.081165452653486,0.1424784625579854,MIA,-3.0
471,WR,Kojo,Antwi,Kojo Antwi,NE,0,0,3,0,272,24,427,96,True,0,0,0,0,21,0,0,5,0,0,5,0,0,0,0,2,16,16,0,21,0,Kojo,Antwi,372.0,370.0,1.0,23.0,21.0,Signed,Normal,67.0,0.0,0.0,NE,tier_6,637.0023419203748,1865.142857142857,0.125,4.68384074941452,0.06439393939393939,NE,-1.0
472,WR,Isaiah,Bond,Isaiah Bond,TEN,0,0,5,0,506,50,935,208,True,0,0,0,0,43,0,0,5,0,0,4,0,0,0,0,3,16,16,0,29,0,Isaiah,Bond,494.0,492.0,3.0,24.0,29.0,Signed,Normal,74.0,0.0,0.0,TEN,tier_5,541.1764705882352,1694.5116279069769,0.1875,3.2085561497326203,0.12090800477897252,TEN,-5.0
474,WR,Micah,Hudson,Micah Hudson,LAC,0,0,3,0,385,24,693,172,True,0,0,0,0,35,0,0,5,0,0,2,0,0,0,0,2,14,14,0,7,0,Micah,Hudson,3202.0,3200.0,1.0,22.0,7.0,Signed,Star,73.0,0.0,0.0,LAC,tier_5,555.5555555555555,1583.9999999999998,0.14285714285714285,2.886002886002886,0.10287584755669862,LAC,-5.0
476,HB,Omarion,Hampton,Omarion Hampton,CIN,449,0,0,131,236,24,530,204,True,0,102,0,0,27,0,3,5,57,0,8,0,0,0,0,5,16,5,0,1,4,Omarion,Hampton,2816.0,2814.0,2.0,25.0,1.0,Signed,Normal,78.0,0.0,0.0,CIN,tier_4,1292.4528301886794,1307.627906976744,0.5625,16.9811320754717,0.057434899002190315,CIN,6.0
480,WR,Jaquaize,Pettaway,Jaquaize Pettaway,ARI,1,0,0,0,461,37,737,193,True,0,1,0,0,44,0,0,5,1,0,0,0,0,0,0,1,13,13,0,6,0,Jaquaize,Pettaway,1761.0,1759.0,2.0,24.0,6.0,Signed,Normal,75.0,0.0,0.0,ARI,tier_4,626.8656716417911,1481.8666666666668,0.07692307692307693,1.3568521031207597,0.15114134666612022,ARI,-6.0
484,WR,Demario,Douglas,Demario Douglas,ATL,1,0,4,0,292,26,481,134,True,0,1,0,0,27,0,0,5,1,0,0,0,0,0,0,3,10,10,1,13,0,Demario,Douglas,736.0,734.0,5.0,27.0,13.0,Signed,Normal,74.0,0.0,0.0,ATL,tier_5,609.1476091476092,1512.4285714285713,0.3,6.237006237006238,0.1265438786565547,ATL,0.0
485,WR,Eugene,Wilson III,Eugene Wilson III,MIN,0,0,2,0,256,26,302,117,True,0,0,0,0,22,0,0,5,0,0,2,0,0,0,0,0,13,10,0,30,0,Eugene,Wilson III,1288.0,1286.0,1.0,24.0,30.0,Signed,Normal,69.0,0.0,0.0,MIN,tier_6,847.682119205298,1675.6363636363635,0.0,0.0,0.07962520168737,MIN,-1.0
486,WR,Dacari,Collins,Dacari Collins,ARI,0,0,1,0,297,26,405,129,True,0,0,0,0,28,0,0,5,0,0,1,0,0,0,0,2,16,11,0,6,0,Dacari,Collins,2527.0,2525.0,2.0,25.0,6.0,Signed,Normal,72.0,0.0,0.0,ARI,tier_5,733.3333333333333,1527.4285714285716,0.125,4.938271604938271,0.07911561001598295,ARI,-4.0
487,HB,Bo,Jackson,Bo Jackson,HOU,581,0,2,125,231,19,590,224,True,0,154,0,0,30,0,3,5,43,0,7,0,0,0,0,3,16,2,0,31,9,Bo,Jackson,437.0,435.0,0.0,21.0,31.0,Signed,Star,80.0,0.0,0.0,HOU,tier_3,1376.271186440678,1128.0652173913045,0.75,20.338983050847457,0.05625913297613249,HOU,1.0
493,HB,Jordan,Lyle,Jordan Lyle,NE,82,0,3,0,91,19,307,61,True,0,39,0,0,14,0,0,5,6,0,1,0,0,0,0,0,16,1,1,21,1,Jordan,Lyle,1887.0,1885.0,0.0,23.0,21.0,Signed,Normal,70.0,0.0,0.0,NE,tier_5,563.5179153094463,711.3962264150944,0.0625,3.257328990228013,0.021543560606060608,NE,-7.0
494,WR,Jaime,Ffrench,Jaime Ffrench,NE,0,0,0,0,762,45,827,259,True,0,0,0,0,58,0,0,5,0,0,1,0,0,0,0,2,14,14,0,21,0,Jaime,Ffrench,3542.0,3540.0,0.0,21.0,21.0,Signed,Star,77.0,0.0,0.0,NE,tier_4,921.4026602176541,1891.8620689655172,0.14285714285714285,2.4183796856106405,0.20616883116883117,NE,-1.0
496,HB,Raheim,Sanders,Raheim Sanders,SF,1184,0,2,337,440,25,762,382,True,0,272,0,0,49,0,10,5,62,0,18,0,0,0,0,2,16,16,0,14,13,Raheim,Sanders,3224.0,3222.0,4.0,26.0,14.0,Signed,XFactor,88.0,0.0,0.0,SF,tier_2,2131.2335958005247,1303.9252336448599,0.9375,19.68503937007874,0.10261194029850747,SF,6.0
497,HB,Justice,Haynes,Justice Haynes,LAR,462,0,0,45,169,20,511,143,True,0,123,0,0,23,0,1,5,31,0,6,0,0,0,0,0,16,2,0,23,2,Justice,Haynes,2606.0,2604.0,2.0,25.0,23.0,Signed,Normal,71.0,0.0,0.0,LAR,tier_5,1234.8336594911937,1116.0,0.125,3.9138943248532287,0.04138099902056807,LAR,-2.0
498,WR,London,Humphreys,London Humphreys,ATL,0,0,1,0,477,22,891,203,True,0,0,0,0,42,0,0,5,0,0,0,0,0,0,0,1,14,14,0,13,0,London,Humphreys,2301.0,2299.0,1.0,23.0,13.0,Signed,Normal,77.0,0.0,0.0,ATL,tier_4,535.3535353535353,1635.4285714285713,0.07142857142857142,1.122334455667789,0.14765516173966878,ATL,-9.0
499,WR,Zachariah,Branch,Zachariah Branch,CAR,0,0,6,0,769,27,1073,363,True,0,1,0,0,64,0,0,5,0,0,4,0,0,0,0,0,16,16,0,20,0,Zachariah,Branch,2573.0,2571.0,2.0,23.0,20.0,Signed,Normal,75.0,0.0,0.0,CAR,tier_4,716.6821994408201,1703.6307692307694,0.0,0.0,0.219025918541726,CAR,-5.0
500,WR,Aaron,Anderson,Aaron Anderson,PIT,0,0,5,0,636,66,699,217,True,0,0,0,0,39,0,0,5,0,0,3,0,0,0,0,3,16,16,0,28,0,Aaron,Anderson,869.0,867.0,1.0,24.0,28.0,Signed,Normal,73.0,0.0,0.0,PIT,tier_5,909.8712446351931,2348.307692307692,0.1875,4.291845493562231,0.16468151216986018,PIT,1.0
501,HB,Israel,Abanikanda,Israel Abanikanda,GB,511,0,3,189,103,13,473,91,True,0,113,0,0,17,0,5,5,61,0,13,0,0,0,0,1,16,0,1,19,5,Israel,Abanikanda,2.0,0.0,5.0,25.0,19.0,Signed,Normal,71.0,0.0,0.0,GB,tier_5,1298.0972515856238,1293.323076923077,0.375,12.684989429175475,0.023271577044735654,GB,3.0
503,HB,Devin,Mockobee,Devin Mockobee,HOU,725,0,3,257,202,19,585,140,True,0,180,0,0,28,0,6,5,52,0,10,0,0,0,0,0,14,14,0,31,2,Devin,Mockobee,1214.0,1212.0,3.0,25.0,31.0,Signed,Star,82.0,0.0,0.0,HOU,tier_3,1584.6153846153845,1185.5192307692307,0.14285714285714285,3.4188034188034186,0.05622434068610396,HOU,-4.0
505,WR,Raleek,Brown,Raleek Brown,DET,0,0,1,0,273,18,528,122,True,0,0,0,0,26,0,0,5,0,0,1,0,0,0,0,2,16,16,0,18,0,Raleek,Brown,179.0,177.0,2.0,24.0,18.0,Signed,Normal,74.0,0.0,0.0,DET,tier_5,517.0454545454546,1512.0,0.125,3.787878787878788,0.05551037006913379,DET,-7.0
506,WR,Evan,Stewart,Evan Stewart,MIN,0,0,0,0,613,31,919,252,True,0,0,0,0,50,0,0,5,0,0,0,0,0,0,0,4,14,14,0,30,0,Evan,Stewart,3140.0,3138.0,3.0,25.0,30.0,Signed,Normal,79.0,0.0,0.0,MIN,tier_4,667.0293797606093,1765.44,0.2857142857142857,4.352557127312296,0.1770461027473916,MIN,-3.0
510,HB,Saquon,Barkley,Saquon Barkley,NYJ,417,0,3,50,340,30,717,245,True,0,113,0,0,36,0,3,5,44,0,5,0,0,0,0,2,16,16,2,17,4,Saquon,Barkley,149.0,147.0,10.0,31.0,17.0,Signed,Normal,72.0,0.0,0.0,NYJ,tier_5,1055.7880055788005,1168.1879194630874,0.375,8.368200836820083,0.07446342531756461,NYJ,-1.0
