Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
211,LG,Ryder,Lucas,Ryder Lucas,CIN,14,14,2,953,True,15,1,0,10,Ryder,Lucas,RyderLucas_32432,1416.0,1414.0,2.0,24.0,4.0,1.0,Signed,Normal,77.0,0.0,0.0,CIN,tier_4,2.0986358866736623,CIN,2
214,RG,Jaylen,Early,Jaylen Early,WAS,12,11,2,778,True,12,25,0,10,Jaylen,Early,,958.0,956.0,7.0,30.0,4.0,25.0,Signed,Normal,78.0,0.0,0.0,WAS,tier_4,2.5706940874035986,WAS,-1
215,LG,Kelvin,Banks Jr,Kelvin Banks Jr,WAS,17,20,3,1170,True,17,25,0,10,Kelvin,Banks Jr,,427.0,425.0,9.0,30.0,1.0,25.0,Signed,Star,76.0,0.0,0.0,WAS,tier_4,2.5641025641025643,WAS,-1
216,LT,Daymond,McCleod,Daymond McCleod,WAS,13,44,10,853,True,13,25,0,10,Daymond,McCleod,DaymondMcCleod_30132,317.0,315.0,4.0,27.0,1.0,25.0,Signed,Normal,76.0,0.0,0.0,WAS,tier_4,11.723329425556859,WAS,-4
237,RG,Andre,Westbrook,Andre Westbrook,KC,13,15,1,901,True,14,8,0,10,Andre,Westbrook,AndreWestbrook_31335,1600.0,1598.0,3.0,25.0,3.0,8.0,Signed,Normal,68.0,0.0,0.0,KC,tier_6,1.1098779134295227,KC,7
240,RT,Blake,Jenkins,Blake Jenkins,NYJ,17,12,4,1102,True,17,17,0,10,Blake,Jenkins,BlakeJenkins_33212,272.0,270.0,1.0,24.0,2.0,17.0,Signed,Normal,77.0,0.0,0.0,NYJ,tier_4,3.629764065335753,NYJ,5
241,RG,Hudson,Perroni,Hudson Perroni,NYJ,17,10,2,1209,True,17,17,0,10,Hudson,Perroni,,2251.0,2249.0,6.0,28.0,4.0,17.0,Signed,Normal,72.0,0.0,0.0,NYJ,tier_5,1.6542597187758479,NYJ,3
242,RT,JP,Benzschawel,JP Benzschawel,GB,17,11,7,1122,True,17,19,0,10,JP,Benzschawel,,2950.0,2948.0,8.0,31.0,63.0,19.0,Signed,Normal,74.0,0.0,0.0,GB,tier_5,6.238859180035651,GB,3
264,RT,John,O'Rourke,John O'Rourke,LV,17,16,5,1186,True,17,22,0,10,John,O'Rourke,JohnO'Rourke_32318,1086.0,1084.0,2.0,24.0,3.0,22.0,Signed,Star,85.0,0.0,0.0,LV,tier_2,4.2158516020236085,LV,-1
274,LT,Andrew,Thomas,Andrew Thomas,LAR,17,127,9,1154,True,17,23,0,10,Andrew,Thomas,ThomasAndrew_20964,2770.0,2768.0,14.0,35.0,1.0,23.0,Signed,Star,81.0,0.0,0.0,LAR,tier_3,7.79896013864818,LAR,1
311,C,Andy,Chambers,Andy Chambers,TB,15,40,9,914,True,15,5,0,10,Andy,Chambers,AndyChambers_3333,75.0,73.0,1.0,24.0,3.0,5.0,Signed,Star,73.0,0.0,0.0,TB,tier_5,9.846827133479213,TB,-6
312,RT,Mackey,Maillho,Mackey Maillho,TB,17,17,12,1131,True,17,5,0,10,Mackey,Maillho,,1439.0,1437.0,8.0,31.0,6.0,5.0,Signed,Normal,76.0,0.0,0.0,TB,tier_4,10.610079575596817,TB,-1
343,RT,Jameel,Lucas,Jameel Lucas,NYG,6,5,1,475,True,12,15,0,10,Jameel,Lucas,JameelLucas_30639,3466.0,3464.0,4.0,28.0,6.0,15.0,Signed,Normal,69.0,0.0,0.0,NYG,tier_6,2.1052631578947367,NYG,7
379,RT,Gavin,Ellis,Gavin Ellis,NYG,10,12,1,754,True,10,15,0,10,Gavin,Ellis,GavinEllis_30328,504.0,502.0,4.0,26.0,3.0,15.0,Signed,Normal,79.0,0.0,0.0,NYG,tier_4,1.3262599469496021,NYG,5
390,RG,Jordan,Tonga,Jordan Tonga,CAR,12,22,6,879,True,12,20,0,10,Jordan,Tonga,JordanTonga_2963427,1740.0,1738.0,5.0,27.0,63.0,20.0,Signed,Star,89.0,0.0,0.0,CAR,tier_2,6.825938566552901,CAR,-6
393,RT,Jayden,Williams,Jayden Williams,NE,17,11,9,1204,True,17,21,0,10,Jayden,Williams,,515.0,513.0,9.0,31.0,5.0,21.0,Signed,Normal,74.0,0.0,0.0,NE,tier_5,7.475083056478406,NE,0
394,LG,Sione,Auva'a,Sione Auva'a,NE,17,26,3,1187,True,17,21,0,10,Sione,Auva'a,,1873.0,1871.0,4.0,25.0,1.0,21.0,Signed,Normal,74.0,0.0,0.0,NE,tier_5,2.527379949452401,NE,0
395,RG,Walter,Samuel,Walter Samuel,NE,17,11,4,1249,True,17,21,0,10,Walter,Samuel,WalterSamuel_30130,455.0,453.0,4.0,27.0,1.0,21.0,Signed,Star,72.0,0.0,0.0,NE,tier_5,3.2025620496397114,NE,0
396,C,Joel,Thomas,Joel Thomas,NE,10,20,0,640,True,10,21,0,10,Joel,Thomas,JoelThomas_33214,245.0,243.0,1.0,23.0,2.0,21.0,Signed,Normal,79.0,0.0,0.0,NE,tier_4,0.0,NE,10
398,LT,Colt,Jackson,Colt Jackson,NE,17,75,14,1213,True,17,21,0,10,Colt,Jackson,ColtJackson_32120,646.0,644.0,2.0,24.0,1.0,21.0,Signed,Normal,77.0,0.0,0.0,NE,tier_4,11.541632316570487,NE,-4
402,LT,Elijah,Pritchett,Elijah Pritchett,NYG,17,82,5,1268,True,17,15,0,10,Elijah,Pritchett,,2346.0,2344.0,7.0,30.0,4.0,15.0,Signed,Superstar,95.0,0.0,0.0,NYG,tier_0,3.943217665615142,NYG,-1
423,LT,Lincoln,Byron,Lincoln Byron,HOU,13,8,5,826,True,15,31,0,10,Lincoln,Byron,LincolnByron_33316,38.0,36.0,1.0,22.0,3.0,31.0,Signed,Normal,74.0,0.0,0.0,HOU,tier_5,6.053268765133172,HOU,3
464,LG,Cam'Ron,Johnson,Cam'Ron Johnson,DAL,8,11,1,580,True,16,10,0,10,Cam'Ron,Johnson,,1751.0,1749.0,9.0,31.0,2.0,10.0,Signed,Star,78.0,0.0,0.0,DAL,tier_4,1.7241379310344827,DAL,2
497,LT,Joe,Alt,Joe Alt,KC,11,65,5,747,True,12,8,0,10,Joe,Alt,,3203.0,3201.0,10.0,31.0,1.0,8.0,Signed,Normal,72.0,0.0,0.0,KC,tier_5,6.693440428380187,KC,3
499,C,Alex,Alfaro,Alex Alfaro,CHI,15,44,3,883,True,15,0,0,10,Alex,Alfaro,AlexAlfaro_34612,2431.0,2429.0,0.0,21.0,6.0,0.0,Signed,Normal,67.0,0.0,0.0,CHI,tier_6,3.3975084937712343,CHI,1
512,RG,Darren,Stephenson,Darren Stephenson,HOU,14,12,1,982,True,14,31,0,10,Darren,Stephenson,DarrenStephenson_33110,1399.0,1397.0,1.0,24.0,1.0,31.0,Signed,Normal,73.0,0.0,0.0,HOU,tier_5,1.0183299389002036,HOU,6
513,RT,Jalen,Payton,Jalen Payton,HOU,5,13,3,429,True,17,31,0,10,Jalen,Payton,JalenPayton_3225,790.0,788.0,2.0,23.0,2.0,31.0,Signed,Normal,72.0,0.0,0.0,HOU,tier_5,6.993006993006993,HOU,3
570,LT,Trey,Thurman,Trey Thurman,PHI,15,39,6,1076,True,15,12,0,10,Trey,Thurman,TreyThurman_31532,2896.0,2894.0,3.0,24.0,5.0,12.0,Signed,Normal,78.0,0.0,0.0,PHI,tier_4,5.5762081784386615,PHI,2
571,RT,Austin,Posey,Austin Posey,PHI,17,11,8,1214,True,17,12,0,10,Austin,Posey,AustinPosey_3121,993.0,991.0,3.0,26.0,2.0,12.0,Signed,Star,80.0,0.0,0.0,PHI,tier_3,6.589785831960461,PHI,1
589,LT,Monroe,Freeling,Monroe Freeling,LAC,17,103,3,1148,True,17,7,0,10,Monroe,Freeling,,2531.0,2529.0,7.0,30.0,1.0,7.0,Signed,Superstar,82.0,0.0,0.0,LAC,tier_3,2.613240418118467,LAC,4
590,RT,Samson,Okunlola,Samson Okunlola,CIN,17,19,4,1183,True,17,1,0,10,Samson,Okunlola,,3567.0,3565.0,6.0,28.0,1.0,1.0,Signed,Superstar,94.0,0.0,0.0,CIN,tier_1,3.3812341504649197,CIN,1
591,LG,Lamar,Brown,Lamar Brown,CIN,15,27,1,1109,True,15,1,0,10,Lamar,Brown,LamarBrown_29117,204.0,202.0,5.0,26.0,1.0,1.0,Signed,Normal,84.0,0.0,0.0,CIN,tier_3,0.9017132551848511,CIN,4
596,RG,Will,Newton,Will Newton,IND,9,4,4,656,True,15,9,0,10,Will,Newton,WillNewton_3364,1557.0,1555.0,1.0,22.0,6.0,9.0,Signed,Normal,67.0,0.0,0.0,IND,tier_6,6.097560975609756,IND,-2
597,LG,Chester,Sheppard,Chester Sheppard,IND,7,7,3,564,True,15,9,0,10,Chester,Sheppard,ChesterSheppard_3263355,2600.0,2598.0,2.0,24.0,63.0,9.0,Signed,Normal,63.0,0.0,0.0,IND,tier_6,5.319148936170213,IND,-2
598,RG,Jeremy,Washington,Jeremy Washington,ATL,7,3,0,531,True,13,13,0,10,Jeremy,Washington,JeremyWashington_3363336,1830.0,1828.0,1.0,23.0,63.0,13.0,Signed,Normal,67.0,0.0,0.0,ATL,tier_6,0.0,ATL,13
601,RT,Melvin,Patton,Melvin Patton,IND,7,9,6,536,True,17,9,0,10,Melvin,Patton,MelvinPatton_30126,2462.0,2460.0,4.0,26.0,1.0,9.0,Signed,Normal,69.0,0.0,0.0,IND,tier_6,11.194029850746269,IND,-2
636,LG,Knijeah,Harris,Knijeah Harris,LV,6,3,0,459,True,12,22,0,10,Knijeah,Harris,,2908.0,2906.0,6.0,28.0,1.0,22.0,Signed,Normal,67.0,0.0,0.0,LV,tier_6,0.0,LV,13
637,LG,Cooper,Beebee,Cooper Beebee,MIN,17,19,2,1209,True,17,30,0,10,Cooper,Beebee,,3304.0,3302.0,10.0,33.0,3.0,30.0,Signed,Star,69.0,0.0,0.0,MIN,tier_6,1.6542597187758479,MIN,4
638,C,Shawn,Holcomb,Shawn Holcomb,MIN,11,34,1,770,True,11,30,0,10,Shawn,Holcomb,ShawnHolcomb_30621,2404.0,2402.0,4.0,26.0,6.0,30.0,Signed,Normal,70.0,0.0,0.0,MIN,tier_5,1.2987012987012987,MIN,6
639,C,Eric,Tucker,Eric Tucker,KC,16,23,2,1093,True,17,8,0,10,Eric,Tucker,EricTucker_34631,3333.0,3331.0,0.0,23.0,6.0,8.0,Signed,Normal,65.0,0.0,0.0,KC,tier_6,1.8298261665141813,KC,4
640,C,Tyler,Cavanaugh,Tyler Cavanaugh,GB,17,91,0,1214,True,17,19,0,10,Tyler,Cavanaugh,TylerCavanaugh_31118,3503.0,3501.0,3.0,25.0,1.0,19.0,Signed,Superstar,94.0,0.0,0.0,GB,tier_1,0.0,GB,4
694,C,Tyler,Linderbaum,Tyler Linderbaum,BAL,15,52,3,934,True,15,24,0,10,Tyler,Linderbaum,LinderbaumTyler_22274,1729.0,1727.0,12.0,34.0,1.0,24.0,Signed,Star,71.0,0.0,0.0,BAL,tier_5,3.2119914346895073,BAL,0
770,RT,Immanuel,Iheanacho,Immanuel Iheanacho,LAR,17,31,6,1174,True,17,23,0,10,Immanuel,Iheanacho,,2082.0,2080.0,5.0,26.0,1.0,23.0,Signed,Normal,88.0,0.0,0.0,LAR,tier_2,5.110732538330494,LAR,-1
771,C,Tyler,Holliday,Tyler Holliday,LAR,17,87,0,1229,True,17,23,0,10,Tyler,Holliday,TylerHolliday_3038,3101.0,3099.0,4.0,26.0,3.0,23.0,Signed,Star,88.0,0.0,0.0,LAR,tier_2,0.0,LAR,6
773,RG,Marcus,Henderson,Marcus Henderson,BUF,14,9,0,923,True,14,2,0,10,Marcus,Henderson,,1088.0,1086.0,8.0,31.0,3.0,2.0,Signed,Superstar,80.0,0.0,0.0,BUF,tier_3,0.0,BUF,8
774,RG,Trey,Smith,Trey Smith,LAC,6,3,0,490,True,15,7,0,10,Trey,Smith,SmithTrey_21648,2615.0,2613.0,13.0,35.0,6.0,7.0,Signed,Star,69.0,0.0,0.0,LAC,tier_6,0.0,LAC,13
802,RG,Derek,Irons,Derek Irons,NYG,6,8,1,486,True,17,15,0,10,Derek,Irons,DerekIrons_3363346,554.0,552.0,1.0,24.0,63.0,15.0,Signed,Normal,65.0,0.0,0.0,NYG,tier_6,2.05761316872428,NYG,4
804,LG,Lucas,Pollard,Lucas Pollard,NYG,15,28,1,1195,True,15,15,0,10,Lucas,Pollard,LucasPollard_33129,1357.0,1355.0,1.0,22.0,1.0,15.0,Signed,Normal,78.0,0.0,0.0,NYG,tier_4,0.8368200836820083,NYG,5
805,C,Connor,Lew,Connor Lew,NYG,10,50,0,839,True,15,15,0,10,Connor,Lew,,2400.0,2398.0,7.0,29.0,1.0,15.0,Signed,Normal,72.0,0.0,0.0,NYG,tier_5,0.0,NYG,12
815,RT,Jack,Lange,Jack Lange,BUF,16,18,4,1004,True,16,2,0,10,Jack,Lange,,2700.0,2698.0,5.0,27.0,2.0,2.0,Signed,Superstar,88.0,0.0,0.0,BUF,tier_2,3.9840637450199203,BUF,2
865,C,Zach,Weston,Zach Weston,NE,7,34,2,589,True,15,21,0,10,Zach,Weston,ZachWeston_31727,2379.0,2377.0,3.0,25.0,7.0,21.0,Signed,Normal,64.0,0.0,0.0,NE,tier_6,3.395585738539898,NE,1
877,LT,Andrew,Chamblee,Andrew Chamblee,DAL,13,78,2,823,True,13,10,0,10,Andrew,Chamblee,,2183.0,2181.0,7.0,30.0,2.0,10.0,Signed,Normal,84.0,0.0,0.0,DAL,tier_3,2.430133657351154,DAL,4
878,C,Ryan,Brubaker,Ryan Brubaker,DAL,17,58,3,1185,True,17,10,0,10,Ryan,Brubaker,,2275.0,2273.0,7.0,30.0,3.0,10.0,Signed,Normal,85.0,0.0,0.0,DAL,tier_2,2.5316455696202533,DAL,-1
879,RT,Ekene,Ogboko,Ekene Ogboko,DAL,17,16,4,1153,True,17,10,0,10,Ekene,Ogboko,,49.0,47.0,5.0,26.0,1.0,10.0,Signed,Star,73.0,0.0,0.0,DAL,tier_5,3.469210754553339,DAL,6
881,RG,Baxter,Durbin,Baxter Durbin,DAL,17,22,5,1146,True,17,10,0,10,Baxter,Durbin,BaxterDurbin_33218,287.0,285.0,1.0,22.0,2.0,10.0,Signed,Star,83.0,0.0,0.0,DAL,tier_3,4.363001745200698,DAL,-2
882,LT,Kevin,Norris,Kevin Norris,DAL,5,18,4,402,True,17,10,0,10,Kevin,Norris,KevinNorris_33618,724.0,722.0,1.0,23.0,6.0,10.0,Signed,Normal,66.0,0.0,0.0,DAL,tier_6,9.950248756218905,DAL,1
883,LT,Broderick,Jones,Broderick Jones,PIT,17,19,14,1150,True,17,28,0,10,Broderick,Jones,JonesBroderick_22849,1519.0,1517.0,11.0,33.0,1.0,28.0,Signed,Superstar,83.0,0.0,0.0,PIT,tier_3,12.17391304347826,PIT,-5
950,LT,Anton,Harrison,Anton Harrison,CAR,13,35,5,815,True,13,20,0,10,Anton,Harrison,HarrisonAnton_22850,1168.0,1166.0,11.0,32.0,1.0,20.0,Signed,Star,80.0,0.0,0.0,CAR,tier_3,6.134969325153374,CAR,1
951,RG,Cooper,Patterson,Cooper Patterson,CAR,16,12,2,1070,True,16,20,0,10,Cooper,Patterson,CooperPatterson_34226,2160.0,2158.0,0.0,21.0,2.0,20.0,Signed,Normal,75.0,0.0,0.0,CAR,tier_4,1.8691588785046729,CAR,2
966,LG,Charlie,Randolph,Charlie Randolph,LAC,14,14,2,988,True,14,7,0,10,Charlie,Randolph,CharlieRandolph_3143,2193.0,2191.0,3.0,24.0,4.0,7.0,Signed,Star,72.0,0.0,0.0,LAC,tier_5,2.0242914979757085,LAC,3
1027,RG,Raymond,Pulido,Raymond Pulido,DET,17,33,0,1166,True,17,18,0,10,Raymond,Pulido,,3265.0,3263.0,7.0,30.0,2.0,18.0,Signed,Star,81.0,0.0,0.0,DET,tier_3,0.0,DET,8
1028,RT,Darnell,Wright,Darnell Wright,DET,13,45,9,826,True,13,18,0,10,Darnell,Wright,WrightDarnell_22861,3156.0,3154.0,11.0,33.0,1.0,18.0,Signed,Star,73.0,0.0,0.0,DET,tier_5,10.895883777239709,DET,0
1030,C,Benjamin,Meander-Camp,Benjamin Meander-Camp,DET,17,69,2,1220,True,17,18,0,10,Benjamin,Meander-Camp,BenjaminMeander-Camp_3425,2686.0,2684.0,0.0,22.0,2.0,18.0,Signed,Star,83.0,0.0,0.0,DET,tier_3,1.639344262295082,DET,1
1031,RT,Jared,Peterson,Jared Peterson,DET,14,10,4,974,True,17,18,0,10,Jared,Peterson,JaredPeterson_34221,1750.0,1748.0,0.0,22.0,2.0,18.0,Signed,Normal,71.0,0.0,0.0,DET,tier_5,4.106776180698152,DET,3
1033,LG,Steven,Stogner,Steven Stogner,MIA,17,19,2,1275,True,17,11,0,10,Steven,Stogner,StevenStogner_3239,1031.0,1029.0,2.0,25.0,3.0,11.0,Signed,Normal,87.0,0.0,0.0,MIA,tier_2,1.5686274509803921,MIA,-1
1069,C,Emmett,Charles,Emmett Charles,IND,15,46,2,983,True,15,9,0,10,Emmett,Charles,EmmettCharles_3027,222.0,220.0,4.0,27.0,2.0,9.0,Signed,Normal,82.0,0.0,0.0,IND,tier_3,2.0345879959308237,IND,1
1071,LT,Lonnie,Bulluck,Lonnie Bulluck,IND,17,62,19,1109,True,17,9,0,10,Lonnie,Bulluck,LonnieBulluck_32623,2717.0,2715.0,2.0,24.0,6.0,9.0,Signed,Normal,76.0,0.0,0.0,IND,tier_4,17.132551848512172,IND,-7
1093,LT,Nolan,Potter,Nolan Potter,HOU,16,77,9,1045,True,16,31,0,10,Nolan,Potter,,3360.0,3358.0,10.0,33.0,3.0,31.0,Signed,Star,75.0,0.0,0.0,HOU,tier_4,8.61244019138756,HOU,-1
1094,C,Jalyn,Peterson,Jalyn Peterson,HOU,14,55,4,998,True,17,31,0,10,Jalyn,Peterson,JalynPeterson_3347,953.0,951.0,1.0,23.0,4.0,31.0,Signed,Normal,69.0,0.0,0.0,HOU,tier_6,4.008016032064128,HOU,1
1095,LG,Curt,Peralta,Curt Peralta,LAR,6,14,3,491,True,12,23,0,10,Curt,Peralta,CurtPeralta_3063343,3572.0,3570.0,4.0,27.0,63.0,23.0,Signed,Normal,64.0,0.0,0.0,LAR,tier_6,6.109979633401222,LAR,-2
1115,RG,Erik,Hartwig,Erik Hartwig,MIA,16,20,2,1120,True,16,11,0,10,Erik,Hartwig,ErikHartwig_31128,2941.0,2939.0,3.0,24.0,1.0,11.0,Signed,Normal,85.0,0.0,0.0,MIA,tier_2,1.7857142857142856,MIA,-1
1117,LG,Landon,Dickerson,Landon Dickerson,CAR,5,10,0,469,True,16,20,0,10,Landon,Dickerson,DickersonLandon_21642,703.0,701.0,13.0,35.0,2.0,20.0,Signed,Star,73.0,0.0,0.0,CAR,tier_5,0.0,CAR,12
1121,RG,Graham,Barton,Graham Barton,PIT,17,3,6,605,True,17,28,0,10,Graham,Barton,BartonGraham_14703,3220.0,3218.0,10.0,32.0,2.0,28.0,Signed,Normal,67.0,0.0,0.0,PIT,tier_6,9.917355371900827,PIT,-5
1124,RG,Mitch,Carrington,Mitch Carrington,LAR,14,15,2,946,True,14,23,0,10,Mitch,Carrington,MitchCarrington_32615,1850.0,1848.0,2.0,24.0,6.0,23.0,Signed,Normal,75.0,0.0,0.0,LAR,tier_4,2.1141649048625792,LAR,2
1136,LG,Korbett,Howard,Korbett Howard,PHI,17,12,2,1293,True,17,12,0,10,Korbett,Howard,KorbettHoward_34218,430.0,428.0,0.0,22.0,2.0,12.0,Signed,Star,73.0,0.0,0.0,PHI,tier_5,1.5467904098994587,PHI,3
1159,LG,Rylan,Harrell,Rylan Harrell,DEN,17,31,3,1144,True,17,3,0,10,Rylan,Harrell,RylanHarrell_30427,539.0,537.0,4.0,27.0,4.0,3.0,Signed,Star,81.0,0.0,0.0,DEN,tier_3,2.6223776223776225,DEN,-2
1160,LT,Kadyn,Proctor,Kadyn Proctor,CLE,14,84,5,995,True,14,4,0,10,Kadyn,Proctor,,2318.0,2316.0,8.0,29.0,1.0,4.0,Signed,Superstar,90.0,0.0,0.0,CLE,tier_1,5.025125628140704,CLE,-2
1161,LG,Tyler,Smith,Tyler Smith,CLE,17,26,2,1253,True,17,4,0,10,Tyler,Smith,SmithTyler_22445,2617.0,2615.0,12.0,33.0,1.0,4.0,Signed,Superstar,85.0,0.0,0.0,CLE,tier_2,1.5961691939345573,CLE,-1
1162,C,Andrew,Page,Andrew Page,CLE,12,58,1,747,True,12,4,0,10,Andrew,Page,,1234.0,1232.0,6.0,28.0,3.0,4.0,Signed,Superstar,92.0,0.0,0.0,CLE,tier_1,1.3386880856760375,CLE,1
1163,LG,Leati,Alofaituli,Leati Alofaituli,CLE,15,37,4,1022,True,15,4,0,10,Leati,Alofaituli,LeatiAlofaituli_32129,659.0,657.0,2.0,23.0,1.0,4.0,Signed,Star,88.0,0.0,0.0,CLE,tier_2,3.9138943248532287,CLE,-3
1165,RT,Francis,Mauigoa,Francis Mauigoa,JAX,17,64,8,1159,True,17,16,0,10,Francis,Mauigoa,,987.0,985.0,8.0,29.0,1.0,16.0,Signed,Star,81.0,0.0,0.0,JAX,tier_3,6.9025021570319245,JAX,1
1167,RT,Colton,Lang,Colton Lang,JAX,8,9,2,557,True,16,16,0,10,Colton,Lang,ColtonLang_32512,1506.0,1504.0,2.0,24.0,5.0,16.0,Signed,Normal,72.0,0.0,0.0,JAX,tier_5,3.5906642728904847,JAX,6
1169,LG,Dakota,Mooney,Dakota Mooney,JAX,6,4,2,434,True,15,16,0,10,Dakota,Mooney,DakotaMooney_3345,13.0,11.0,1.0,24.0,4.0,16.0,Signed,Normal,69.0,0.0,0.0,JAX,tier_6,4.608294930875576,JAX,1
1197,LT,Donnell,Derby,Donnell Derby,BUF,14,60,4,913,True,14,2,0,10,Donnell,Derby,DonnellDerby_3318,560.0,558.0,1.0,23.0,1.0,2.0,Signed,Normal,80.0,0.0,0.0,BUF,tier_3,4.381161007667032,BUF,1
1218,C,Conner,Forristall,Conner Forristall,PHI,15,58,10,907,True,15,12,0,10,Conner,Forristall,ConnerForristall_3363326,1188.0,1186.0,1.0,23.0,63.0,12.0,Signed,Normal,69.0,0.0,0.0,PHI,tier_6,11.025358324145534,PHI,-5
1246,RG,Isendre,Ahfua,Isendre Ahfua,MIN,15,9,0,1137,True,15,30,0,10,Isendre,Ahfua,,3636.0,3634.0,6.0,28.0,1.0,30.0,Signed,Star,77.0,0.0,0.0,MIN,tier_4,0.0,MIN,10
