Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
290,FS,Xavier,Henderson,Xavier Henderson,TB,True,0,0,408,0,7,4,6,0,2,4,0,0,0,0,0,0,0,5,0,0,0,0,16,2,,,,,,,,,Xavier,Henderson,1210.0,1208.0,2.0,26.0,5.0,Signed,Normal,60.0,0.0,0.0,TB,tier_6,0.0,0.0,0.0,0.0,31.862745098039213,0.0,0.9803921568627451,0.25,TB,-6
298,CB,Kader,Kohou,Kader Kohou,MIA,True,0,69,1020,0,19,21,31,0,2,20,25,0,4,0,0,9,0,11,1,0,0,0,16,12,,,,,,,,,Kader,Kohou,1634.0,1632.0,3.0,26.0,11.0,Signed,Star,77.0,0.0,0.0,MIA,tier_4,0.9803921568627451,0.9803921568627451,3.9215686274509802,9.803921568627452,49.01960784313725,8.823529411764707,1.9607843137254901,0.6875,MIA,1
299,ROLB,E.J.,Speed,E.J. Speed,TB,True,49,0,584,2,27,33,41,1,2,22,0,0,0,0,0,2,1,5,1,2,0,1,16,16,,,,,,,,,E.J.,Speed,2641.0,2639.0,6.0,30.0,5.0,Signed,Normal,70.0,0.0,0.0,TB,tier_5,1.7123287671232876,1.7123287671232876,10.273972602739725,5.136986301369863,116.43835616438355,3.4246575342465753,3.767123287671233,1.25,TB,8
300,SS,Kyle,Dugger,Kyle Dugger,TB,True,0,56,1135,0,27,40,50,1,2,30,19,0,4,0,0,12,0,5,0,0,0,0,14,14,,,,,,,,,Kyle,Dugger,754.0,752.0,5.0,29.0,5.0,Signed,Star,78.0,0.0,0.0,TB,tier_4,0.0,0.0,3.524229074889868,10.572687224669604,67.84140969162995,10.572687224669604,2.643171806167401,1.2857142857142858,TB,0
328,RE,Joey,Bosa,Joey Bosa,LAC,True,57,0,775,3,20,41,42,1,2,0,0,0,0,0,0,0,0,7,12,3,16,0,16,16,,,,,,,,,Joey,Bosa,269.0,267.0,9.0,30.0,7.0,Signed,Superstar,91.0,0.0,0.0,LAC,tier_1,51.61290322580645,60.903225806451616,7.741935483870968,36.12903225806452,80.0,0.0,0.0,0.0,LAC,4
331,CB,Dominick,Poole,Dominick Poole,TB,True,0,0,428,0,3,14,20,0,2,9,0,0,0,0,0,1,0,5,0,0,0,0,16,0,,,,,,,,,Dominick,Poole,782.0,780.0,0.0,23.0,5.0,Signed,Normal,68.0,0.0,0.0,TB,tier_6,0.0,0.0,0.0,2.336448598130841,53.73831775700935,2.336448598130841,2.102803738317757,0.5,TB,-3
365,DT,Keeanu,Benton,Keeanu Benton,PIT,True,1,0,427,1,6,0,6,0,2,0,0,0,0,0,0,0,0,28,3,0,1,0,11,11,,,,,,,,,Keeanu,Benton,208.0,206.0,2.0,24.0,28.0,Signed,Normal,74.0,0.0,0.0,PIT,tier_5,11.124121779859484,12.177985948477751,2.34192037470726,9.36768149882904,28.10304449648712,0.0,0.0,0.0,PIT,-4
380,LE,Clayton,Smith,Clayton Smith,LAC,True,0,0,336,0,7,3,6,1,2,0,0,0,0,0,0,0,0,7,1,0,1,0,16,2,,,,,,,,,Clayton,Smith,502.0,500.0,0.0,22.0,7.0,Signed,Normal,69.0,0.0,0.0,LAC,tier_6,8.18452380952381,9.523809523809526,0.0,5.952380952380952,38.69047619047619,0.0,0.0,0.0,LAC,-5
403,CB,Cam,Smith,Cam Smith,MIA,True,0,30,888,0,13,22,38,0,2,19,20,0,2,0,0,9,0,11,0,0,0,0,14,7,,,,,,,,,Cam,Smith,2587.0,2585.0,2.0,24.0,11.0,Signed,Normal,77.0,0.0,0.0,MIA,tier_4,0.0,0.0,2.2522522522522523,10.135135135135135,57.432432432432435,10.135135135135135,2.1396396396396398,0.7142857142857143,MIA,0
456,LOLB,Isaiah,Simmons,Isaiah Simmons,PIT,True,-1,61,879,2,41,0,78,1,2,0,59,0,2,1,0,4,0,28,26,0,1,0,16,16,,,,,,,,,Isaiah,Simmons,2544.0,2542.0,5.0,27.0,28.0,Signed,Superstar,72.0,0.0,0.0,PIT,tier_5,31.569965870307165,32.081911262798634,5.688282138794084,35.267349260523325,135.38111490329922,4.550625711035267,0.0,-0.25,PIT,16
472,FS,Minkah,Fitzpatrick,Minkah Fitzpatrick,PIT,True,0,16,976,0,30,0,61,1,2,0,16,0,3,0,0,2,0,28,9,1,0,0,16,16,,,,,,,,,Minkah,Fitzpatrick,886.0,884.0,7.0,28.0,28.0,Signed,XFactor,98.0,0.0,0.0,PIT,tier_0,9.221311475409836,9.221311475409836,4.0983606557377055,11.27049180327869,93.23770491803279,2.0491803278688527,0.0,-0.125,PIT,4
487,RE,Uchenna,Nwosu,Uchenna Nwosu,SEA,True,28,0,814,1,14,41,42,1,2,0,0,1,0,0,0,1,0,27,17,1,10,0,16,16,,,,,,,,,Uchenna,Nwosu,2090.0,2088.0,7.0,28.0,27.0,Signed,Star,76.0,0.0,0.0,SEA,tier_4,42.38329238329238,47.91154791154791,3.6855036855036856,34.3980343980344,68.7960687960688,1.2285012285012284,0.0,-0.0625,SEA,4
503,CB,Ryan,Watts,Ryan Watts,MIA,True,0,0,637,0,20,30,47,1,2,16,0,0,0,0,0,5,0,11,1,0,1,0,16,1,,,,,,,,,Ryan,Watts,3582.0,3580.0,1.0,24.0,11.0,Signed,Normal,70.0,0.0,0.0,MIA,tier_5,4.3171114599686025,5.023547880690738,0.0,10.989010989010989,105.18053375196232,7.849293563579277,2.511773940345369,0.6875,MIA,-2
511,MLB,Cedric,Gray,Cedric Gray,TB,True,0,0,1477,0,47,78,115,1,2,76,0,0,0,0,0,9,0,5,2,0,0,0,16,16,,,,,,,,,Cedric,Gray,3275.0,3273.0,1.0,22.0,5.0,Signed,Star,74.0,0.0,0.0,TB,tier_5,1.3540961408259986,1.3540961408259986,0.0,7.447528774542993,109.68178740690588,6.093432633716994,5.145565335138795,4.1875,TB,0
524,SS,Shilo,Sanders,Shilo Sanders,LAC,True,0,2,1232,0,31,41,59,0,2,36,2,0,1,0,0,9,0,7,1,0,0,0,16,16,,,,,,,,,Shilo,Sanders,3630.0,3628.0,1.0,25.0,7.0,Signed,Normal,75.0,0.0,0.0,LAC,tier_4,0.8116883116883118,0.8116883116883118,0.8116883116883118,8.116883116883116,73.05194805194805,7.305194805194805,2.922077922077922,1.6875,LAC,-5
534,CB,Cooper,DeJean,Cooper DeJean,LAC,True,0,0,513,0,9,10,16,0,2,7,0,0,0,0,0,6,0,7,0,0,0,0,16,0,,,,,,,,,Cooper,DeJean,3221.0,3219.0,1.0,22.0,7.0,Signed,Normal,74.0,0.0,0.0,LAC,tier_5,0.0,0.0,0.0,11.695906432748536,48.732943469785575,11.695906432748536,1.364522417153996,0.0625,LAC,0
538,LE,YaYa,Diaby,YaYa Diaby,TB,True,0,0,339,0,3,6,7,0,2,1,0,0,0,0,0,0,0,5,0,0,2,0,16,0,,,,,,,,,YaYa,Diaby,701.0,699.0,2.0,26.0,5.0,Signed,Normal,68.0,0.0,0.0,TB,tier_6,10.32448377581121,12.97935103244838,0.0,5.899705014749262,29.49852507374631,0.0,0.2949852507374631,0.0625,TB,-3
539,LE,Harold,Perkins,Harold Perkins,TB,True,0,0,557,0,14,22,29,1,2,0,0,0,0,0,0,0,0,5,11,0,8,0,11,11,,,,,,,,,Harold,Perkins,1058.0,1056.0,0.0,21.0,5.0,Signed,Normal,76.0,0.0,0.0,TB,tier_4,44.88330341113106,51.34649910233394,0.0,34.11131059245961,77.19928186714542,0.0,0.0,0.0,TB,1
586,CB,Ja'Sir,Taylor,Ja'Sir Taylor,LAC,True,0,18,1005,0,18,39,55,0,2,34,18,0,1,0,0,15,0,7,0,0,0,0,16,8,,,,,,,,,Ja'Sir,Taylor,2743.0,2741.0,3.0,26.0,7.0,Signed,Normal,76.0,0.0,0.0,LAC,tier_4,0.0,0.0,0.9950248756218905,14.925373134328359,72.63681592039802,14.925373134328359,3.383084577114428,1.1875,LAC,0
699,DT,Calijah,Kancey,Calijah Kancey,TB,True,39,0,706,3,12,32,40,0,2,0,0,0,0,0,0,1,0,5,14,3,8,0,16,1,,,,,,,,,Calijah,Kancey,1585.0,1583.0,2.0,24.0,5.0,Signed,Normal,78.0,0.0,0.0,TB,tier_4,39.6600566572238,44.759206798866856,8.4985835694051,32.577903682719544,73.65439093484419,1.41643059490085,0.0,-0.0625,TB,10
720,CB,Denzel,Burke,Denzel Burke,PIT,True,0,20,917,0,19,0,68,0,2,0,10,0,4,0,0,3,0,28,6,0,0,0,16,16,,,,,,,,,Denzel,Burke,3247.0,3245.0,1.0,22.0,28.0,Signed,Star,78.0,0.0,0.0,PIT,tier_4,6.543075245365322,6.543075245365322,4.362050163576881,9.814612868047982,94.87459105779716,3.271537622682661,0.0,-0.1875,PIT,1
721,FS,AJ,Finley,AJ Finley,LAC,True,0,46,784,0,16,18,27,0,2,12,19,0,3,0,0,2,0,7,0,0,0,0,16,9,,,,,,,,,AJ,Finley,880.0,878.0,2.0,23.0,7.0,Signed,Normal,66.0,0.0,0.0,LAC,tier_6,0.0,0.0,3.826530612244898,2.5510204081632653,54.8469387755102,2.5510204081632653,1.530612244897959,0.625,LAC,1
727,CB,Jaylen,Watson,Jaylen Watson,ATL,True,9,6,601,1,5,23,32,0,2,26,6,0,1,0,0,10,0,13,0,1,0,0,11,6,,,,,,,,,Jaylen,Watson,2972.0,2970.0,3.0,26.0,13.0,Signed,Normal,75.0,0.0,0.0,ATL,tier_4,0.0,0.0,4.9916805324459235,16.638935108153078,61.56405990016639,16.638935108153078,4.326123128119801,1.4545454545454546,ATL,3
791,RE,Zaire,Patterson,Zaire Patterson,TB,True,0,0,633,0,8,16,20,0,2,0,0,0,0,0,0,0,0,5,4,0,6,0,16,2,,,,,,,,,Zaire,Patterson,588.0,586.0,0.0,22.0,5.0,Signed,Normal,72.0,0.0,0.0,TB,tier_5,22.906793048973142,27.172195892575044,0.0,15.79778830963665,44.23380726698262,0.0,0.0,0.0,TB,-3
814,ROLB,Daiyan,Henley,Daiyan Henley,LAC,True,9,0,891,1,27,59,81,1,2,46,0,0,0,0,0,18,0,7,2,2,0,0,13,13,,,,,,,,,Daiyan,Henley,1212.0,1210.0,2.0,25.0,7.0,Signed,Normal,82.0,0.0,0.0,LAC,tier_3,2.244668911335578,2.244668911335578,3.3670033670033668,22.446689113355777,121.21212121212122,20.202020202020204,5.16273849607183,2.1538461538461537,LAC,7
910,RE,Tre'jon,Lewis,Tre'jon Lewis,LAC,True,0,0,518,0,18,19,26,1,2,0,0,0,0,0,0,1,0,7,10,0,3,0,16,0,,,,,,,,,Tre'jon,Lewis,723.0,721.0,0.0,23.0,7.0,Signed,Normal,69.0,0.0,0.0,LAC,tier_6,29.44015444015444,32.04633204633205,0.0,27.027027027027028,84.94208494208493,1.9305019305019306,0.0,-0.0625,LAC,1
914,SS,Ryan,Neal,Ryan Neal,PIT,True,0,0,732,0,20,0,54,1,2,0,0,0,0,0,0,3,0,28,10,1,0,0,15,15,,,,,,,,,Ryan,Neal,2053.0,2051.0,7.0,29.0,28.0,Signed,Star,77.0,0.0,0.0,PIT,tier_4,13.66120218579235,13.66120218579235,1.366120218579235,17.759562841530055,101.09289617486338,4.0983606557377055,0.0,-0.2,PIT,8
942,CB,Joey,Porter Jr,Joey Porter Jr,PIT,True,0,61,919,0,14,0,64,1,2,0,60,0,3,1,0,5,0,28,2,1,0,0,16,16,,,,,,,,,Joey,Porter Jr,2265.0,2263.0,2.0,25.0,28.0,Signed,Star,86.0,0.0,0.0,PIT,tier_2,2.176278563656148,2.176278563656148,5.4406964091403704,7.616974972796518,84.87486398258977,5.4406964091403704,0.0,-0.3125,PIT,3
948,LOLB,Marist,Liufau,Marist Liufau,LAC,True,0,0,345,0,0,4,5,0,2,0,0,0,0,0,0,1,0,7,0,0,0,0,16,0,,,,,,,,,Marist,Liufau,3485.0,3483.0,1.0,24.0,7.0,Signed,Normal,63.0,0.0,0.0,LAC,tier_6,0.0,0.0,0.0,2.898550724637681,14.492753623188406,2.898550724637681,0.0,-0.0625,LAC,-6
949,RE,Kayvon,Thibodeaux,Kayvon Thibodeaux,TB,True,15,0,681,1,17,31,37,0,2,0,0,0,0,0,0,0,0,5,6,1,6,0,14,14,,,,,,,,,Kayvon,Thibodeaux,2766.0,2764.0,3.0,24.0,5.0,Signed,Superstar,84.0,0.0,0.0,TB,tier_3,24.229074889867842,28.19383259911895,2.936857562408223,17.62114537444934,79.29515418502203,0.0,0.0,0.0,TB,-4
994,MLB,Aaron,Beasley,Aaron Beasley,MIA,True,17,0,388,1,3,11,16,0,2,4,0,0,0,0,0,0,0,11,0,1,0,1,16,1,,,,,,,,,Aaron,Beasley,3632.0,3630.0,1.0,24.0,11.0,Signed,Normal,63.0,0.0,0.0,MIA,tier_6,0.0,0.0,7.731958762886598,0.0,48.96907216494845,0.0,1.0309278350515463,0.25,MIA,4
996,CB,Trent,McDuffie,Trent McDuffie,KC,True,23,21,995,1,16,50,60,0,2,40,21,0,1,0,0,16,0,8,1,1,0,0,16,16,,,,,,,,,Trent,McDuffie,1867.0,1865.0,3.0,24.0,8.0,Signed,XFactor,92.0,0.0,0.0,KC,tier_1,1.0050251256281408,1.0050251256281408,3.015075376884422,17.085427135678394,76.3819095477387,16.080402010050253,4.0201005025125625,1.5,KC,-5
1004,LOLB,Darius,Muasau,Darius Muasau,MIA,True,0,7,385,0,12,13,25,0,2,15,7,0,1,0,0,0,0,11,1,0,0,0,16,16,,,,,,,,,Darius,Muasau,3364.0,3362.0,1.0,24.0,11.0,Signed,Normal,69.0,0.0,0.0,MIA,tier_6,2.5974025974025974,2.5974025974025974,2.5974025974025974,2.5974025974025974,96.1038961038961,0.0,3.896103896103896,0.9375,MIA,1
1049,RE,Bradley,Chubb,Bradley Chubb,MIA,True,18,0,797,1,23,24,30,1,2,0,0,0,0,0,0,0,0,11,12,1,6,0,16,16,,,,,,,,,Bradley,Chubb,503.0,501.0,7.0,29.0,11.0,Signed,Star,79.0,0.0,0.0,MIA,tier_4,28.23086574654956,31.61856963613551,2.509410288582183,22.58469259723965,66.49937264742785,0.0,0.0,0.0,MIA,0
1066,RE,BJ,Thompson,BJ Thompson,KC,True,68,0,617,4,15,15,16,1,2,0,0,0,0,0,0,0,0,8,1,4,4,1,16,1,,,,,,,,,BJ,Thompson,2791.0,2789.0,2.0,26.0,8.0,Signed,Normal,70.0,0.0,0.0,KC,tier_5,12.965964343598054,15.88330632090762,14.586709886547812,8.103727714748784,50.24311183144246,0.0,0.0,0.0,KC,5
1163,ROLB,Trevin,Wallace,Trevin Wallace,MIA,True,0,0,1284,0,42,59,90,1,2,51,0,0,0,0,0,6,0,11,2,0,2,0,16,16,,,,,,,,,Trevin,Wallace,660.0,658.0,0.0,23.0,11.0,Signed,Star,75.0,0.0,0.0,MIA,tier_4,4.283489096573208,4.984423676012462,0.0,7.788161993769471,102.80373831775701,4.672897196261682,3.9719626168224296,2.8125,MIA,-3
1191,MLB,Jason,Henderson,Jason Henderson,MIA,True,0,7,1261,0,44,68,113,1,2,61,7,0,1,0,0,2,0,11,1,0,0,0,16,16,,,,,,,,,Jason,Henderson,484.0,482.0,0.0,22.0,11.0,Signed,Normal,69.0,0.0,0.0,MIA,tier_6,0.7930214115781126,0.7930214115781126,0.7930214115781126,2.379064234734338,124.50436161776368,1.5860428231562251,4.8374306106264875,3.6875,MIA,0
1207,FS,Jevon,Holland,Jevon Holland,MIA,True,0,38,839,0,18,21,36,0,2,13,19,0,3,0,0,10,0,11,0,0,0,0,12,12,,,,,,,,,Jevon,Holland,1281.0,1279.0,4.0,25.0,11.0,Signed,Star,87.0,0.0,0.0,MIA,tier_2,0.0,0.0,3.575685339690107,11.918951132300357,64.36233611442194,11.918951132300357,1.5494636471990464,0.25,MIA,3
1212,RE,K'Lavon,Chaisson,K'Lavon Chaisson,PIT,True,0,0,358,0,2,0,15,0,2,0,0,0,0,0,0,0,0,28,7,1,2,0,16,16,,,,,,,,,K'Lavon,Chaisson,482.0,480.0,5.0,26.0,28.0,Signed,Star,73.0,0.0,0.0,PIT,tier_5,29.329608938547487,31.843575418994416,2.793296089385475,25.139664804469277,47.48603351955307,0.0,0.0,0.0,PIT,1
1219,FS,Chamarri,Conner,Chamarri Conner,KC,True,0,0,1018,0,46,36,60,0,2,35,0,0,1,0,0,13,0,8,0,0,1,0,16,0,,,,,,,,,Chamarri,Conner,561.0,559.0,2.0,25.0,8.0,Signed,Star,75.0,0.0,0.0,KC,tier_4,1.719056974459725,2.1611001964636545,0.9823182711198427,13.7524557956778,104.12573673870334,12.770137524557956,3.43811394891945,1.375,KC,7
1224,DT,Christian,Wilkins,Christian Wilkins,MIA,True,0,0,603,0,17,18,27,1,2,0,0,0,0,0,0,1,0,11,14,0,3,0,12,10,,,,,,,,,Christian,Wilkins,3025.0,3023.0,6.0,29.0,11.0,Signed,Superstar,82.0,0.0,0.0,MIA,tier_3,31.923714759535656,34.162520729684914,0.0,29.850746268656717,72.96849087893864,1.658374792703151,0.0,-0.08333333333333333,MIA,-4
1246,MLB,Jacob,Dobbs,Jacob Dobbs,SEA,True,0,0,306,0,3,8,8,0,2,2,0,0,0,0,0,0,0,27,0,0,0,0,16,2,,,,,,,,,Jacob,Dobbs,3635.0,3633.0,1.0,24.0,27.0,Signed,Normal,62.0,0.0,0.0,SEA,tier_6,0.0,0.0,0.0,0.0,35.947712418300654,0.0,0.6535947712418301,0.125,SEA,-7
1274,RE,Mike,Danna,Mike Danna,KC,True,0,0,393,0,10,15,20,0,2,0,0,0,0,0,0,0,0,8,7,0,5,0,13,13,,,,,,,,,Mike,Danna,633.0,631.0,5.0,27.0,8.0,Signed,Normal,83.0,0.0,0.0,KC,tier_3,40.07633587786259,45.80152671755725,0.0,30.534351145038165,76.33587786259542,0.0,0.0,0.0,KC,-1
1275,MLB,Nick,Bolton,Nick Bolton,KC,True,8,0,1070,1,32,88,95,0,2,70,0,0,0,0,0,1,0,8,1,1,4,0,16,16,,,,,,,,,Nick,Bolton,255.0,253.0,4.0,25.0,8.0,Signed,XFactor,95.0,0.0,0.0,KC,tier_0,7.4766355140186915,9.158878504672897,1.8691588785046729,5.607476635514018,118.69158878504672,0.9345794392523364,6.5420560747663545,4.3125,KC,-4
1336,LOLB,Curtis,Jacobs,Curtis Jacobs,LAC,True,0,0,737,0,21,47,67,0,2,39,0,0,0,0,0,5,0,7,1,0,1,0,16,16,,,,,,,,,Curtis,Jacobs,3273.0,3271.0,1.0,23.0,7.0,Signed,Normal,72.0,0.0,0.0,LAC,tier_5,3.7313432835820897,4.341926729986432,0.0,9.49796472184532,119.40298507462687,6.784260515603799,5.291723202170964,2.125,LAC,1
1373,LE,Tuli,Tuipulotu,Tuli Tuipulotu,LAC,True,18,0,610,1,19,20,24,0,2,1,0,0,0,0,0,0,0,7,5,1,10,1,14,14,,,,,,,,,Tuli,Tuipulotu,2856.0,2854.0,2.0,22.0,7.0,Signed,Star,85.0,0.0,0.0,LAC,tier_2,36.885245901639344,44.26229508196721,4.918032786885246,24.59016393442623,70.49180327868852,0.0,0.16393442622950818,0.07142857142857142,LAC,3
1377,CB,Coby,Bryant,Coby Bryant,SEA,True,0,0,690,0,15,22,29,0,2,13,0,0,0,0,0,6,0,27,0,0,0,0,16,0,,,,,,,,,Coby,Bryant,374.0,372.0,3.0,26.0,27.0,Signed,Normal,71.0,0.0,0.0,SEA,tier_5,0.0,0.0,0.0,8.695652173913043,63.768115942028984,8.695652173913043,1.884057971014493,0.4375,SEA,-1
1415,MLB,Cole,Holcomb,Cole Holcomb,PIT,True,0,0,386,0,10,0,52,0,2,0,0,0,0,0,0,1,0,28,13,0,3,0,16,16,,,,,,,,,Cole,Holcomb,1279.0,1277.0,6.0,29.0,28.0,Signed,Normal,78.0,0.0,0.0,PIT,tier_4,47.27979274611399,50.77720207253886,0.0,44.04145077720207,160.62176165803106,2.5906735751295336,0.0,-0.0625,PIT,8
1459,CB,Greg,Newsome II,Greg Newsome II,LAC,True,0,23,1037,0,10,43,52,1,2,44,21,0,2,0,0,18,0,7,0,0,0,0,16,16,,,,,,,,,Greg,Newsome II,2062.0,2060.0,4.0,25.0,7.0,Signed,Star,82.0,0.0,0.0,LAC,tier_3,0.0,0.0,1.9286403085824495,17.357762777242044,59.787849566055925,17.357762777242044,4.243008678881389,1.625,LAC,-3
1482,SS,Julian,Love,Julian Love,SEA,True,31,19,1184,1,34,48,59,1,2,37,18,0,2,0,0,6,0,27,1,1,0,1,16,16,,,,,,,,,Julian,Love,1754.0,1752.0,6.0,27.0,27.0,Signed,Superstar,83.0,0.0,0.0,SEA,tier_3,0.8445945945945946,0.8445945945945946,4.222972972972973,5.912162162162162,78.5472972972973,5.0675675675675675,3.125,1.9375,SEA,0
1488,ROLB,Leo,Chenal,Leo Chenal,KC,True,0,0,416,0,7,10,12,0,2,7,0,0,0,0,0,0,0,8,0,0,1,0,16,16,,,,,,,,,Leo,Chenal,493.0,491.0,3.0,24.0,8.0,Signed,Star,76.0,0.0,0.0,KC,tier_4,4.206730769230769,5.288461538461538,0.0,2.403846153846154,45.67307692307692,0.0,1.6826923076923077,0.4375,KC,-8
