Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
225,RT,Enrique,Reyes,Enrique Reyes,MIA,14,0,10,964,False,14,11,0,11,Enrique,Reyes,3616.0,3614.0,3.0,11.0,Signed,68.0,0.0,0.0,MIA,tier_6,10.37344398340249,MIA,-3
228,RG,Raekwon,Heyward,Raekwon Heyward,PIT,14,0,3,1011,False,14,28,0,11,Raekwon,Heyward,187.0,185.0,3.0,28.0,Signed,83.0,0.0,0.0,PIT,tier_3,2.967359050445104,PIT,1
252,LT,Cade,McConnell,Cade McConnell,DEN,15,0,11,988,False,15,3,0,11,Cade,McConnell,628.0,626.0,5.0,3.0,Signed,81.0,0.0,0.0,DEN,tier_3,11.133603238866396,DEN,1
262,RG,Greg,Crippen,Greg Crippen,BAL,15,0,4,1080,False,15,24,0,11,Greg,Crippen,1951.0,1949.0,6.0,24.0,Signed,77.0,0.0,0.0,BAL,tier_4,3.7037037037037037,BAL,-2
268,LG,Cody,Ince,Cody Ince,SEA,12,0,4,879,False,12,27,0,11,Cody,Ince,3245.0,3243.0,9.0,27.0,Signed,68.0,0.0,0.0,SEA,tier_6,4.550625711035267,SEA,1
285,LG,Matthew,Mann,Matthew Mann,NYG,14,0,8,979,False,14,15,0,11,Matthew,Mann,2812.0,2810.0,1.0,15.0,Signed,66.0,0.0,0.0,NYG,tier_6,8.171603677221656,NYG,0
295,RG,Larry,Samuel,Larry Samuel,DEN,15,0,5,1108,False,15,3,0,11,Larry,Samuel,1336.0,1334.0,2.0,3.0,Signed,80.0,0.0,0.0,DEN,tier_3,4.512635379061372,DEN,-4
303,RG,Lamar,Harrison,Lamar Harrison,LAR,15,0,3,980,False,15,23,0,11,Lamar,Harrison,1214.0,1212.0,4.0,23.0,Signed,64.0,0.0,0.0,LAR,tier_6,3.061224489795918,LAR,0
314,LG,Beaux,Limmer,Beaux Limmer,CAR,15,0,5,1059,False,15,20,0,11,Beaux,Limmer,2575.0,2573.0,8.0,20.0,Signed,80.0,0.0,0.0,CAR,tier_3,4.721435316336166,CAR,1
321,C,Matt,Kendricks,Matt Kendricks,IND,14,0,1,1074,False,14,9,0,11,Matt,Kendricks,278.0,276.0,2.0,9.0,Signed,89.0,0.0,0.0,IND,tier_2,0.931098696461825,IND,3
348,LG,Dylan,Fairchild,Dylan Fairchild,CIN,15,0,1,983,False,15,1,0,11,Dylan,Fairchild,1389.0,1387.0,7.0,1.0,Signed,64.0,0.0,0.0,CIN,tier_6,1.0172939979654119,CIN,4
355,C,Brian,Ruggs,Brian Ruggs,LV,15,0,3,1118,False,15,22,0,11,Brian,Ruggs,1500.0,1498.0,0.0,22.0,Signed,66.0,0.0,0.0,LV,tier_6,2.6833631484794274,LV,1
364,LT,Reuben,Fatheree II,Reuben Fatheree II,DAL,15,0,10,945,False,15,10,0,11,Reuben,Fatheree II,1566.0,1564.0,7.0,10.0,Signed,93.0,0.0,0.0,DAL,tier_1,10.582010582010582,DAL,1
367,RG,Earnest,Greene,Earnest Greene,JAX,14,0,1,1027,False,14,16,0,11,Earnest,Greene,2117.0,2115.0,6.0,16.0,Signed,66.0,0.0,0.0,JAX,tier_6,0.9737098344693281,JAX,12
379,LG,Josh,Howard,Josh Howard,NYJ,15,0,6,1062,False,15,17,0,11,Josh,Howard,1431.0,1429.0,2.0,17.0,Signed,72.0,0.0,0.0,NYJ,tier_5,5.649717514124294,NYJ,1
390,RT,Reuben,Unije,Reuben Unije,HOU,12,0,7,816,False,12,31,0,11,Reuben,Unije,3185.0,3183.0,9.0,31.0,Signed,68.0,0.0,0.0,HOU,tier_6,8.578431372549021,HOU,0
397,RT,Zach,Rice,Zach Rice,CLE,15,0,12,1023,False,15,4,0,11,Zach,Rice,2138.0,2136.0,7.0,4.0,Signed,70.0,0.0,0.0,CLE,tier_5,11.730205278592376,CLE,-4
405,LT,Matthias,Winters,Matthias Winters,NE,15,0,10,1022,False,15,21,0,11,Matthias,Winters,1363.0,1361.0,1.0,21.0,Signed,80.0,0.0,0.0,NE,tier_3,9.784735812133071,NE,1
428,LG,Kevin,Crowley,Kevin Crowley,PIT,14,0,7,903,False,14,28,0,11,Kevin,Crowley,2671.0,2669.0,3.0,28.0,Signed,71.0,0.0,0.0,PIT,tier_5,7.751937984496124,PIT,-1
464,RT,Darrius,Davis,Darrius Davis,DAL,15,0,12,973,False,15,10,0,11,Darrius,Davis,1998.0,1996.0,3.0,10.0,Signed,93.0,0.0,0.0,DAL,tier_1,12.332990750256936,DAL,-5
468,LG,Isendre,Ahfua,Isendre Ahfua,BUF,11,0,5,752,False,11,2,0,11,Isendre,Ahfua,2856.0,2854.0,5.0,2.0,Signed,86.0,0.0,0.0,BUF,tier_2,6.648936170212766,BUF,-1
482,LG,Sioape,Vatikani,Sioape Vatikani,CLE,15,0,3,1036,False,15,4,0,11,Sioape,Vatikani,2025.0,2023.0,5.0,4.0,Signed,73.0,0.0,0.0,CLE,tier_5,2.8957528957528957,CLE,4
504,C,Mark,Finney,Mark Finney,CLE,13,0,3,803,False,13,4,0,11,Mark,Finney,2438.0,2436.0,2.0,4.0,Signed,71.0,0.0,0.0,CLE,tier_5,3.7359900373599007,CLE,-1
509,LT,Tommy,Brockermeyer,Tommy Brockermeyer,TEN,14,0,13,965,False,14,29,0,11,Tommy,Brockermeyer,2821.0,2819.0,7.0,29.0,Signed,76.0,0.0,0.0,TEN,tier_4,13.471502590673575,TEN,-2
545,C,Eric,Roseman,Eric Roseman,NYG,11,0,2,674,False,11,15,0,11,Eric,Roseman,3250.0,3248.0,0.0,15.0,Signed,75.0,0.0,0.0,NYG,tier_4,2.967359050445104,NYG,0
631,LG,DeVante,Stoudemire,DeVante Stoudemire,KC,12,0,7,792,False,12,8,0,11,DeVante,Stoudemire,3541.0,3539.0,0.0,8.0,Signed,67.0,0.0,0.0,KC,tier_6,8.838383838383837,KC,-2
638,RT,Tyler,Vrabel,Tyler Vrabel,TEN,15,0,16,1021,False,15,29,0,11,Tyler,Vrabel,3406.0,3404.0,10.0,29.0,Signed,79.0,0.0,0.0,TEN,tier_4,15.670910871694417,TEN,-7
649,LT,Eddie,Russell,Eddie Russell,CAR,15,0,9,1025,False,15,20,0,11,Eddie,Russell,955.0,953.0,4.0,20.0,Signed,70.0,0.0,0.0,CAR,tier_5,8.78048780487805,CAR,4
655,C,Erik,McCoy,Erik McCoy,NO,15,0,1,1072,False,15,26,0,11,Erik,McCoy,1729.0,1727.0,13.0,26.0,Signed,87.0,0.0,0.0,NO,tier_2,0.9328358208955224,NO,3
671,LG,Quandre,Brooks,Quandre Brooks,DET,15,0,4,986,False,15,18,0,11,Quandre,Brooks,1708.0,1706.0,3.0,18.0,Signed,77.0,0.0,0.0,DET,tier_4,4.056795131845842,DET,0
687,RT,Stephen,Poole,Stephen Poole,BAL,15,0,7,1017,False,15,24,0,11,Stephen,Poole,1107.0,1105.0,1.0,24.0,Signed,73.0,0.0,0.0,BAL,tier_5,6.88298918387414,BAL,4
691,C,Benjamin,Eppard,Benjamin Eppard,BUF,15,0,4,1039,False,15,2,0,11,Benjamin,Eppard,5.0,3.0,1.0,2.0,Signed,77.0,0.0,0.0,BUF,tier_4,3.8498556304138596,BUF,-2
695,LT,Brenton,Mayes,Brenton Mayes,BUF,15,0,14,1020,False,15,2,0,11,Brenton,Mayes,987.0,985.0,3.0,2.0,Signed,77.0,0.0,0.0,BUF,tier_4,13.72549019607843,BUF,-2
704,RT,Luke,Roth,Luke Roth,NO,15,0,10,1002,False,15,26,0,11,Luke,Roth,2509.0,2507.0,0.0,26.0,Signed,72.0,0.0,0.0,NO,tier_5,9.980039920159681,NO,-2
712,LG,Matt,Nickerson,Matt Nickerson,MIA,14,0,4,1032,False,14,11,0,11,Matt,Nickerson,360.0,358.0,4.0,11.0,Signed,91.0,0.0,0.0,MIA,tier_1,3.875968992248062,MIA,2
755,RT,Rasheed,Walker,Rasheed Walker,ARI,15,0,4,961,False,15,6,0,11,Rasheed,Walker,3352.0,3350.0,10.0,6.0,Signed,68.0,0.0,0.0,ARI,tier_6,4.162330905306972,ARI,12
781,RG,Donovan,Jackson,Donovan Jackson,NE,15,0,4,1093,False,15,21,0,11,Donovan,Jackson,2372.0,2370.0,7.0,21.0,Signed,85.0,0.0,0.0,NE,tier_2,3.6596523330283626,NE,-1
789,RT,Joe,Brunner,Joe Brunner,CAR,15,0,9,1018,False,15,20,0,11,Joe,Brunner,2698.0,2696.0,5.0,20.0,Signed,83.0,0.0,0.0,CAR,tier_3,8.840864440078585,CAR,1
798,LT,Carson,Edmonds,Carson Edmonds,DET,15,0,15,986,False,15,18,0,11,Carson,Edmonds,398.0,396.0,2.0,18.0,Signed,81.0,0.0,0.0,DET,tier_3,15.212981744421906,DET,-3
807,RG,Marcus,Kendricks,Marcus Kendricks,DET,15,0,4,1035,False,15,18,0,11,Marcus,Kendricks,2605.0,2603.0,4.0,18.0,Signed,77.0,0.0,0.0,DET,tier_4,3.864734299516908,DET,-2
814,LT,Ryan,Hayes,Ryan Hayes,ARI,14,0,8,900,False,14,6,0,11,Ryan,Hayes,3254.0,3252.0,9.0,6.0,Signed,70.0,0.0,0.0,ARI,tier_5,8.88888888888889,ARI,4
817,RG,Trey,Smith,Trey Smith,KC,15,0,5,1120,False,15,8,0,11,Trey,Smith,2453.0,2451.0,11.0,8.0,Signed,81.0,0.0,0.0,KC,tier_3,4.464285714285714,KC,-1
835,RT,Braydon,Hall,Braydon Hall,PIT,13,0,5,843,False,13,28,0,11,Braydon,Hall,2855.0,2853.0,0.0,28.0,Signed,71.0,0.0,0.0,PIT,tier_5,5.931198102016607,PIT,4
837,LG,Zac,Peerman,Zac Peerman,ARI,13,0,6,827,False,13,6,0,11,Zac,Peerman,45.0,43.0,0.0,6.0,Signed,73.0,0.0,0.0,ARI,tier_5,7.255139056831923,ARI,-1
874,RT,Penei,Sewell,Penei Sewell,DET,12,0,8,783,False,12,18,0,11,Penei,Sewell,2349.0,2347.0,11.0,18.0,Signed,86.0,0.0,0.0,DET,tier_2,10.217113665389528,DET,-4
880,LT,Travis,McKenzie,Travis McKenzie,MIN,15,0,8,988,False,15,30,0,11,Travis,McKenzie,829.0,827.0,1.0,30.0,Signed,70.0,0.0,0.0,MIN,tier_5,8.097165991902834,MIN,4
891,LT,Julian,Armella,Julian Armella,CLE,13,0,9,824,False,13,4,0,11,Julian,Armella,2134.0,2132.0,6.0,4.0,Signed,71.0,0.0,0.0,CLE,tier_5,10.922330097087379,CLE,0
897,C,Jarrett,Patterson,Jarrett Patterson,HOU,13,0,3,789,False,13,31,0,11,Jarrett,Patterson,3365.0,3363.0,10.0,31.0,Signed,66.0,0.0,0.0,HOU,tier_6,3.802281368821293,HOU,0
925,LT,Jeremiah,Cobbs,Jeremiah Cobbs,BAL,14,0,12,972,False,14,24,0,11,Jeremiah,Cobbs,2381.0,2379.0,0.0,24.0,Signed,77.0,0.0,0.0,BAL,tier_4,12.345679012345679,BAL,-2
938,LT,Paris,Johnson Jr.,Paris Johnson Jr.,HOU,15,0,18,1085,False,15,31,0,11,Paris,Johnson Jr.,1064.0,1062.0,9.0,31.0,Signed,70.0,0.0,0.0,HOU,tier_5,16.589861751152075,HOU,-4
978,RG,Will,Nowak,Will Nowak,MIN,14,0,3,928,False,14,30,0,11,Will,Nowak,2036.0,2034.0,3.0,30.0,Signed,65.0,0.0,0.0,MIN,tier_6,3.2327586206896552,MIN,0
990,LT,Logan,Brown,Logan Brown,JAX,15,0,10,1052,False,15,16,0,11,Logan,Brown,3266.0,3264.0,9.0,16.0,Signed,74.0,0.0,0.0,JAX,tier_5,9.505703422053232,JAX,0
1001,C,Chauncey,Kamakea,Chauncey Kamakea,ATL,15,0,4,1044,False,15,13,0,11,Chauncey,Kamakea,236.0,234.0,5.0,13.0,Signed,70.0,0.0,0.0,ATL,tier_5,3.8314176245210727,ATL,-1
1004,RG,Deandre,Mitchell,Deandre Mitchell,CLE,15,0,5,1086,False,15,4,0,11,Deandre,Mitchell,179.0,177.0,4.0,4.0,Signed,87.0,0.0,0.0,CLE,tier_2,4.6040515653775325,CLE,-5
1012,C,Cameron,Jurgens,Cameron Jurgens,JAX,14,0,2,1080,False,14,16,0,11,Cameron,Jurgens,3273.0,3271.0,9.0,16.0,Signed,88.0,0.0,0.0,JAX,tier_2,1.8518518518518519,JAX,3
1026,LG,Drew,Kendall,Drew Kendall,DAL,13,0,5,816,False,13,10,0,11,Drew,Kendall,1671.0,1669.0,7.0,10.0,Signed,68.0,0.0,0.0,DAL,tier_6,6.127450980392156,DAL,0
1036,C,Thad,Barber,Thad Barber,NE,15,0,1,968,False,15,21,0,11,Thad,Barber,2513.0,2511.0,1.0,21.0,Signed,71.0,0.0,0.0,NE,tier_5,1.0330578512396695,NE,4
1044,C,Cody,Lovell,Cody Lovell,ARI,15,0,2,1031,False,15,6,0,11,Cody,Lovell,1286.0,1284.0,4.0,6.0,Signed,95.0,0.0,0.0,ARI,tier_0,1.9398642095053347,ARI,1
1053,LG,Jeff,Brooks,Jeff Brooks,HOU,15,0,10,1090,False,15,31,0,11,Jeff,Brooks,3600.0,3598.0,3.0,31.0,Signed,70.0,0.0,0.0,HOU,tier_5,9.174311926605505,HOU,-3
1105,RG,Peter,Skoronski,Peter Skoronski,NYG,15,0,3,1090,False,15,15,0,11,Peter,Skoronski,2640.0,2638.0,8.0,15.0,Signed,77.0,0.0,0.0,NYG,tier_4,2.7522935779816518,NYG,0
1156,LT,J.B.,Nelson,J.B. Nelson,PIT,12,0,11,858,False,12,28,0,11,J.B.,Nelson,1001.0,999.0,7.0,28.0,Signed,72.0,0.0,0.0,PIT,tier_5,12.82051282051282,PIT,-2
1158,RT,Luke,Darby,Luke Darby,LV,15,0,5,1083,False,15,22,0,11,Luke,Darby,2177.0,2175.0,2.0,22.0,Signed,86.0,0.0,0.0,LV,tier_2,4.616805170821792,LV,6
1174,RT,Jamaal,Jarrett,Jamaal Jarrett,SF,15,0,10,1039,False,15,14,0,11,Jamaal,Jarrett,2035.0,2033.0,5.0,14.0,Signed,72.0,0.0,0.0,SF,tier_5,9.624639076034649,SF,-2
1190,C,Neto,Umeozulu,Neto Umeozulu,GB,15,0,4,973,False,15,19,0,11,Neto,Umeozulu,2507.0,2505.0,5.0,19.0,Signed,70.0,0.0,0.0,GB,tier_5,4.110996916752312,GB,-3
1194,LG,Tom,Pace,Tom Pace,LV,10,0,3,686,False,10,22,0,11,Tom,Pace,2168.0,2166.0,1.0,22.0,Signed,70.0,0.0,0.0,LV,tier_5,4.373177842565598,LV,1
1213,C,Sal,Rowe,Sal Rowe,CIN,12,0,1,791,False,12,1,0,11,Sal,Rowe,2673.0,2671.0,2.0,1.0,Signed,78.0,0.0,0.0,CIN,tier_4,1.2642225031605563,CIN,4
1220,RG,D.J.,Rogers,D.J. Rogers,LAC,15,0,3,1045,False,15,7,0,11,D.J.,Rogers,901.0,899.0,3.0,7.0,Signed,73.0,0.0,0.0,LAC,tier_5,2.8708133971291865,LAC,1
1251,RG,Josh,Fisher,Josh Fisher,CHI,14,0,4,956,False,14,0,0,11,Josh,Fisher,3023.0,3021.0,1.0,0.0,Signed,75.0,0.0,0.0,CHI,tier_4,4.184100418410042,CHI,-2
1267,C,Ethan,Chamberlain,Ethan Chamberlain,DET,15,0,2,938,False,15,18,0,11,Ethan,Chamberlain,41.0,39.0,1.0,18.0,Signed,74.0,0.0,0.0,DET,tier_5,2.1321961620469083,DET,1
1282,LT,Khalon,Davis,Khalon Davis,NO,14,0,9,890,False,14,26,0,11,Khalon,Davis,2893.0,2891.0,2.0,26.0,Signed,83.0,0.0,0.0,NO,tier_3,10.112359550561797,NO,1
1286,C,Mark,Welch,Mark Welch,SF,10,0,4,686,False,10,14,0,11,Mark,Welch,161.0,159.0,5.0,14.0,Signed,73.0,0.0,0.0,SF,tier_5,5.830903790087463,SF,-3
1295,LT,Jedrick,Wills Jr,Jedrick Wills Jr,NYG,15,0,13,1036,False,15,15,0,11,Jedrick,Wills Jr,2878.0,2876.0,12.0,15.0,Signed,78.0,0.0,0.0,NYG,tier_4,12.548262548262548,NYG,-2
1324,LG,Dominique,Metcalf,Dominique Metcalf,PHI,14,0,3,729,False,14,12,0,11,Dominique,Metcalf,3599.0,3597.0,0.0,12.0,Signed,74.0,0.0,0.0,PHI,tier_5,4.11522633744856,PHI,1
1337,RG,Randy,Berry,Randy Berry,DAL,15,0,2,1045,False,15,10,0,11,Randy,Berry,3739.0,3737.0,0.0,10.0,Signed,74.0,0.0,0.0,DAL,tier_5,1.9138755980861244,DAL,4
1354,LT,Logan,Reichert,Logan Reichert,SEA,15,0,14,982,False,15,27,0,11,Logan,Reichert,131.0,129.0,5.0,27.0,Signed,72.0,0.0,0.0,SEA,tier_5,14.256619144602853,SEA,-2
1362,LG,Aaryn,Parks,Aaryn Parks,ATL,15,0,4,1052,False,15,13,0,11,Aaryn,Parks,253.0,251.0,7.0,13.0,Signed,83.0,0.0,0.0,ATL,tier_3,3.802281368821293,ATL,4
1378,LT,Kinglsey,Suamataia,Kinglsey Suamataia,LAR,15,0,15,1020,False,15,23,0,11,Kinglsey,Suamataia,1077.0,1075.0,8.0,23.0,Signed,85.0,0.0,0.0,LAR,tier_2,14.705882352941176,LAR,0
1386,C,Harris,Sewell,Harris Sewell,CHI,15,0,1,914,False,15,0,0,11,Harris,Sewell,1818.0,1816.0,5.0,0.0,Signed,69.0,0.0,0.0,CHI,tier_6,1.0940919037199124,CHI,4
1415,RG,Carson,Hinzman,Carson Hinzman,SF,12,0,3,877,False,12,14,0,11,Carson,Hinzman,680.0,678.0,5.0,14.0,Signed,66.0,0.0,0.0,SF,tier_6,3.4207525655644244,SF,0
1417,RT,Kiyaunta,Goodwin,Kiyaunta Goodwin,NYJ,15,0,6,1035,False,15,17,0,11,Kiyaunta,Goodwin,335.0,333.0,6.0,17.0,Signed,74.0,0.0,0.0,NYJ,tier_5,5.797101449275362,NYJ,4
1424,LG,Dakota,McCain,Dakota McCain,SF,15,0,4,987,False,15,14,0,11,Dakota,McCain,2266.0,2264.0,1.0,14.0,Signed,66.0,0.0,0.0,SF,tier_6,4.052684903748734,SF,1
1437,C,Matthew,Middleton,Matthew Middleton,PIT,14,0,0,889,False,14,28,0,11,Matthew,Middleton,1595.0,1593.0,4.0,28.0,Signed,68.0,0.0,0.0,PIT,tier_6,0.0,PIT,12
1475,RG,Emil,Ekiyor Jr.,Emil Ekiyor Jr.,NYJ,14,0,1,1060,False,14,17,0,11,Emil,Ekiyor Jr.,3411.0,3409.0,10.0,17.0,Signed,89.0,0.0,0.0,NYJ,tier_2,0.9433962264150944,NYJ,6
1480,LG,Quenton,Nelson,Quenton Nelson,NE,15,0,4,990,False,15,21,0,11,Quenton,Nelson,1929.0,1927.0,14.0,21.0,Signed,81.0,0.0,0.0,NE,tier_3,4.040404040404041,NE,1
1481,RG,Jay,Scott,Jay Scott,TEN,15,0,2,1039,False,15,29,0,11,Jay,Scott,2281.0,2279.0,2.0,29.0,Signed,80.0,0.0,0.0,TEN,tier_3,1.9249278152069298,TEN,4
1482,RG,Cory,Hendrix,Cory Hendrix,TB,15,0,6,1109,False,15,5,0,11,Cory,Hendrix,777.0,775.0,5.0,5.0,Signed,76.0,0.0,0.0,TB,tier_4,5.410279531109108,TB,-3
1497,RG,Braeden,Daniels,Braeden Daniels,GB,14,0,4,917,False,14,19,0,11,Braeden,Daniels,3294.0,3292.0,9.0,19.0,Signed,72.0,0.0,0.0,GB,tier_5,4.362050163576881,GB,-1
1517,LG,Steven,Douglas,Steven Douglas,JAX,15,0,4,1107,False,15,16,0,11,Steven,Douglas,1072.0,1070.0,1.0,16.0,Signed,85.0,0.0,0.0,JAX,tier_2,3.6133694670280034,JAX,3
1520,C,Pat,Nowak,Pat Nowak,MIA,12,0,2,832,False,12,11,0,11,Pat,Nowak,1535.0,1533.0,4.0,11.0,Signed,66.0,0.0,0.0,MIA,tier_6,2.403846153846154,MIA,1
1530,RT,Warren,McClendon,Warren McClendon,MIA,15,0,12,1028,False,15,11,0,11,Warren,McClendon,3302.0,3300.0,9.0,11.0,Signed,80.0,0.0,0.0,MIA,tier_3,11.673151750972762,MIA,-3
1544,RT,Ricky,McKinney,Ricky McKinney,LAC,11,0,3,766,False,11,7,0,11,Ricky,McKinney,3127.0,3125.0,2.0,7.0,Signed,62.0,0.0,0.0,LAC,tier_6,3.9164490861618795,LAC,12
1580,C,Jeremiah,Mason,Jeremiah Mason,TB,15,0,2,1182,False,15,5,0,11,Jeremiah,Mason,565.0,563.0,0.0,5.0,Signed,73.0,0.0,0.0,TB,tier_5,1.6920473773265652,TB,4
1587,RG,Derrell,Johnson,Derrell Johnson,LAC,15,0,8,1045,False,15,7,0,11,Derrell,Johnson,3012.0,3010.0,5.0,7.0,Signed,80.0,0.0,0.0,LAC,tier_3,7.655502392344498,LAC,-8
1616,LG,Titus,Givens,Titus Givens,TEN,12,0,6,811,False,12,29,0,11,Titus,Givens,1307.0,1305.0,2.0,29.0,Signed,72.0,0.0,0.0,TEN,tier_5,7.398273736128237,TEN,-1
1627,C,Klay,Donaghy,Klay Donaghy,KC,14,0,4,877,False,14,8,0,11,Klay,Donaghy,1655.0,1653.0,0.0,8.0,Signed,66.0,0.0,0.0,KC,tier_6,4.561003420752566,KC,-2
1633,RT,Roy,Barrett,Roy Barrett,NE,15,0,7,1040,False,15,21,0,11,Roy,Barrett,495.0,493.0,2.0,21.0,Signed,92.0,0.0,0.0,NE,tier_1,6.730769230769231,NE,2
1665,LT,Elijah,Pritchett,Elijah Pritchett,ATL,10,0,3,688,False,10,13,0,11,Elijah,Pritchett,2620.0,2618.0,5.0,13.0,Signed,99.0,0.0,0.0,ATL,tier_0,4.3604651162790695,ATL,3
1712,LT,Caleb,Holloway,Caleb Holloway,SF,10,0,7,636,False,10,14,0,11,Caleb,Holloway,1976.0,1974.0,1.0,14.0,Signed,80.0,0.0,0.0,SF,tier_3,11.0062893081761,SF,1
1726,C,Zhaire,Guyton,Zhaire Guyton,LAC,15,0,4,1116,False,15,7,0,11,Zhaire,Guyton,2560.0,2558.0,3.0,7.0,Signed,96.0,0.0,0.0,LAC,tier_0,3.5842293906810037,LAC,-3
1739,LT,Treyvon,Yarborough,Treyvon Yarborough,GB,15,0,14,935,False,15,19,0,11,Treyvon,Yarborough,3702.0,3700.0,3.0,19.0,Signed,83.0,0.0,0.0,GB,tier_3,14.973262032085561,GB,0
1741,C,Charlie,English,Charlie English,PHI,15,1,2,674,False,15,12,0,11,Charlie,English,722.0,720.0,4.0,12.0,Signed,66.0,0.0,0.0,PHI,tier_6,2.967359050445104,PHI,1
1761,LG,Kamron,Scott,Kamron Scott,DEN,11,0,8,741,False,11,3,0,11,Kamron,Scott,2068.0,2066.0,6.0,3.0,Signed,70.0,0.0,0.0,DEN,tier_5,10.79622132253711,DEN,-6
1766,LT,Seth,Windham,Seth Windham,CIN,10,0,6,603,False,10,1,0,11,Seth,Windham,3114.0,3112.0,1.0,1.0,Signed,72.0,0.0,0.0,CIN,tier_5,9.950248756218905,CIN,0
1777,C,Skylar,Baker,Skylar Baker,DEN,14,0,3,887,False,14,3,0,11,Skylar,Baker,85.0,83.0,1.0,3.0,Signed,70.0,0.0,0.0,DEN,tier_5,3.3821871476888385,DEN,-1
1782,RT,Tristan,Wirfs,Tristan Wirfs,TB,15,0,10,1113,False,15,5,0,11,Tristan,Wirfs,2911.0,2909.0,12.0,5.0,Signed,88.0,0.0,0.0,TB,tier_2,8.984725965858042,TB,1
1786,C,Morris,Thornton,Morris Thornton,NYJ,15,0,2,942,False,15,17,0,11,Morris,Thornton,1232.0,1230.0,1.0,17.0,Signed,69.0,0.0,0.0,NYJ,tier_6,2.1231422505307855,NYJ,1
