Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
112,TE,Cornelius,Forrest Jr.,Cornelius Forrest Jr.,CHI,0,0,0,0,16,11,407,10,True,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,15,4,0,0,0,Cornelius,Forrest Jr.,1488.0,1486.0,0.0,Signed,63.0,0.0,0.0,CHI,tier_6,39.31203931203931,0.0,0.0,CHI,-3.0
119,TE,Foster,Moreau,Foster Moreau,CIN,0,0,5,0,775,22,1147,402,True,0,0,0,0,70,0,0,6,0,0,0,0,0,0,0,4,15,15,0,1,0,Foster,Moreau,1865.0,1863.0,1.0,Signed,70.0,6.0,0.0,CIN,tier_5,675.6756756756756,0.26666666666666666,3.4873583260680037,CIN,4.0
121,WR,Ja'Marr,Chase,Ja'Marr Chase,CIN,27,0,0,0,1013,48,960,338,True,0,9,0,0,72,0,0,6,4,0,0,0,0,0,0,13,15,15,0,1,0,Ja'Marr,Chase,444.0,442.0,1.0,Signed,98.0,0.0,2.0,CIN,tier_0,1083.3333333333333,0.8666666666666667,13.541666666666668,CIN,-2.0
133,WR,Tee,Higgins,Tee Higgins,CIN,11,0,0,0,1176,44,876,471,True,0,3,0,0,91,0,0,6,4,0,0,0,0,0,0,14,15,15,0,1,0,Tee,Higgins,1161.0,1159.0,1.0,Signed,93.0,3.0,0.0,CIN,tier_1,1355.0228310502284,0.9333333333333333,15.981735159817351,CIN,3.0
140,QB,Joe,Burrow,Joe Burrow,CIN,182,4356,0,73,0,0,991,0,True,372,46,563,11,0,0,2,6,52,48,2,0,0,22,40,0,15,15,2,1,3,Joe,Burrow,359.0,357.0,1.0,Signed,92.0,5.0,0.0,CIN,tier_1,183.65287588294652,0.2,3.0272452068617555,,
144,QB,C.J.,Stroud,C.J. Stroud,TB,320,3673,0,38,0,0,1011,0,True,321,87,536,15,0,0,3,6,30,71,1,0,0,45,21,0,15,15,7,5,2,C.J.,Stroud,2926.0,2924.0,5.0,Signed,77.0,0.0,2.0,TB,tier_4,316.5182987141444,0.13333333333333333,1.9782393669634024,,
148,QB,Dylan,Lonergan,Dylan Lonergan,HOU,63,1888,0,0,0,0,532,0,True,158,20,263,11,0,0,0,6,4,26,0,0,0,34,14,0,15,9,7,31,0,Dylan,Lonergan,150.0,148.0,31.0,Signed,63.0,4.0,0.0,HOU,tier_6,118.42105263157895,0.0,0.0,,
153,TE,Tyrus,Washington,Tyrus Washington,HOU,4,0,0,0,137,16,535,95,True,0,1,0,0,16,0,0,6,4,0,0,0,0,0,0,3,15,3,0,31,0,Tyrus,Washington,2283.0,2281.0,31.0,Signed,74.0,0.0,1.0,HOU,tier_5,263.5514018691589,0.2,5.607476635514018,HOU,1.0
169,HB,Micah,Bell,Micah Bell,BUF,18,0,0,0,13,6,263,18,True,0,8,0,0,4,0,0,6,4,0,0,0,0,0,0,0,15,4,0,2,0,Micah,Bell,1832.0,1830.0,2.0,Signed,70.0,0.0,1.0,BUF,tier_5,117.87072243346007,0.0,0.0,BUF,-3.0
172,HB,Rueben,Owens,Rueben Owens,HOU,1099,0,1,390,250,22,761,193,True,0,259,0,0,35,0,11,6,65,0,13,0,0,0,0,1,15,15,0,31,6,Rueben,Owens,68.0,66.0,31.0,Signed,80.0,1.0,0.0,HOU,tier_3,1772.6675427069645,0.4666666666666667,9.198423127463863,HOU,1.0
178,WR,Terry,McLaurin,Terry McLaurin,HOU,-2,0,0,0,855,27,936,328,True,0,1,0,0,69,0,0,6,0,0,0,0,0,0,0,6,15,15,0,31,0,Terry,McLaurin,1765.0,1763.0,31.0,Signed,82.0,1.0,0.0,HOU,tier_3,911.3247863247863,0.4,6.41025641025641,HOU,-1.0
188,TE,Cade,Otton,Cade Otton,HOU,0,0,3,0,509,22,1084,210,True,0,0,0,0,44,0,0,6,0,0,1,0,0,0,0,5,15,15,0,31,0,Cade,Otton,3392.0,3390.0,31.0,Signed,81.0,0.0,3.0,HOU,tier_3,469.55719557195573,0.3333333333333333,4.612546125461255,HOU,-1.0
190,WR,Carnell,Tate,Carnell Tate,ARI,0,0,0,0,305,27,391,124,True,0,0,0,0,25,0,0,6,0,0,0,0,0,0,0,1,10,8,0,6,0,Carnell,Tate,686.0,684.0,6.0,Signed,72.0,0.0,1.0,ARI,tier_5,780.0511508951406,0.1,2.557544757033248,ARI,-1.0
198,TE,Juwan,Johnson,Juwan Johnson,ARI,0,0,0,0,43,13,455,24,True,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,15,4,0,6,0,Juwan,Johnson,1381.0,1379.0,6.0,Signed,64.0,0.0,0.0,ARI,tier_6,94.5054945054945,0.0,0.0,ARI,-2.0
208,HB,Trey,Sermon,Trey Sermon,ARI,888,0,0,384,207,18,532,169,True,0,188,0,0,22,0,7,6,74,0,12,0,0,0,0,0,15,15,1,6,4,Trey,Sermon,2346.0,2344.0,6.0,Signed,82.0,0.0,0.0,ARI,tier_3,2058.270676691729,0.26666666666666666,7.518796992481203,ARI,4.0
222,HB,Devon,Starling,Devon Starling,ARI,251,0,1,57,154,23,376,96,True,0,83,0,0,19,0,2,6,35,0,2,0,0,0,0,0,11,11,0,6,2,Devon,Starling,1727.0,1725.0,6.0,Signed,77.0,0.0,2.0,ARI,tier_4,1077.127659574468,0.18181818181818182,5.319148936170213,ARI,-3.0
236,WR,DeAndre,Hopkins,DeAndre Hopkins,MIN,4,0,0,0,660,26,827,232,True,0,1,0,0,53,0,0,6,4,0,1,0,0,0,0,3,15,15,0,30,0,DeAndre,Hopkins,1215.0,1213.0,30.0,Signed,80.0,0.0,4.0,MIN,tier_3,802.9020556227327,0.2,3.6275695284159615,MIN,-2.0
244,WR,Jalen,Tolbert,Jalen Tolbert,MIN,4,0,1,0,252,23,235,100,True,0,1,0,0,21,0,0,6,4,0,0,0,0,0,0,3,14,14,0,30,0,Jalen,Tolbert,3379.0,3377.0,30.0,Signed,78.0,0.0,5.0,MIN,tier_4,1089.3617021276596,0.21428571428571427,12.76595744680851,MIN,5.0
246,TE,Moliki,Matavao,Moliki Matavao,MIN,3,0,0,0,68,11,527,65,True,0,1,0,0,10,0,0,6,3,0,1,0,0,0,0,0,15,4,0,30,1,Moliki,Matavao,1242.0,1240.0,30.0,Signed,72.0,0.0,3.0,MIN,tier_5,134.7248576850095,0.06666666666666667,1.8975332068311195,MIN,-3.0
252,QB,Russell,Wilson,Russell Wilson,MIN,199,2770,0,18,0,0,806,0,True,249,55,404,13,0,0,0,6,19,42,3,0,0,44,12,0,14,14,1,30,0,Russell,Wilson,2896.0,2894.0,30.0,Signed,85.0,0.0,4.0,MIN,tier_2,246.8982630272953,0.0,0.0,,
253,QB,Kyler,Murray,Kyler Murray,CAR,533,3365,0,202,0,0,980,0,True,301,97,498,16,0,0,6,6,46,35,8,0,0,38,20,0,15,15,7,20,3,Kyler,Murray,1903.0,1901.0,20.0,Signed,80.0,0.0,4.0,CAR,tier_3,543.8775510204082,0.2,3.061224489795918,,
257,TE,Carsen,Ryan,Carsen Ryan,CAR,0,0,0,0,36,19,327,20,True,0,0,0,0,3,0,0,6,0,0,2,0,0,0,0,0,15,4,0,20,0,Carsen,Ryan,1272.0,1270.0,20.0,Signed,62.0,0.0,0.0,CAR,tier_6,110.09174311926606,0.0,0.0,CAR,-2.0
282,WR,Shelton,Sampson Jr,Shelton Sampson Jr,CAR,8,0,1,0,575,27,686,222,True,0,2,0,0,53,0,0,6,4,0,1,0,0,0,0,5,15,15,0,20,0,Shelton,Sampson Jr,3020.0,3018.0,20.0,Signed,74.0,2.0,0.0,CAR,tier_5,849.8542274052478,0.3333333333333333,7.288629737609329,CAR,3.0
284,TE,Isaac,Rex,Isaac Rex,CAR,0,0,1,0,115,19,331,55,True,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,11,3,0,20,0,Isaac,Rex,1005.0,1003.0,20.0,Signed,66.0,1.0,0.0,CAR,tier_6,347.4320241691843,0.0,0.0,CAR,0.0
285,WR,Xavier,Worthy,Xavier Worthy,CAR,4,0,0,0,966,26,916,363,True,0,1,0,0,72,0,0,6,4,0,0,0,0,0,0,7,15,15,0,20,0,Xavier,Worthy,1652.0,1650.0,20.0,Signed,84.0,1.0,0.0,CAR,tier_3,1058.9519650655022,0.4666666666666667,7.641921397379912,CAR,2.0
289,WR,Julian,Fleming,Julian Fleming,CAR,4,0,0,0,723,28,974,246,True,0,1,0,0,56,0,0,6,4,0,2,0,0,0,0,5,15,15,1,20,0,Julian,Fleming,3286.0,3284.0,20.0,Signed,84.0,0.0,1.0,CAR,tier_3,746.4065708418891,0.3333333333333333,5.133470225872689,CAR,-4.0
293,TE,Tommy,Tremble,Tommy Tremble,CAR,0,0,2,0,573,35,1043,247,True,0,0,0,0,54,0,0,6,0,0,4,0,0,0,0,1,15,15,0,20,0,Tommy,Tremble,2660.0,2658.0,20.0,Signed,83.0,0.0,4.0,CAR,tier_3,549.3767976989453,0.06666666666666667,0.9587727708533077,CAR,-5.0
303,WR,Jerry,Jeudy,Jerry Jeudy,ARI,22,0,1,0,496,25,605,170,True,0,6,0,0,36,0,0,6,4,0,0,0,0,0,0,1,11,11,0,6,0,Jerry,Jeudy,1357.0,1355.0,6.0,Signed,78.0,0.0,4.0,ARI,tier_4,856.198347107438,0.09090909090909091,1.6528925619834711,ARI,-4.0
304,TE,Austin,Stonger,Austin Stonger,ARI,0,0,4,0,517,21,1067,267,True,0,0,0,0,56,0,0,6,0,0,2,0,0,0,0,5,15,15,0,6,0,Austin,Stonger,3233.0,3231.0,6.0,Signed,70.0,2.0,0.0,ARI,tier_5,484.5360824742268,0.3333333333333333,4.686035613870665,ARI,3.0
305,FB,Ben,Mason,Ben Mason,SEA,4,0,0,0,9,5,392,9,True,0,1,1,1,3,0,0,6,4,0,0,0,0,0,0,0,15,4,0,27,0,Ben,Mason,1703.0,1701.0,27.0,Signed,71.0,0.0,0.0,SEA,tier_5,33.163265306122454,0.0,0.0,,
306,WR,Jalen,Reagor,Jalen Reagor,ARI,19,0,1,0,969,24,953,340,True,0,5,0,0,69,0,0,6,4,0,0,0,0,0,0,6,15,15,0,6,0,Jalen,Reagor,2178.0,2176.0,6.0,Signed,82.0,1.0,0.0,ARI,tier_3,1036.726128016789,0.4,6.295907660020987,ARI,1.0
308,HB,TreVonte,Citizen,TreVonte Citizen,DET,1077,0,3,542,298,25,674,231,True,0,228,0,0,29,0,11,6,68,0,17,0,0,0,0,1,15,15,0,18,3,TreVonte,Citizen,702.0,700.0,18.0,Signed,84.0,2.0,0.0,DET,tier_3,2040.0593471810091,0.26666666666666666,5.934718100890208,DET,2.0
330,QB,Malik,Willis,Malik Willis,PHI,374,2551,0,34,0,0,617,0,True,165,56,314,15,0,0,2,6,24,75,2,0,0,33,21,0,13,13,5,12,4,Malik,Willis,3358.0,3356.0,12.0,Signed,70.0,2.0,0.0,PHI,tier_5,606.158833063209,0.3076923076923077,6.482982171799027,,
334,FB,Jeremiah,Hall,Jeremiah Hall,JAX,6,0,0,0,24,9,329,34,True,0,2,0,0,6,0,0,6,3,0,0,0,0,0,0,1,15,3,0,16,0,Jeremiah,Hall,3546.0,3544.0,16.0,Signed,79.0,0.0,0.0,JAX,tier_4,91.1854103343465,0.06666666666666667,3.0395136778115504,,
338,QB,Jalen,Milroe,Jalen Milroe,DET,308,3462,0,34,0,0,989,0,True,292,84,517,16,0,0,1,6,31,40,2,0,0,38,21,0,15,15,9,18,2,Jalen,Milroe,1591.0,1589.0,18.0,Signed,81.0,0.0,3.0,DET,tier_3,311.4256825075834,0.13333333333333333,2.0222446916076846,,
343,WR,Jalen,McMillian,Jalen McMillian,DET,9,0,0,0,900,27,989,343,True,0,4,0,0,72,0,0,6,4,0,0,0,0,0,0,5,15,15,0,18,0,Jalen,McMillian,3241.0,3239.0,18.0,Signed,86.0,1.0,0.0,DET,tier_2,919.1102123356926,0.3333333333333333,5.055611729019211,DET,-3.0
350,WR,Tre'Quan,Smith,Tre'Quan Smith,DET,0,0,2,0,258,22,246,96,True,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,12,5,0,18,0,Tre'Quan,Smith,2452.0,2450.0,18.0,Signed,68.0,1.0,0.0,DET,tier_6,1048.780487804878,0.0,0.0,DET,5.0
361,TE,T.J.,Hockenson,T.J. Hockenson,DET,0,0,4,0,668,40,1124,279,True,0,0,0,0,57,0,0,6,0,0,2,0,0,0,0,8,15,15,0,18,0,T.J.,Hockenson,1187.0,1185.0,18.0,Signed,74.0,10.0,0.0,DET,tier_5,594.306049822064,0.5333333333333333,7.117437722419928,DET,5.0
374,QB,Trey,Lance,Trey Lance,SF,253,3943,0,60,0,0,1009,0,True,341,65,532,7,0,0,1,6,61,45,2,0,0,34,26,0,15,15,5,14,2,Trey,Lance,1543.0,1541.0,14.0,Signed,83.0,0.0,0.0,SF,tier_3,250.74331020812684,0.13333333333333333,1.9821605550049552,,
378,TE,Hunter,Bryant,Hunter Bryant,CIN,4,0,1,0,61,15,514,34,True,0,1,0,0,9,0,0,6,4,0,0,0,0,0,0,3,15,4,0,1,0,Hunter,Bryant,340.0,338.0,1.0,Signed,55.0,1.0,0.0,CIN,tier_6,126.45914396887159,0.2,5.836575875486381,CIN,3.0
385,HB,Mar'Keise,Irving,Mar'Keise Irving,CIN,780,0,1,389,205,21,531,163,True,0,167,0,0,26,0,8,6,75,0,10,0,0,0,0,1,10,10,0,1,5,Mar'Keise,Irving,1176.0,1174.0,1.0,Signed,83.0,5.0,0.0,CIN,tier_3,1854.9905838041432,0.6,11.299435028248588,CIN,5.0
386,TE,Levi,Gazarek,Levi Gazarek,SF,7,0,0,0,49,17,281,23,True,0,3,0,0,5,0,0,6,3,0,0,0,0,0,0,0,15,5,0,14,1,Levi,Gazarek,945.0,943.0,14.0,Signed,59.0,0.0,0.0,SF,tier_6,199.288256227758,0.06666666666666667,3.558718861209964,SF,2.0
391,HB,Alton,McCaskill,Alton McCaskill,SF,514,0,1,156,166,19,451,114,True,0,145,0,0,21,0,4,6,38,0,8,0,0,0,0,0,12,9,0,14,4,Alton,McCaskill,1199.0,1197.0,14.0,Signed,75.0,1.0,0.0,SF,tier_4,1507.760532150776,0.3333333333333333,8.869179600886918,SF,1.0
396,WR,Emeka,Egubka,Emeka Egubka,SF,8,0,1,0,926,28,774,350,True,0,2,0,0,69,0,0,6,4,0,1,0,0,0,0,7,12,12,0,14,0,Emeka,Egubka,2784.0,2782.0,14.0,Signed,88.0,4.0,0.0,SF,tier_2,1206.71834625323,0.5833333333333334,9.04392764857881,SF,3.0
399,HB,Jarquez,Hunter,Jarquez Hunter,BAL,825,0,2,248,112,14,518,116,True,0,229,0,0,20,0,6,6,71,0,11,0,0,0,0,0,13,13,2,24,7,Jarquez,Hunter,2868.0,2866.0,24.0,Signed,74.0,6.0,0.0,BAL,tier_5,1808.880308880309,0.5384615384615384,13.513513513513514,BAL,5.0
403,WR,Dyami,Brown,Dyami Brown,BAL,0,0,2,0,556,23,563,240,True,0,0,0,0,46,0,0,6,0,0,0,0,0,0,0,3,15,15,0,24,0,Dyami,Brown,311.0,309.0,24.0,Signed,72.0,0.0,0.0,BAL,tier_5,987.5666074600356,0.2,5.328596802841918,BAL,2.0
408,HB,J.K.,Dobbins,J.K. Dobbins,MIN,351,0,1,114,119,19,364,73,True,0,107,0,0,16,0,2,6,65,0,8,0,0,0,0,0,15,7,0,30,1,J.K.,Dobbins,671.0,669.0,30.0,Signed,80.0,0.0,5.0,MIN,tier_3,1291.2087912087914,0.06666666666666667,2.7472527472527473,MIN,-5.0
417,HB,Jaylan,Knighton,Jaylan Knighton,CHI,1069,0,0,382,436,30,737,264,True,0,244,0,0,36,0,9,6,74,0,16,0,0,0,0,1,15,15,0,0,4,Jaylan,Knighton,3242.0,3240.0,0.0,Signed,95.0,0.0,3.0,CHI,tier_0,2042.0624151967436,0.3333333333333333,6.784260515603799,CHI,-4.0
422,TE,J.J.,Pegues,J.J. Pegues,CHI,33,0,0,27,19,7,379,29,True,0,3,0,0,8,0,1,6,31,0,1,0,0,0,0,1,15,4,0,0,1,J.J.,Pegues,2897.0,2895.0,0.0,Signed,61.0,0.0,0.0,CHI,tier_6,137.2031662269129,0.13333333333333333,5.277044854881266,CHI,3.0
424,QB,Justin,Fields,Justin Fields,CHI,343,3563,0,77,0,0,1011,0,True,310,83,523,19,0,0,2,6,43,30,2,0,0,44,20,0,15,15,7,0,3,Justin,Fields,812.0,810.0,0.0,Signed,83.0,0.0,5.0,CHI,tier_3,339.26805143422354,0.2,2.967359050445104,,
435,QB,Zach,Calzada,Zach Calzada,JAX,67,1416,0,0,0,0,392,0,True,117,19,190,4,0,0,0,6,4,30,0,0,0,20,7,0,10,7,4,16,1,Zach,Calzada,3717.0,3715.0,16.0,Signed,59.0,4.0,0.0,JAX,tier_6,170.91836734693877,0.1,2.5510204081632653,,
438,TE,Cole,Kmet,Cole Kmet,CHI,0,0,4,0,511,23,1119,237,True,0,0,0,0,50,0,0,6,0,0,0,0,0,0,0,0,15,15,0,0,0,Cole,Kmet,1514.0,1512.0,0.0,Signed,74.0,0.0,1.0,CHI,tier_5,456.6577301161752,0.0,0.0,CHI,-1.0
439,QB,Tua,Tagovailoa,Tua Tagovailoa,GB,39,649,0,0,0,0,227,0,True,61,12,90,1,0,0,0,6,4,25,1,0,0,10,3,0,15,6,3,19,1,Tua,Tagovailoa,2552.0,2550.0,19.0,Signed,66.0,1.0,0.0,GB,tier_6,171.80616740088107,0.06666666666666667,4.405286343612335,,
440,TE,Miles,Campbell,Miles Campbell,DAL,0,0,0,0,83,17,433,37,True,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,1,15,6,0,10,0,Miles,Campbell,2197.0,2195.0,10.0,Signed,67.0,0.0,0.0,DAL,tier_6,191.68591224018473,0.06666666666666667,2.3094688221709005,DAL,1.0
442,HB,Mark,Fletcher,Mark Fletcher,GB,548,0,0,129,156,18,565,102,True,0,159,0,0,21,0,3,6,70,0,6,0,0,0,0,3,15,8,0,19,4,Mark,Fletcher,1324.0,1322.0,19.0,Signed,80.0,0.0,2.0,GB,tier_3,1246.0176991150443,0.4666666666666667,12.389380530973451,GB,-2.0
452,WR,Jordan,Hudson,Jordan Hudson,GB,8,0,0,0,1045,25,912,417,True,0,2,0,0,85,0,0,6,4,0,0,0,0,0,0,4,15,15,0,19,0,Jordan,Hudson,2481.0,2479.0,19.0,Signed,76.0,4.0,0.0,GB,tier_4,1154.6052631578948,0.26666666666666666,4.385964912280701,GB,1.0
454,TE,Luke,Hasz,Luke Hasz,GB,0,0,0,0,29,9,402,19,True,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,15,4,0,19,0,Luke,Hasz,2412.0,2410.0,19.0,Signed,69.0,0.0,0.0,GB,tier_6,72.13930348258707,0.0,0.0,GB,-3.0
463,WR,Kaden,Prather,Kaden Prather,GB,0,0,0,0,770,26,983,285,True,0,0,0,0,61,0,0,6,0,0,0,0,0,0,0,4,15,15,0,19,0,Kaden,Prather,1468.0,1466.0,19.0,Signed,76.0,0.0,1.0,GB,tier_4,783.3163784333672,0.26666666666666666,4.0691759918616475,GB,-3.0
474,FB,John,Chenal,John Chenal,GB,3,0,0,0,4,4,299,2,True,0,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,15,4,0,19,0,John,Chenal,3742.0,3740.0,19.0,Signed,68.0,0.0,0.0,GB,tier_6,23.41137123745819,0.0,0.0,,
