Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
210,FS,TJ,Carter,TJ Carter,PHI,True,0,0,889,0,33,0,35,0,6,0,0,0,0,0,0,6,0,12,1,1,0,0,15,15,TJ,Carter,3480.0,3478.0,12.0,Signed,84.0,1.0,0.0,PHI,tier_3,1.124859392575928,1.124859392575928,7.874015748031496,76.4904386951631,6.749156355455568,0.0,-0.4,PHI,2
229,MLB,Justin,Flowe,Justin Flowe,JAX,True,32,3,1060,1,36,69,82,1,6,38,3,0,1,0,0,15,0,16,3,1,1,0,15,15,Justin,Flowe,2360.0,2358.0,16.0,Signed,86.0,4.0,0.0,JAX,tier_2,3.7735849056603774,2.830188679245283,17.92452830188679,111.32075471698114,14.150943396226415,3.5849056603773586,1.5333333333333334,JAX,2
234,FS,John,Johnson III,John Johnson III,JAX,True,0,43,1082,0,32,24,33,0,6,12,30,0,2,1,0,4,0,16,0,0,0,0,15,15,John,Johnson III,1359.0,1357.0,16.0,Signed,73.0,1.0,0.0,JAX,tier_5,0.0,2.7726432532347505,3.6968576709796674,60.07393715341959,3.6968576709796674,1.1090573012939002,0.5333333333333333,JAX,-1
255,MLB,Nick,Jackson,Nick Jackson,JAX,True,0,15,1057,0,27,46,75,0,6,17,15,0,1,0,0,8,0,16,5,0,5,0,15,3,Nick,Jackson,3193.0,3191.0,16.0,Signed,73.0,7.0,0.0,JAX,tier_5,9.460737937559129,0.9460737937559129,17.029328287606436,96.49952696310312,7.5685903500473035,1.608325449385052,0.6,JAX,3
256,CB,Khris,Jackson,Khris Jackson,SEA,True,0,8,949,0,21,28,39,0,6,15,8,0,1,0,0,4,0,27,0,0,0,0,15,4,Khris,Jackson,1713.0,1711.0,27.0,Signed,76.0,0.0,1.0,SEA,tier_4,0.0,1.053740779768177,4.214963119072708,63.224446786090624,4.214963119072708,1.5806111696522658,0.7333333333333333,SEA,-3
267,LE,Korey,Foreman,Korey Foreman,NO,True,77,0,1049,2,25,32,40,1,6,4,0,0,0,0,0,1,0,26,12,2,10,1,15,15,Korey,Foreman,58.0,56.0,26.0,Signed,80.0,2.0,0.0,NO,tier_3,20.972354623450904,4.7664442326024785,21.9256434699714,61.96377502383222,0.9532888465204957,0.3813155386081983,0.2,NO,-1
268,MLB,Moses,Walker,Moses Walker,SEA,True,0,0,376,0,6,6,5,1,6,0,0,0,0,0,0,0,0,27,1,0,0,0,15,4,Moses,Walker,1892.0,1890.0,27.0,Signed,80.0,0.0,12.0,SEA,tier_3,2.6595744680851063,0.0,2.6595744680851063,29.25531914893617,0.0,0.0,0.0,SEA,-14
295,SS,Jamar,Johnson,Jamar Johnson,SEA,True,0,0,1094,0,29,50,64,1,6,26,0,0,0,0,0,4,0,27,2,0,0,0,15,15,Jamar,Johnson,1377.0,1375.0,27.0,Signed,78.0,0.0,2.0,SEA,tier_4,1.8281535648994516,0.0,5.484460694698354,85.00914076782449,3.656307129798903,2.376599634369287,1.4666666666666666,SEA,-2
301,RE,Zykeivous,Walker,Zykeivous Walker,SEA,True,0,0,493,0,5,8,12,1,6,3,0,0,0,0,0,1,0,27,4,0,0,0,10,6,Zykeivous,Walker,2840.0,2838.0,27.0,Signed,71.0,0.0,2.0,SEA,tier_5,8.113590263691684,0.0,10.141987829614605,34.48275862068965,2.028397565922921,0.6085192697768762,0.2,SEA,-4
309,FS,Joseph,Charleston,Joseph Charleston,SEA,True,45,42,1128,1,15,36,51,1,6,24,26,0,3,0,0,5,0,27,0,1,0,0,15,15,Joseph,Charleston,3183.0,3181.0,27.0,Signed,81.0,0.0,3.0,SEA,tier_3,0.0,4.432624113475177,4.432624113475177,58.51063829787234,4.432624113475177,2.127659574468085,1.2666666666666666,SEA,-1
313,MLB,Shane,Lee,Shane Lee,SEA,True,0,12,1081,0,28,69,86,0,6,46,12,0,1,0,0,11,0,27,2,0,0,0,15,15,Shane,Lee,3300.0,3298.0,27.0,Signed,91.0,0.0,3.0,SEA,tier_1,1.8501387604070305,0.9250693802035153,12.025901942645698,105.45790934320074,10.175763182238668,4.25531914893617,2.3333333333333335,SEA,-3
323,LOLB,Jordyn,Brooks,Jordyn Brooks,SEA,True,0,0,1073,0,30,69,94,0,6,35,0,0,0,0,0,5,0,27,2,0,1,0,15,15,Jordyn,Brooks,293.0,291.0,27.0,Signed,85.0,0.0,3.0,SEA,tier_2,2.7958993476234855,0.0,7.455731593662628,115.56383970177075,4.659832246039143,3.2618825722273996,2.0,SEA,-3
332,CB,Jaire,Alexander,Jaire Alexander,CIN,True,0,115,915,0,20,44,55,1,6,33,41,0,5,1,0,14,0,1,0,0,0,0,14,14,Jaire,Alexander,33.0,31.0,1.0,Signed,88.0,4.0,0.0,CIN,tier_2,0.0,6.557377049180328,15.300546448087431,81.96721311475409,15.300546448087431,3.606557377049181,1.3571428571428572,CIN,4
334,SS,Caleb,Downs,Caleb Downs,NYG,True,0,0,645,0,11,14,24,0,6,12,0,0,0,0,0,4,0,15,0,0,0,0,15,8,Caleb,Downs,2096.0,2094.0,15.0,Signed,68.0,0.0,0.0,NYG,tier_6,0.0,0.0,6.2015503875969,54.263565891472865,6.2015503875969,1.8604651162790697,0.5333333333333333,NYG,-4
357,ROLB,Jaron,Willis,Jaron Willis,SEA,True,0,0,363,0,2,3,4,0,6,0,0,0,0,0,0,0,0,27,0,0,0,0,15,4,Jaron,Willis,2019.0,2017.0,27.0,Signed,63.0,0.0,2.0,SEA,tier_6,0.0,0.0,0.0,16.528925619834713,0.0,0.0,0.0,SEA,-4
366,ROLB,Daniel,Harris,Daniel Harris,NYG,True,0,0,391,0,7,7,10,0,6,2,0,0,0,0,0,1,0,15,1,0,1,0,15,6,Daniel,Harris,221.0,219.0,15.0,Signed,72.0,0.0,2.0,NYG,tier_5,5.115089514066496,0.0,7.672634271099745,43.47826086956522,2.557544757033248,0.5115089514066496,0.06666666666666667,NYG,-2
373,RE,Briceon,Hayes,Briceon Hayes,KC,True,31,0,828,1,20,23,30,1,6,0,0,0,0,0,0,0,0,8,13,2,4,1,15,10,Briceon,Hayes,1650.0,1648.0,8.0,Signed,76.0,0.0,0.0,KC,tier_4,20.531400966183575,4.830917874396135,20.531400966183575,60.386473429951685,0.0,0.0,0.0,KC,0
386,RE,Chandavian,Bradley,Chandavian Bradley,NYG,True,0,0,423,0,7,11,18,0,6,0,0,0,0,0,0,0,0,15,4,1,6,0,15,15,Chandavian,Bradley,426.0,424.0,15.0,Signed,72.0,0.0,2.0,NYG,tier_5,23.64066193853428,2.3640661938534278,23.64066193853428,59.1016548463357,0.0,0.0,0.0,NYG,2
389,MLB,Jackson,Sirmon,Jackson Sirmon,NYG,True,0,24,1025,0,29,37,63,0,6,13,20,0,2,0,0,10,0,15,3,0,2,0,15,6,Jackson,Sirmon,3262.0,3260.0,15.0,Signed,72.0,4.0,0.0,NYG,tier_5,4.878048780487805,1.951219512195122,14.634146341463415,89.7560975609756,9.75609756097561,1.2682926829268293,0.2,NYG,3
414,RE,Viliami,Fehoko,Viliami Fehoko,NYG,True,16,0,718,1,18,20,25,0,6,1,0,2,0,0,0,0,0,15,4,1,12,0,15,9,Viliami,Fehoko,3199.0,3197.0,15.0,Signed,70.0,3.0,0.0,NYG,tier_5,22.284122562674096,5.571030640668524,22.284122562674096,59.888579387186624,0.0,0.1392757660167131,0.06666666666666667,NYG,6
507,CB,Greg,Brooks Jr.,Greg Brooks Jr.,DAL,True,0,31,601,0,9,24,27,0,6,9,16,0,2,0,0,3,0,10,0,0,0,0,10,10,Greg,Brooks Jr.,3224.0,3222.0,10.0,Signed,96.0,0.0,3.0,DAL,tier_0,0.0,3.327787021630616,4.9916805324459235,59.900166389351085,4.9916805324459235,1.497504159733777,0.6,DAL,-3
533,LOLB,Lance,Dixon,Lance Dixon,NYJ,True,0,34,736,0,15,31,38,1,6,19,34,0,1,0,0,3,0,17,1,0,0,0,10,2,Lance,Dixon,576.0,574.0,17.0,Signed,79.0,0.0,2.0,NYJ,tier_4,1.358695652173913,1.358695652173913,5.434782608695652,72.01086956521739,4.076086956521739,2.5815217391304346,1.6,NYJ,-3
615,CB,Sean,Murphy-Bunting,Sean Murphy-Bunting,TB,True,0,57,715,0,13,29,38,1,6,13,30,0,3,0,0,4,0,5,0,0,2,0,11,11,Sean,Murphy-Bunting,1898.0,1896.0,5.0,Signed,78.0,1.0,0.0,TB,tier_4,2.797202797202797,4.195804195804196,8.391608391608392,71.32867132867132,5.594405594405594,1.8181818181818181,0.8181818181818182,TB,0
634,DT,Tiaoalii,Savea,Tiaoalii Savea,LAC,True,0,0,700,0,14,17,22,0,6,0,0,0,0,0,0,0,0,7,7,0,2,0,11,11,Tiaoalii,Savea,1095.0,1093.0,7.0,Signed,80.0,0.0,4.0,LAC,tier_3,12.857142857142858,0.0,12.857142857142858,51.42857142857143,0.0,0.0,0.0,LAC,-6
637,ROLB,Chris,Braswell,Chris Braswell,PHI,True,0,0,478,0,14,0,17,0,6,0,0,0,0,0,0,1,0,12,7,0,8,0,13,13,Chris,Braswell,2439.0,2437.0,12.0,Signed,80.0,0.0,1.0,PHI,tier_3,31.380753138075313,0.0,33.47280334728033,64.85355648535565,2.092050209205021,0.0,-0.07692307692307693,PHI,0
658,CB,JC,Jackson,JC Jackson,KC,True,0,27,1032,0,21,39,55,1,6,25,19,0,2,0,0,8,0,8,0,0,0,0,15,15,JC,Jackson,1306.0,1304.0,8.0,Signed,80.0,0.0,1.0,KC,tier_3,0.0,1.937984496124031,7.751937984496124,73.64341085271319,7.751937984496124,2.422480620155039,1.1333333333333333,KC,-2
661,MLB,Jerome,Baker,Jerome Baker,MIA,True,0,0,812,0,22,42,57,1,6,21,0,0,1,0,0,5,0,11,3,0,2,0,15,5,Jerome,Baker,119.0,117.0,11.0,Signed,76.0,0.0,2.0,MIA,tier_4,6.157635467980296,1.2315270935960592,12.315270935960593,97.29064039408867,6.157635467980296,2.586206896551724,1.0666666666666667,MIA,-2
669,SS,Lannden,Zanders,Lannden Zanders,TEN,True,0,39,1041,0,22,40,55,0,6,26,39,0,1,0,0,6,0,29,0,0,0,0,15,15,Lannden,Zanders,3132.0,3130.0,29.0,Signed,73.0,0.0,2.0,TEN,tier_5,0.0,0.9606147934678194,5.763688760806916,73.96733909702209,5.763688760806916,2.49759846301633,1.3333333333333333,TEN,-2
681,MLB,Myles,Jack,Myles Jack,TEN,True,0,56,1125,0,27,46,69,1,6,30,37,0,2,1,0,14,0,29,1,0,1,0,15,7,Myles,Jack,1293.0,1291.0,29.0,Signed,72.0,5.0,0.0,TEN,tier_5,1.777777777777778,2.6666666666666665,14.222222222222223,85.33333333333333,12.444444444444443,2.666666666666667,1.0666666666666667,TEN,4
688,DT,Taron,Vincent,Taron Vincent,TEN,True,0,0,514,0,13,14,18,1,6,0,0,0,0,0,0,0,0,29,8,0,1,0,15,15,Taron,Vincent,3282.0,3280.0,29.0,Signed,73.0,0.0,2.0,TEN,tier_5,17.509727626459146,0.0,17.509727626459146,60.311284046692606,0.0,0.0,0.0,TEN,-1
690,LOLB,Will,Anderson,Will Anderson,TEN,True,39,0,1019,1,26,63,69,0,6,21,0,0,0,0,0,2,0,29,10,3,8,1,15,15,Will,Anderson,394.0,392.0,29.0,Signed,96.0,0.0,0.0,TEN,tier_0,17.664376840039257,4.906771344455349,19.627085377821395,93.22865554465162,1.9627085377821392,2.060843964671246,1.2666666666666666,TEN,0
712,SS,Jaquan,Brisker,Jaquan Brisker,CLE,True,0,0,1051,0,28,44,63,0,6,29,0,0,0,0,0,6,0,4,2,0,0,0,15,15,Jaquan,Brisker,3343.0,3341.0,4.0,Signed,77.0,0.0,2.0,CLE,tier_4,1.9029495718363465,0.0,7.611798287345386,86.58420551855376,5.708848715509039,2.759276879162702,1.5333333333333334,CLE,0
716,ROLB,Wesley,Bissainthe,Wesley Bissainthe,TEN,True,0,0,435,0,6,4,5,1,6,0,0,0,0,0,0,0,0,29,0,0,0,0,15,5,Wesley,Bissainthe,2943.0,2941.0,29.0,Signed,66.0,0.0,1.0,TEN,tier_6,0.0,0.0,0.0,25.28735632183908,0.0,0.0,0.0,TEN,-2
719,CB,Davison,Igbinosun,Davison Igbinosun,TEN,True,22,49,504,1,7,17,21,1,6,14,37,0,3,0,0,0,0,29,0,1,0,1,13,3,Davison,Igbinosun,869.0,867.0,29.0,Signed,72.0,1.0,0.0,TEN,tier_5,0.0,11.904761904761903,0.0,55.55555555555555,0.0,2.7777777777777777,1.0769230769230769,TEN,3
722,SS,Kolby,Harvell-Peel,Kolby Harvell-Peel,TEN,True,0,0,343,0,7,1,1,0,6,0,0,0,0,0,0,2,0,29,0,0,0,0,15,4,Kolby,Harvell-Peel,3372.0,3370.0,29.0,Signed,72.0,0.0,0.0,TEN,tier_5,0.0,0.0,5.830903790087463,23.323615160349853,5.830903790087463,0.0,-0.13333333333333333,TEN,-6
766,CB,Jakailin,Johnson,Jakailin Johnson,TEN,True,52,85,997,1,24,43,59,1,6,21,37,0,4,2,0,11,0,29,0,1,0,0,15,7,Jakailin,Johnson,1459.0,1457.0,29.0,Signed,77.0,2.0,0.0,TEN,tier_4,0.0,8.02407221664995,11.033099297893681,83.24974924774322,11.033099297893681,2.106318956870612,0.6666666666666666,TEN,5
772,DT,McKinnley,Jackson,McKinnley Jackson,TEN,True,29,0,518,1,13,17,25,0,6,0,0,0,0,0,0,0,0,29,9,1,6,0,15,4,McKinnley,Jackson,2573.0,2571.0,29.0,Signed,69.0,5.0,0.0,TEN,tier_6,28.957528957528957,3.8610038610038613,28.957528957528957,73.35907335907336,0.0,0.0,0.0,TEN,7
788,ROLB,Dallas,Turner,Dallas Turner,TEN,True,0,0,454,0,10,6,10,1,6,0,0,0,0,0,0,0,0,29,1,0,0,0,12,3,Dallas,Turner,601.0,599.0,29.0,Signed,73.0,0.0,1.0,TEN,tier_5,2.2026431718061676,0.0,2.2026431718061676,44.05286343612335,0.0,0.0,0.0,TEN,-6
792,CB,C.J.,Henderson,C.J. Henderson,TEN,True,0,63,1010,0,29,36,42,0,6,22,36,0,2,1,0,16,0,29,0,1,1,0,15,15,C.J.,Henderson,1135.0,1133.0,29.0,Signed,85.0,3.0,0.0,TEN,tier_2,0.9900990099009901,3.9603960396039604,16.831683168316832,70.2970297029703,15.841584158415841,2.178217821782178,0.4,TEN,2
796,MLB,Christian,Harris,Christian Harris,TEN,True,0,0,696,0,28,51,60,1,6,32,0,0,0,0,0,5,0,29,2,0,0,0,10,10,Christian,Harris,3333.0,3331.0,29.0,Signed,84.0,0.0,1.0,TEN,tier_3,2.8735632183908044,0.0,10.057471264367816,126.43678160919542,7.183908045977011,4.597701149425287,2.7,TEN,-2
800,CB,Kristian,Fulton,Kristian Fulton,TEN,True,0,0,604,0,13,27,31,1,6,20,0,0,0,0,0,5,0,29,0,0,0,0,10,10,Kristian,Fulton,885.0,883.0,29.0,Signed,91.0,0.0,5.0,TEN,tier_1,0.0,0.0,8.27814569536424,72.8476821192053,8.27814569536424,3.3112582781456954,1.5,TEN,-4
804,ROLB,Harold,Landry III,Harold Landry III,TEN,True,0,8,766,0,16,30,42,1,6,7,8,1,1,0,0,0,0,29,2,0,3,0,13,13,Harold,Landry III,1544.0,1542.0,29.0,Signed,73.0,0.0,0.0,TEN,tier_5,6.5274151436031325,2.6109660574412534,6.5274151436031325,75.71801566579634,0.0,0.9138381201044387,0.5384615384615384,TEN,0
809,CB,Ronald,Pledger,Ronald Pledger,NE,True,25,34,633,1,15,16,23,0,6,10,31,0,2,0,0,3,0,21,0,1,0,0,15,4,Ronald,Pledger,222.0,220.0,21.0,Signed,62.0,3.0,0.0,NE,tier_6,0.0,6.3191153238546605,4.739336492890995,60.031595576619274,4.739336492890995,1.579778830963665,0.4666666666666667,NE,2
823,ROLB,Vincent,Starling,Vincent Starling,SEA,True,0,0,436,0,6,18,23,1,6,13,0,0,0,0,0,2,0,27,0,0,0,0,15,15,Vincent,Starling,37.0,35.0,27.0,Signed,70.0,0.0,1.0,SEA,tier_5,0.0,0.0,4.587155963302752,66.5137614678899,4.587155963302752,2.981651376146789,0.7333333333333333,SEA,-3
835,LOLB,J.J.,Weaver,J.J. Weaver,NE,True,0,0,324,0,1,1,3,0,6,0,0,0,0,0,0,0,0,21,0,0,0,0,15,4,J.J.,Weaver,1356.0,1354.0,21.0,Signed,68.0,0.0,2.0,NE,tier_6,0.0,0.0,0.0,12.345679012345679,0.0,0.0,0.0,NE,-4
846,MLB,Trevin,Wallace,Trevin Wallace,NE,True,16,41,961,1,31,51,60,1,6,20,23,0,2,0,0,13,0,21,5,1,1,0,15,15,Trevin,Wallace,1392.0,1390.0,21.0,Signed,92.0,0.0,0.0,NE,tier_1,6.243496357960457,4.162330905306972,19.771071800208116,94.69302809573361,13.52757544224766,2.081165452653486,0.4666666666666667,NE,-2
847,SS,Asa,Turner,Asa Turner,NE,True,0,47,957,0,24,20,33,0,6,21,25,0,2,1,0,6,0,21,0,0,0,0,15,15,Asa,Turner,3198.0,3196.0,21.0,Signed,74.0,1.0,0.0,NE,tier_5,0.0,3.134796238244514,6.269592476489028,59.56112852664577,6.269592476489028,2.19435736677116,1.0,NE,-1
852,LE,Myles,Murphy,Myles Murphy,NE,True,0,0,959,0,26,40,44,0,6,0,0,0,0,0,0,1,0,21,14,1,8,0,15,15,Myles,Murphy,1276.0,1274.0,21.0,Signed,86.0,0.0,3.0,NE,tier_2,22.940563086548487,1.0427528675703859,23.983315954118872,72.992700729927,1.0427528675703859,0.0,-0.06666666666666667,NE,-2
865,LOLB,Ronnie,Perkins,Ronnie Perkins,NE,True,0,0,910,0,11,50,58,0,6,17,0,0,0,0,0,0,0,21,6,1,8,0,15,15,Ronnie,Perkins,2073.0,2071.0,21.0,Signed,91.0,0.0,5.0,NE,tier_1,15.384615384615385,1.098901098901099,15.384615384615385,75.82417582417582,0.0,1.8681318681318682,1.1333333333333333,NE,-4
874,DT,Christian,Barmore,Christian Barmore,NE,True,18,0,788,1,21,31,37,0,6,0,0,0,0,0,0,0,0,21,14,1,3,0,15,15,Christian,Barmore,134.0,132.0,21.0,Signed,87.0,0.0,0.0,NE,tier_2,21.573604060913706,2.5380710659898473,21.573604060913706,73.60406091370558,0.0,0.0,0.0,NE,0
889,ROLB,Josh,Uche,Josh Uche,NE,True,0,0,826,0,16,38,47,0,6,6,0,0,0,0,0,2,0,21,10,0,9,0,15,15,Josh,Uche,2685.0,2683.0,21.0,Signed,82.0,1.0,0.0,NE,tier_3,23.002421307506054,0.0,25.423728813559325,76.27118644067797,2.4213075060532687,0.7263922518159807,0.26666666666666666,NE,2
891,RE,Chase,Winovich,Chase Winovich,NE,True,0,0,450,0,5,14,20,0,6,0,0,0,0,0,0,0,0,21,8,1,4,0,14,11,Chase,Winovich,2907.0,2905.0,21.0,Signed,71.0,0.0,1.0,NE,tier_5,26.666666666666668,2.2222222222222223,26.666666666666668,55.55555555555555,0.0,0.0,0.0,NE,5
896,MLB,Drayk,Bowen,Drayk Bowen,CHI,True,0,0,575,0,16,17,22,0,6,12,0,0,0,0,0,3,0,0,0,0,0,0,15,4,Drayk,Bowen,2969.0,2967.0,0.0,Signed,71.0,0.0,3.0,CHI,tier_5,0.0,0.0,5.217391304347826,66.08695652173913,5.217391304347826,2.086956521739131,0.6,CHI,-3
925,CB,Bryce,Hall,Bryce Hall,CHI,True,13,43,1028,1,21,38,48,0,6,20,27,0,2,1,0,2,0,0,2,1,1,0,15,4,Bryce,Hall,1040.0,1038.0,0.0,Signed,77.0,0.0,0.0,CHI,tier_4,2.9182879377431905,4.863813229571985,4.863813229571985,67.12062256809338,1.9455252918287937,1.9455252918287937,1.2,CHI,-1
944,ROLB,Dre,Greenlaw,Dre Greenlaw,CHI,True,0,0,345,0,2,4,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,Dre,Greenlaw,1012.0,1010.0,0.0,Signed,69.0,0.0,2.0,CHI,tier_6,0.0,0.0,0.0,17.391304347826086,0.0,0.2898550724637681,0.06666666666666667,CHI,-4
972,LOLB,Kailep,Edwards,Kailep Edwards,CHI,True,0,0,906,0,24,36,55,0,6,25,0,0,0,0,0,12,0,0,3,0,2,0,15,15,Kailep,Edwards,613.0,611.0,0.0,Signed,77.0,2.0,0.0,CHI,tier_4,5.518763796909493,0.0,18.76379690949227,87.19646799116998,13.245033112582782,2.759381898454746,0.8666666666666667,CHI,-1
979,FS,Zakee,Wheatley,Zakee Wheatley,CHI,True,0,26,1064,0,39,23,39,0,6,16,26,0,1,1,0,4,0,0,0,0,0,0,15,15,Zakee,Wheatley,2866.0,2864.0,0.0,Signed,70.0,2.0,0.0,CHI,tier_5,0.0,1.8796992481203008,3.7593984962406015,73.30827067669172,3.7593984962406015,1.5037593984962405,0.8,CHI,-1
983,CB,Will,Johnson,Will Johnson,CHI,True,0,0,937,0,13,34,42,1,6,25,0,0,0,0,0,12,0,0,0,0,0,0,15,15,Will,Johnson,30.0,28.0,0.0,Signed,87.0,0.0,2.0,CHI,tier_2,0.0,0.0,12.8068303094984,58.69797225186766,12.8068303094984,2.6680896478121667,0.8666666666666667,CHI,-2
987,DT,Quinnen,Williams,Quinnen Williams,CHI,True,18,0,916,1,15,37,40,1,6,0,0,0,0,0,0,0,1,0,12,2,4,1,15,15,Quinnen,Williams,2859.0,2857.0,0.0,Signed,87.0,2.0,0.0,CHI,tier_2,17.46724890829694,5.458515283842795,17.46724890829694,60.043668122270745,0.0,0.0,0.0,CHI,-1
992,CB,Andreas,Keaton,Andreas Keaton,CHI,True,0,9,560,0,6,7,12,1,6,4,9,0,1,0,0,4,0,0,0,0,0,0,15,4,Andreas,Keaton,502.0,500.0,0.0,Signed,71.0,1.0,0.0,CHI,tier_5,0.0,1.7857142857142856,7.142857142857142,32.14285714285714,7.142857142857142,0.7142857142857143,0.0,CHI,-1
