FullName,Position,TeamName,SkillPoint
Trey Smith,RG,KC,6
Turner Corcoran,LT,TB,3
Tyler Biadasz,C,DAL,-4
Tyler Linderbaum,C,ARI,1
Tyre Phillips,LG,BAL,4
Tyrell Crosby,LT,PIT,0
Tyrese Robinson,LG,DAL,1
Tyron Smith,LT,DAL,0
Tytus Howard,LG,NYG,-5
Walker Little,LT,JAX,10
Wanya Morris,LT,CIN,-1
Warren McClendon,RT,GB,-3
Will Hernandez,RG,BUF,3
Will Holden,LT,DET,-4
Wyatt Teller,RG,CLE,0
Zack Martin,RG,DAL,-1
