Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,5-25,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,100-250,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,80-99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,80,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,60-79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,60,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,40-59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,40,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,20-39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,20,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0-20,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,1-5,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.80-0.99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,0.80,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.60-0.79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,0.60,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.40-0.59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,0.40,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.20-0.39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,0.20,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.00-0.19,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-7.0,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,0.00,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,5-25,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,100-250,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,80-99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,80,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,60-79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,60,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,40-59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,40,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,20-39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,20,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0-20,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,1-5,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.80-0.99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,0.80,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.60-0.79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,0.60,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.40-0.59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,0.40,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.20-0.39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,0.20,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.00-0.19,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,0.00,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,5-25,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,100-250,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,80-99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,80,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,60-79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,60,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,40-59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,40,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,20-39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,20,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0-20,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,1-5,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.80-0.99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,0.80,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.60-0.79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,0.60,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.40-0.59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,0.40,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.20-0.39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,0.20,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0.00-0.19,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,0.00,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,5-25,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,100-250,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,80-99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,80,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,60-79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,60,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,40-59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,40,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,20-39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,20,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,0-20,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,1-5,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,0.80-0.99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,0.80,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,0.60-0.79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,0.60,,,,
