FullName,Position,TeamName,RatingTier,StatCheck,value
Frank Darby,WR,ATL,tier_6,ScrimmmageYardsPerGame,11.0
Kyle Pitts,TE,ATL,tier_0,ScrimmmageYardsPerGame,57.0
Calvin Ridley,WR,ATL,tier_2,ScrimmmageYardsPerGame,62.0
Chris Rodriguez Jr,HB,MIN,tier_5,ScrimmmageYardsPerGame,8.0
Jameson Williams,WR,MIN,tier_4,ScrimmmageYardsPerGame,59.0
Tua Tagovailoa,QB,MIN,tier_6,ScrimmmageYardsPerGame,17.0
Drake London,WR,KC,tier_3,ScrimmmageYardsPerGame,53.0
Noah Gray,TE,KC,tier_5,ScrimmmageYardsPerGame,37.0
Clyde Edwards-Helaire,HB,KC,tier_3,ScrimmmageYardsPerGame,88.0
Tyreek Hill,WR,KC,tier_1,ScrimmmageYardsPerGame,81.0
Patrick Mahomes,QB,KC,tier_0,ScrimmmageYardsPerGame,23.0
Preston Williams,WR,CHI,tier_5,ScrimmmageYardsPerGame,49.0
Brett Rypien,QB,CHI,tier_6,ScrimmmageYardsPerGame,0.0
Mitchell Wilcox,TE,CHI,tier_6,ScrimmmageYardsPerGame,3.0
Melvin Gordon III,HB,PHI,tier_5,ScrimmmageYardsPerGame,14.0
Sam LaPorta,TE,BAL,tier_6,ScrimmmageYardsPerGame,2.0
Jake Smith,WR,BAL,tier_5,ScrimmmageYardsPerGame,35.0
Thaddeus Moss,TE,BAL,tier_6,ScrimmmageYardsPerGame,9.0
Tylan Wallace,WR,BAL,tier_5,ScrimmmageYardsPerGame,11.0
Rashod Bateman,WR,BAL,tier_3,ScrimmmageYardsPerGame,67.0
J.K. Dobbins,HB,BAL,tier_2,ScrimmmageYardsPerGame,83.0
Marquise Brown,WR,BAL,tier_3,ScrimmmageYardsPerGame,51.0
Mark Andrews,TE,BAL,tier_1,ScrimmmageYardsPerGame,75.0
Sincere McCormick,HB,TB,tier_4,ScrimmmageYardsPerGame,26.0
Matthew Stafford,QB,TB,tier_4,ScrimmmageYardsPerGame,12.0
Baker Mayfield,QB,CAR,tier_4,ScrimmmageYardsPerGame,7.0
Elijhaa Penny,FB,TB,tier_6,ScrimmmageYardsPerGame,0.0
Khalil Herbert,HB,CHI,tier_4,ScrimmmageYardsPerGame,68.0
Justin Fields,QB,CHI,tier_5,ScrimmmageYardsPerGame,19.0
Darnell Mooney,WR,CHI,tier_3,ScrimmmageYardsPerGame,62.0
Cole Kmet,TE,CHI,tier_3,ScrimmmageYardsPerGame,41.0
Allen Robinson II,WR,CHI,tier_3,ScrimmmageYardsPerGame,65.0
Justin Jefferson,WR,LAC,tier_1,ScrimmmageYardsPerGame,73.0
Kyle Sloter,QB,LAC,tier_6,ScrimmmageYardsPerGame,7.0
Matt Corral,QB,NYJ,tier_3,ScrimmmageYardsPerGame,37.0
TJ Pledger,HB,LAC,tier_6,ScrimmmageYardsPerGame,18.0
Kyren Williams,HB,LAC,tier_5,ScrimmmageYardsPerGame,94.0
Christopher Herndon IV,TE,LAC,tier_5,ScrimmmageYardsPerGame,4.0
Donald Parham Jr,TE,LAC,tier_5,ScrimmmageYardsPerGame,34.0
Khari Blasingame,FB,DEN,tier_5,ScrimmmageYardsPerGame,6.0
Jake Ferguson,TE,DEN,tier_6,ScrimmmageYardsPerGame,2.0
Tanner Morgan,QB,DEN,tier_6,ScrimmmageYardsPerGame,0.0
Javonte Williams,HB,DEN,tier_2,ScrimmmageYardsPerGame,94.0
Albert Okwuegbunam,TE,DEN,tier_5,ScrimmmageYardsPerGame,25.0
Jerry Jeudy,WR,DEN,tier_3,ScrimmmageYardsPerGame,40.0
Michael Gallup,WR,MIA,tier_3,ScrimmmageYardsPerGame,54.0
Courtland Sutton,WR,DEN,tier_3,ScrimmmageYardsPerGame,48.0
Tim Patrick,WR,DEN,tier_4,ScrimmmageYardsPerGame,55.0
Max Borghi,HB,IND,tier_5,ScrimmmageYardsPerGame,6.0
Isaiah Weston,WR,TB,tier_6,ScrimmmageYardsPerGame,2.0
Jacoby Brissett,QB,LAR,tier_6,ScrimmmageYardsPerGame,0.0
Chase Brice,QB,NYJ,tier_6,ScrimmmageYardsPerGame,5.0
Lyn-J Dixon,HB,NYJ,tier_6,ScrimmmageYardsPerGame,23.0
Ryan Nall,HB,DEN,tier_6,ScrimmmageYardsPerGame,30.0
Travell Harris,WR,ARI,tier_6,ScrimmmageYardsPerGame,0.0
Rondale Moore,WR,ARI,tier_3,ScrimmmageYardsPerGame,62.0
Brandon Aiyuk,WR,SF,tier_4,ScrimmmageYardsPerGame,81.0
Karan Higdon,HB,SF,tier_6,ScrimmmageYardsPerGame,24.0
Kyle Juszczyk,FB,SF,tier_4,ScrimmmageYardsPerGame,11.0
Chris Streveler,QB,PIT,tier_6,ScrimmmageYardsPerGame,0.0
Gardner Minshew II,QB,PIT,tier_6,ScrimmmageYardsPerGame,11.0
Isaiah Coulter,WR,PIT,tier_6,ScrimmmageYardsPerGame,6.0
Patrick Ricard,FB,PIT,tier_3,ScrimmmageYardsPerGame,1.0
Najee Harris,HB,PIT,tier_0,ScrimmmageYardsPerGame,105.0
Pat Freiermuth,TE,PIT,tier_5,ScrimmmageYardsPerGame,32.0
Chase Claypool,WR,LAR,tier_3,ScrimmmageYardsPerGame,57.0
Curtis Samuel,WR,WAS,tier_3,ScrimmmageYardsPerGame,48.0
Johnny Wilson,WR,MIA,tier_6,ScrimmmageYardsPerGame,0.0
Miles Sanders,HB,PHI,tier_0,ScrimmmageYardsPerGame,95.0
Charlie Taumoepeau,TE,MIA,tier_6,ScrimmmageYardsPerGame,1.0
CJ Verdel,HB,MIA,tier_4,ScrimmmageYardsPerGame,25.0
Marlon Mack,HB,MIA,tier_4,ScrimmmageYardsPerGame,88.0
Gerald Everett,TE,NYJ,tier_4,ScrimmmageYardsPerGame,44.0
Drew Lock,QB,MIA,tier_6,ScrimmmageYardsPerGame,0.0
Jaylen Waddle,WR,MIA,tier_2,ScrimmmageYardsPerGame,57.0
Hunter Long,TE,MIA,tier_5,ScrimmmageYardsPerGame,2.0
Mike Gesicki,TE,MIA,tier_2,ScrimmmageYardsPerGame,43.0
Masen Wake,FB,DAL,tier_5,ScrimmmageYardsPerGame,1.0
Arik Gilbert,TE,ATL,tier_4,ScrimmmageYardsPerGame,11.0
K.J. Osborn,WR,MIN,tier_5,ScrimmmageYardsPerGame,61.0
Jonathan Taylor,HB,IND,tier_0,ScrimmmageYardsPerGame,75.0
Mo Alie-Cox,TE,IND,tier_5,ScrimmmageYardsPerGame,7.0
John Fitzpatrick,TE,TEN,tier_6,ScrimmmageYardsPerGame,3.0
Bo Nix,QB,TEN,tier_6,ScrimmmageYardsPerGame,1.0
Carson Wentz,QB,TEN,tier_5,ScrimmmageYardsPerGame,11.0
Leddie Brown,HB,TEN,tier_5,ScrimmmageYardsPerGame,30.0
Treylon Burks,WR,TEN,tier_4,ScrimmmageYardsPerGame,70.0
Trishton Jackson,WR,TEN,tier_6,ScrimmmageYardsPerGame,1.0
Briley Moore,TE,TEN,tier_6,ScrimmmageYardsPerGame,30.0
A.J. Brown,WR,TEN,tier_1,ScrimmmageYardsPerGame,52.0
Joey Gatewood,QB,KC,tier_6,ScrimmmageYardsPerGame,1.0
Hudson Henry,TE,KC,tier_5,ScrimmmageYardsPerGame,2.0
Marvin Mims,WR,KC,tier_4,ScrimmmageYardsPerGame,38.0
Damion Willis,WR,LAC,tier_6,ScrimmmageYardsPerGame,0.0
Larry Rountree III,HB,LAC,tier_6,ScrimmmageYardsPerGame,14.0
Tre' McKitty,TE,LAC,tier_6,ScrimmmageYardsPerGame,1.0
Justin Herbert,QB,LAC,tier_2,ScrimmmageYardsPerGame,9.0
Mike Williams,WR,LAC,tier_3,ScrimmmageYardsPerGame,61.0
Kaleb Eleby,QB,WAS,tier_6,ScrimmmageYardsPerGame,6.0
Jalen Hurts,QB,WAS,tier_5,ScrimmmageYardsPerGame,31.0
Jalen Wydermyer,TE,WAS,tier_5,ScrimmmageYardsPerGame,22.0
John Bates,TE,WAS,tier_6,ScrimmmageYardsPerGame,0.0
Dyami Brown,WR,WAS,tier_3,ScrimmmageYardsPerGame,61.0
Antonio Gibson,HB,WAS,tier_2,ScrimmmageYardsPerGame,95.0
Jace Sternberger,TE,WAS,tier_6,ScrimmmageYardsPerGame,27.0
Terry McLaurin,WR,WAS,tier_1,ScrimmmageYardsPerGame,57.0
Austin Hooper,TE,CLE,tier_2,ScrimmmageYardsPerGame,37.0
Brevyn Spann-Ford,TE,HOU,tier_6,ScrimmmageYardsPerGame,3.0
C.J. Stroud,QB,HOU,tier_5,ScrimmmageYardsPerGame,13.0
Myles Gaskin,HB,HOU,tier_5,ScrimmmageYardsPerGame,69.0
Ross Dwelley,TE,HOU,tier_5,ScrimmmageYardsPerGame,47.0
Zach Wilson,QB,PHI,tier_4,ScrimmmageYardsPerGame,28.0
Dom Wood-Anderson,TE,HOU,tier_6,ScrimmmageYardsPerGame,2.0
Kaden Smith,TE,NE,tier_6,ScrimmmageYardsPerGame,3.0
Kyle Phillips,WR,PIT,tier_6,ScrimmmageYardsPerGame,36.0
Irv Smith Jr,TE,MIN,tier_3,ScrimmmageYardsPerGame,28.0
Kellen Mond,QB,MIN,tier_6,ScrimmmageYardsPerGame,0.0
Jake Funk,HB,LAR,tier_6,ScrimmmageYardsPerGame,53.0
Cade Otton,TE,NYJ,tier_5,ScrimmmageYardsPerGame,3.0
Brycen Hopkins,TE,LAR,tier_6,ScrimmmageYardsPerGame,4.0
Cam Akers,HB,LAR,tier_1,ScrimmmageYardsPerGame,102.0
Robert Woods,WR,LAR,tier_3,ScrimmmageYardsPerGame,71.0
Kyle Trask,QB,SF,tier_6,ScrimmmageYardsPerGame,0.0
Noah Togiai,TE,SF,tier_6,ScrimmmageYardsPerGame,6.0
Isaiah Hodgins,WR,SF,tier_6,ScrimmmageYardsPerGame,15.0
Deshaun Watson,QB,MIA,tier_3,ScrimmmageYardsPerGame,19.0
D.J. Chark Jr,WR,NYJ,tier_3,ScrimmmageYardsPerGame,60.0
Trey Lance,QB,SF,tier_4,ScrimmmageYardsPerGame,14.0
Charlie Woerner,TE,SF,tier_6,ScrimmmageYardsPerGame,25.0
Tee Higgins,WR,CIN,tier_2,ScrimmmageYardsPerGame,66.0
Joe Burrow,QB,CIN,tier_3,ScrimmmageYardsPerGame,7.0
Joe Mixon,HB,CIN,tier_1,ScrimmmageYardsPerGame,74.0
Romeo Doubs,WR,IND,tier_5,ScrimmmageYardsPerGame,6.0
Will Fuller V,WR,IND,tier_4,ScrimmmageYardsPerGame,43.0
Christian Kirk,WR,IND,tier_4,ScrimmmageYardsPerGame,60.0
Jameis Winston,QB,IND,tier_5,ScrimmmageYardsPerGame,16.0
Michael Carter,HB,NYJ,tier_3,ScrimmmageYardsPerGame,71.0
Marcus Mariota,QB,IND,tier_6,ScrimmmageYardsPerGame,1.0
Robert Tonyan,TE,IND,tier_4,ScrimmmageYardsPerGame,36.0
Kearis Jackson,WR,NYJ,tier_5,ScrimmmageYardsPerGame,4.0
Kylen Granson,TE,IND,tier_5,ScrimmmageYardsPerGame,3.0
Taylor Heinicke,QB,NE,tier_6,ScrimmmageYardsPerGame,0.0
Michael Pittman Jr,WR,IND,tier_4,ScrimmmageYardsPerGame,48.0
D.J. Moore,WR,CAR,tier_1,ScrimmmageYardsPerGame,79.0
Davis Mills,QB,HOU,tier_6,ScrimmmageYardsPerGame,0.0
Brandin Cooks,WR,HOU,tier_3,ScrimmmageYardsPerGame,57.0
Josh Rosen,QB,NO,tier_6,ScrimmmageYardsPerGame,0.0
Chris Evans,HB,CIN,tier_5,ScrimmmageYardsPerGame,48.0
Sam Howell,QB,NO,tier_4,ScrimmmageYardsPerGame,13.0
Tony Poljan,TE,NO,tier_6,ScrimmmageYardsPerGame,12.0
Dylan Soehner,TE,NO,tier_6,ScrimmmageYardsPerGame,3.0
Kenny Yeboah,TE,PHI,tier_6,ScrimmmageYardsPerGame,5.0
Dez Fitzpatrick,WR,MIN,tier_6,ScrimmmageYardsPerGame,1.0
Quintez Cephus,WR,DET,tier_5,ScrimmmageYardsPerGame,8.0
Derrick Henry,HB,TEN,tier_1,ScrimmmageYardsPerGame,58.0
C.J. Beathard,QB,LAC,tier_6,ScrimmmageYardsPerGame,0.0
Tommy Stevens,TE,DAL,tier_6,ScrimmmageYardsPerGame,2.0
Charlie Kolar,TE,DAL,tier_6,ScrimmmageYardsPerGame,3.0
Zerrick Cooper,QB,DAL,tier_6,ScrimmmageYardsPerGame,0.0
CeeDee Lamb,WR,DAL,tier_2,ScrimmmageYardsPerGame,60.0
Dak Prescott,QB,DAL,tier_2,ScrimmmageYardsPerGame,21.0
Ezekiel Elliott,HB,DAL,tier_3,ScrimmmageYardsPerGame,102.0
Dalton Schultz,TE,DAL,tier_4,ScrimmmageYardsPerGame,34.0
Amari Cooper,WR,DAL,tier_3,ScrimmmageYardsPerGame,72.0
Cooper Kupp,WR,NE,tier_3,ScrimmmageYardsPerGame,67.0
Case Hatch,FB,JAX,tier_6,ScrimmmageYardsPerGame,2.0
Josh Whyle,TE,JAX,tier_6,ScrimmmageYardsPerGame,13.0
Bijan Robinson,HB,JAX,tier_3,ScrimmmageYardsPerGame,44.0
Dwayne Haskins Jr,QB,JAX,tier_6,ScrimmmageYardsPerGame,1.0
John Metchie III,WR,JAX,tier_4,ScrimmmageYardsPerGame,56.0
Maxx Williams,TE,JAX,tier_5,ScrimmmageYardsPerGame,37.0
Auden Tate,WR,JAX,tier_4,ScrimmmageYardsPerGame,50.0
Luke Farrell,TE,JAX,tier_6,ScrimmmageYardsPerGame,1.0
Trevor Lawrence,QB,JAX,tier_3,ScrimmmageYardsPerGame,6.0
James Robinson,HB,JAX,tier_1,ScrimmmageYardsPerGame,90.0
Jay Symonds,FB,ARI,tier_4,ScrimmmageYardsPerGame,1.0
Marquez Callaway,WR,NO,tier_4,ScrimmmageYardsPerGame,49.0
Adam Trautman,TE,NO,tier_4,ScrimmmageYardsPerGame,45.0
Phil Jurkovec,QB,GB,tier_6,ScrimmmageYardsPerGame,0.0
Braden Galloway,TE,GB,tier_5,ScrimmmageYardsPerGame,40.0
Amari Rodgers,WR,GB,tier_4,ScrimmmageYardsPerGame,63.0
Josiah Deguara,TE,GB,tier_5,ScrimmmageYardsPerGame,2.0
Jordan Love,QB,GB,tier_6,ScrimmmageYardsPerGame,10.0
Aaron Jones,HB,GB,tier_3,ScrimmmageYardsPerGame,48.0
Erick All,TE,DET,tier_6,ScrimmmageYardsPerGame,1.0
Mason Rudolph,QB,DET,tier_6,ScrimmmageYardsPerGame,2.0
Pierre Strong Jr,HB,DET,tier_6,ScrimmmageYardsPerGame,1.0
Tre'Quan Smith,WR,DET,tier_4,ScrimmmageYardsPerGame,56.0
Jonathan Ward,HB,DET,tier_6,ScrimmmageYardsPerGame,19.0
Amon-Ra St. Brown,WR,DET,tier_5,ScrimmmageYardsPerGame,46.0
D'Andre Swift,HB,DET,tier_2,ScrimmmageYardsPerGame,103.0
DeVonta Smith,WR,PHI,tier_2,ScrimmmageYardsPerGame,44.0
Jared Goff,QB,DET,tier_5,ScrimmmageYardsPerGame,12.0
Pearse Migl,FB,SEA,tier_6,ScrimmmageYardsPerGame,0.0
Saquon Barkley,HB,SEA,tier_2,ScrimmmageYardsPerGame,109.0
Travis Ranks,QB,SEA,tier_6,ScrimmmageYardsPerGame,0.0
Tyler Davis,TE,MIN,tier_6,ScrimmmageYardsPerGame,1.0
Kelvin Harmon,WR,MIN,tier_5,ScrimmmageYardsPerGame,60.0
Easton Stick,QB,TB,tier_6,ScrimmmageYardsPerGame,0.0
Tony Pollard,HB,TB,tier_2,ScrimmmageYardsPerGame,96.0
Isaiah Likely,TE,TB,tier_6,ScrimmmageYardsPerGame,8.0
Eric Gray,HB,TB,tier_5,ScrimmmageYardsPerGame,1.0
Jaelon Darden,WR,TB,tier_5,ScrimmmageYardsPerGame,18.0
Tyler Johnson,WR,TB,tier_6,ScrimmmageYardsPerGame,29.0
Scotty Miller,WR,TB,tier_4,ScrimmmageYardsPerGame,61.0
O.J. Howard,TE,TB,tier_4,ScrimmmageYardsPerGame,64.0
Mike Evans,WR,TB,tier_2,ScrimmmageYardsPerGame,61.0
Cole Turner,TE,SEA,tier_5,ScrimmmageYardsPerGame,4.0
Dalton Keene,TE,DET,tier_6,ScrimmmageYardsPerGame,28.0
Monte Pottebaum,FB,DET,tier_5,ScrimmmageYardsPerGame,0.0
Chigoziem Okonkwo,FB,CAR,tier_6,ScrimmmageYardsPerGame,3.0
Jaylan Knighton,HB,DAL,tier_4,ScrimmmageYardsPerGame,26.0
Blake Jarwin,TE,PHI,tier_5,ScrimmmageYardsPerGame,5.0
Tyrie Cleveland,WR,CLE,tier_6,ScrimmmageYardsPerGame,0.0
Jalen Reagor,WR,PHI,tier_3,ScrimmmageYardsPerGame,61.0
Aaron Fuller,WR,JAX,tier_6,ScrimmmageYardsPerGame,23.0
Tyquan Thornton,WR,NO,tier_6,ScrimmmageYardsPerGame,5.0
D.K. Metcalf,WR,SEA,tier_0,ScrimmmageYardsPerGame,56.0
Donovan Peoples-Jones,WR,CLE,tier_5,ScrimmmageYardsPerGame,46.0
Van Jefferson,WR,LAR,tier_4,ScrimmmageYardsPerGame,48.0
Garrett Wilson,WR,PHI,tier_2,ScrimmmageYardsPerGame,59.0
John Emery Jr,HB,CAR,tier_5,ScrimmmageYardsPerGame,25.0
Tutu Atwell,WR,LAR,tier_6,ScrimmmageYardsPerGame,17.0
Michael Haupert,HB,NYG,tier_6,ScrimmmageYardsPerGame,1.0
De'Michael Harris,WR,DEN,tier_6,ScrimmmageYardsPerGame,5.0
Nyheim Hines,HB,IND,tier_2,ScrimmmageYardsPerGame,21.0
Olabisi Johnson,WR,TEN,tier_5,ScrimmmageYardsPerGame,41.0
Gary Jennings,WR,SF,tier_5,ScrimmmageYardsPerGame,10.0
Tyler Goodson,HB,CLE,tier_5,ScrimmmageYardsPerGame,33.0
K.J. Hamler,WR,DEN,tier_4,ScrimmmageYardsPerGame,29.0
Freddie Swain,WR,SEA,tier_5,ScrimmmageYardsPerGame,1.0
Ihmir Smith-Marsette,WR,MIN,tier_6,ScrimmmageYardsPerGame,17.0
Bryan Edwards,WR,LV,tier_5,ScrimmmageYardsPerGame,12.0
Isaiah Hill,WR,LAC,tier_6,ScrimmmageYardsPerGame,0.0
Rashard Higgins,WR,LAC,tier_4,ScrimmmageYardsPerGame,54.0
Justice Hill,HB,WAS,tier_4,ScrimmmageYardsPerGame,46.0
Dax Milne,WR,WAS,tier_6,ScrimmmageYardsPerGame,0.0
Joe Reed,WR,DET,tier_6,ScrimmmageYardsPerGame,3.0
Shi Smith,WR,CAR,tier_6,ScrimmmageYardsPerGame,3.0
WanDale Robinson,WR,PHI,tier_6,ScrimmmageYardsPerGame,1.0
Dontay Demus Jr.,WR,NYJ,tier_5,ScrimmmageYardsPerGame,12.0
Erik Ezukanma,WR,PIT,tier_6,ScrimmmageYardsPerGame,0.0
Steven Sims,WR,SF,tier_4,ScrimmmageYardsPerGame,47.0
Stefon Diggs,WR,BUF,tier_0,ScrimmmageYardsPerGame,67.0
Chase Edmonds,HB,WAS,tier_5,ScrimmmageYardsPerGame,30.0
Mohamed Ibrahim,HB,NO,tier_5,ScrimmmageYardsPerGame,96.0
Antonio Nunn,WR,DET,tier_6,ScrimmmageYardsPerGame,2.0
Chris Autman-Bell,WR,CHI,tier_6,ScrimmmageYardsPerGame,0.0
Elijah Moore,WR,NYJ,tier_3,ScrimmmageYardsPerGame,57.0
Deebo Samuel,WR,SF,tier_2,ScrimmmageYardsPerGame,67.0
Jarvis Landry,WR,CLE,tier_4,ScrimmmageYardsPerGame,69.0
George Pickens,WR,PIT,tier_5,ScrimmmageYardsPerGame,35.0
Tyler Boyd,WR,CIN,tier_3,ScrimmmageYardsPerGame,56.0
Trayveon Williams,HB,HOU,tier_6,ScrimmmageYardsPerGame,19.0
Pooka Williams Jr,WR,HOU,tier_6,ScrimmmageYardsPerGame,0.0
Zach Charbonnet,HB,PIT,tier_6,ScrimmmageYardsPerGame,5.0
Ty Fryfogle,WR,GB,tier_6,ScrimmmageYardsPerGame,0.0
Kayshon Boutte,WR,GB,tier_4,ScrimmmageYardsPerGame,48.0
Chuba Hubbard,HB,CAR,tier_4,ScrimmmageYardsPerGame,32.0
Demetric Felton,HB,CLE,tier_5,ScrimmmageYardsPerGame,55.0
Deonte Harris,WR,LV,tier_3,ScrimmmageYardsPerGame,47.0
Javian Hawkins,HB,TB,tier_5,ScrimmmageYardsPerGame,1.0
Brandon Bolden,HB,BAL,tier_6,ScrimmmageYardsPerGame,4.0
K.J. Hill Jr,WR,CAR,tier_6,ScrimmmageYardsPerGame,0.0
Jerrion Ealy,HB,KC,tier_4,ScrimmmageYardsPerGame,33.0
Marquez Stevenson,WR,BUF,tier_5,ScrimmmageYardsPerGame,2.0
Tyler Allgeier,HB,BAL,tier_5,ScrimmmageYardsPerGame,23.0
