Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
173,HB,Breece,Hall,Breece Hall,NYJ,1323,0,2,487,518,33,787,413,True,0,260,0,0,56,0,12,3,55,0,22,0,0,0,0,5,16,16,0,17,13,Breece,Hall,1098.0,1100.0,4.0,25.0,17.0,Signed,XFactor,97.0,0.0,0.0,NYJ,tier_0,2339.2630241423126,1492.0632911392404,1.125,22.87166454891995,NYJ,4.0
198,TE,John,Bates,John Bates,PHI,4,0,1,0,355,21,1004,183,True,0,1,0,0,40,0,0,3,4,0,1,0,0,0,0,3,14,14,0,12,1,John,Bates,169.0,171.0,5.0,28.0,12.0,Signed,Normal,72.0,0.0,0.0,PHI,tier_5,357.56972111553785,1276.09756097561,0.2857142857142857,3.9840637450199203,PHI,-2.0
212,HB,John,Emery Jr.,John Emery Jr.,PHI,357,0,0,75,165,18,359,123,True,0,98,0,0,22,0,3,3,35,0,3,0,0,0,0,1,11,3,0,12,4,John,Emery Jr.,3550.0,3552.0,2.0,25.0,12.0,Signed,Normal,69.0,0.0,0.0,PHI,tier_6,1454.0389972144847,1090.5,0.45454545454545453,13.927576601671309,PHI,3.0
220,QB,Jalen,Hurts,Jalen Hurts,PHI,800,3454,0,369,0,0,1049,0,True,312,146,488,13,0,0,8,3,75,64,14,0,0,26,20,0,16,16,5,12,7,Jalen,Hurts,1355.0,1357.0,6.0,28.0,12.0,Signed,Star,80.0,0.0,0.0,PHI,tier_3,762.6310772163965,1643.835616438356,0.4375,6.673021925643471,,
225,TE,Jake,Ferguson,Jake Ferguson,DAL,0,0,5,0,591,23,1183,303,True,0,0,0,0,58,0,0,3,0,0,1,0,0,0,0,5,16,16,0,10,0,Jake,Ferguson,870.0,872.0,4.0,27.0,10.0,Signed,Normal,75.0,0.0,0.0,DAL,tier_4,499.5773457311919,1467.3103448275863,0.3125,4.22654268808115,DAL,-1.0
258,QB,Tua,Tagovailoa,Tua Tagovailoa,MIA,347,3103,0,173,0,0,791,0,True,255,53,422,7,0,0,5,3,63,68,8,0,0,33,18,0,13,13,5,11,6,Tua,Tagovailoa,2725.0,2727.0,6.0,28.0,11.0,Signed,Star,79.0,0.0,0.0,MIA,tier_4,438.685208596713,1964.1509433962265,0.46153846153846156,7.585335018963337,,
274,HB,Bucky,Irving,Bucky Irving,JAX,359,0,2,45,287,19,518,219,True,0,117,0,0,36,0,1,3,36,0,2,0,0,0,0,1,13,13,0,16,2,Bucky,Irving,3252.0,3254.0,2.0,24.0,16.0,Signed,Normal,75.0,0.0,0.0,JAX,tier_4,1247.104247104247,974.0392156862746,0.23076923076923078,5.7915057915057915,JAX,-6.0
310,QB,Jayden,Daniels,Jayden Daniels,TB,424,2919,0,197,0,0,834,0,True,249,92,409,7,0,0,3,3,92,69,9,0,0,23,22,0,13,13,5,5,4,Jayden,Daniels,3383.0,3385.0,2.0,25.0,5.0,Signed,Normal,73.0,0.0,0.0,TB,tier_5,508.3932853717026,1382.608695652174,0.3076923076923077,4.796163069544364,,
333,TE,Brock,Bowers,Brock Bowers,LAC,0,0,1,0,737,63,1001,297,True,0,0,0,0,59,0,0,3,0,0,2,0,0,0,0,5,14,14,0,7,0,Brock,Bowers,3202.0,3204.0,2.0,23.0,7.0,Signed,Superstar,86.0,0.0,0.0,LAC,tier_2,736.2637362637363,1798.7796610169491,0.35714285714285715,4.995004995004995,LAC,1.0
335,WR,Nico,Collins,Nico Collins,HOU,7,0,0,0,1202,46,1085,509,True,0,1,0,0,104,0,0,3,7,0,1,0,0,0,0,3,16,16,0,31,0,Nico,Collins,550.0,552.0,5.0,27.0,31.0,Signed,Superstar,87.0,0.0,0.0,HOU,tier_2,1114.2857142857142,1668.4571428571428,0.1875,2.7649769585253456,HOU,-2.0
336,WR,Luther,Burden III,Luther Burden III,PIT,-3,0,3,1,1212,77,776,419,True,0,4,0,0,71,0,0,3,2,0,3,0,0,0,0,10,13,13,0,28,0,Luther,Burden III,260.0,262.0,1.0,22.0,28.0,Signed,Superstar,87.0,0.0,0.0,PIT,tier_2,1557.9896907216496,2315.04,0.7692307692307693,12.886597938144329,PIT,8.0
357,WR,Garrett,Wilson,Garrett Wilson,NYJ,66,0,0,58,1193,36,998,518,True,0,3,0,0,88,0,1,3,63,0,12,0,0,0,0,0,16,16,0,17,0,Garrett,Wilson,3089.0,3091.0,4.0,26.0,17.0,Signed,XFactor,95.0,0.0,0.0,NYJ,tier_0,1261.5230460921844,2105.4065934065934,0.0,0.0,NYJ,-6.0
370,TE,Hunter,Henry,Hunter Henry,CIN,0,0,3,0,452,35,1121,237,True,0,0,0,0,38,0,0,3,0,0,0,0,0,0,0,2,16,16,0,1,0,Hunter,Henry,1215.0,1217.0,10.0,31.0,1.0,Signed,Star,77.0,0.0,0.0,CIN,tier_4,403.21141837644956,1712.8421052631577,0.125,1.784121320249777,CIN,-6.0
376,HB,Josh,Jacobs,Josh Jacobs,TB,1173,0,2,363,397,23,790,320,True,0,270,0,0,44,0,8,3,57,0,18,0,0,0,0,2,15,15,5,5,5,Josh,Jacobs,1415.0,1417.0,7.0,28.0,5.0,Signed,Star,80.0,0.0,0.0,TB,tier_3,1987.3417721518986,1302.764331210191,0.4666666666666667,8.860759493670887,TB,-3.0
384,TE,Caden,Prieskorn,Caden Prieskorn,MIA,0,0,3,0,842,68,1239,359,True,0,0,0,0,75,0,0,3,0,0,4,0,0,0,0,5,16,16,0,11,0,Caden,Prieskorn,3239.0,3241.0,2.0,25.0,11.0,Signed,Normal,82.0,0.0,0.0,MIA,tier_3,679.5803066989507,1616.6399999999999,0.3125,4.035512510088781,MIA,2.0
390,QB,Drew,Allar,Drew Allar,DEN,204,3560,0,42,0,0,1080,0,True,313,49,574,11,0,0,1,3,47,62,2,0,0,41,15,0,16,16,8,3,1,Drew,Allar,3193.0,3195.0,1.0,22.0,3.0,Signed,Normal,74.0,0.0,0.0,DEN,tier_5,188.88888888888889,1248.9795918367347,0.0625,0.9259259259259259,,
414,WR,Christian,Kirk,Christian Kirk,CAR,0,0,0,0,1443,65,1000,564,True,0,0,0,0,115,0,0,3,0,0,1,0,0,0,0,8,16,16,0,20,0,Christian,Kirk,1621.0,1623.0,8.0,29.0,20.0,Signed,Star,83.0,0.0,0.0,CAR,tier_3,1443.0,1806.886956521739,0.5,8.0,CAR,8.0
426,QB,Kyler,Murray,Kyler Murray,NYJ,494,3936,0,260,0,0,1065,0,True,331,73,563,20,0,0,6,3,72,66,11,0,0,47,17,0,16,16,8,17,2,Kyler,Murray,2030.0,2032.0,7.0,29.0,17.0,Signed,Star,75.0,0.0,0.0,NYJ,tier_4,463.849765258216,2030.13698630137,0.125,1.8779342723004695,,
430,HB,Samson,Evans,Samson Evans,TB,304,0,1,94,137,20,385,108,True,0,82,0,0,15,0,2,3,52,0,7,0,0,0,0,1,16,1,0,5,3,Samson,Evans,3408.0,3410.0,2.0,26.0,5.0,Signed,Normal,68.0,0.0,0.0,TB,tier_6,1145.4545454545455,1143.5876288659792,0.25,10.38961038961039,TB,1.0
442,WR,Quentin,Johnston,Quentin Johnston,LAC,0,0,1,0,596,29,993,299,True,0,2,0,0,56,0,0,3,0,0,1,0,0,0,0,2,16,16,0,7,0,Quentin,Johnston,1500.0,1502.0,3.0,24.0,7.0,Signed,Normal,75.0,0.0,0.0,LAC,tier_4,600.2014098690836,1479.7241379310344,0.125,2.014098690835851,LAC,-4.0
459,WR,Malachi,Coleman,Malachi Coleman,CHI,6,0,0,0,259,19,410,127,True,0,1,0,0,25,0,0,3,6,0,0,0,0,0,0,1,12,6,0,0,0,Malachi,Coleman,1725.0,1727.0,0.0,22.0,0.0,Signed,Normal,74.0,0.0,0.0,CHI,tier_5,646.3414634146342,1503.6923076923076,0.08333333333333333,2.4390243902439024,CHI,-3.0
461,HB,Peyton,Jones,Peyton Jones,CAR,780,0,0,307,225,20,546,214,True,0,166,0,0,31,0,9,3,49,0,13,0,0,0,0,1,14,11,5,20,3,Peyton,Jones,2797.0,2799.0,0.0,22.0,20.0,Signed,Star,77.0,0.0,0.0,CAR,tier_4,1840.6593406593406,1352.284263959391,0.2857142857142857,7.326007326007326,CAR,-1.0
466,WR,Omarion,Miller,Omarion Miller,LAR,0,0,1,0,434,22,645,187,True,0,0,0,0,38,0,0,3,0,0,0,0,0,0,0,1,12,12,0,23,0,Omarion,Miller,27.0,29.0,0.0,22.0,23.0,Signed,Superstar,76.0,0.0,0.0,LAR,tier_4,672.8682170542636,1644.6315789473683,0.08333333333333333,1.550387596899225,LAR,-6.0
468,HB,Omarion,Hampton,Omarion Hampton,CIN,489,0,0,182,135,20,503,106,True,0,121,0,0,15,0,4,3,60,0,18,0,0,0,0,4,16,16,0,1,2,Omarion,Hampton,2814.0,2816.0,0.0,23.0,1.0,Signed,Normal,73.0,0.0,0.0,CIN,tier_5,1240.5566600397615,1221.6176470588234,0.375,11.928429423459244,CIN,4.0
470,WR,Kobe,Hudson,Kobe Hudson,PIT,0,0,3,0,338,60,458,135,True,0,0,0,0,24,0,0,3,0,0,9,0,0,0,0,2,14,14,1,28,0,Kobe,Hudson,3501.0,3503.0,2.0,25.0,28.0,Signed,Normal,72.0,0.0,0.0,PIT,tier_5,737.9912663755459,2027.9999999999998,0.14285714285714285,4.366812227074235,PIT,-2.0
474,WR,Marvin,Mims Jr,Marvin Mims Jr,DEN,5,0,2,0,723,26,887,286,True,0,3,0,0,57,0,0,3,3,0,5,0,0,0,0,4,13,13,0,3,0,Marvin,Mims Jr,1942.0,1944.0,3.0,24.0,3.0,Signed,Star,80.0,0.0,0.0,DEN,tier_3,820.7440811724915,1760.1999999999998,0.3076923076923077,4.509582863585118,DEN,-1.0
476,WR,Hykeem,Williams,Hykeem Williams,DET,0,0,1,0,598,21,937,227,True,0,0,0,0,51,0,0,3,0,0,0,0,0,0,0,6,14,14,0,18,0,Hykeem,Williams,2214.0,2216.0,0.0,21.0,18.0,Signed,Normal,75.0,0.0,0.0,DET,tier_4,638.2070437566703,1688.4705882352941,0.42857142857142855,6.4034151547492,DET,-2.0
478,WR,Xavier,Worthy,Xavier Worthy,JAX,-1,0,1,0,736,67,1195,299,True,0,1,0,0,66,0,0,3,0,0,4,0,0,0,0,7,16,16,0,16,0,Xavier,Worthy,3274.0,3276.0,2.0,23.0,16.0,Signed,Star,76.0,0.0,0.0,JAX,tier_4,615.0627615062762,1577.373134328358,0.4375,5.857740585774059,JAX,-3.0
479,HB,Jovantae,Barnes,Jovantae Barnes,MIA,610,0,1,283,68,21,395,63,True,0,109,0,0,9,0,6,3,59,0,12,0,0,0,0,0,16,4,0,11,7,Jovantae,Barnes,729.0,731.0,1.0,22.0,11.0,Signed,Normal,74.0,0.0,0.0,MIA,tier_5,1716.4556962025317,1633.8305084745762,0.4375,17.721518987341774,MIA,9.0
480,HB,Cedric,Baxter,Cedric Baxter,DEN,967,0,12,280,453,25,899,315,True,0,255,0,0,59,0,8,3,62,0,13,0,0,0,0,2,16,16,0,3,5,Cedric,Baxter,998.0,1000.0,0.0,21.0,3.0,Signed,Normal,81.0,0.0,0.0,DEN,tier_3,1579.5328142380422,1131.6305732484077,0.4375,7.78642936596218,DEN,-3.0
482,HB,Chuba,Hubbard,Chuba Hubbard,NO,64,0,2,0,166,17,361,102,True,0,24,0,0,17,0,0,3,7,0,0,0,0,0,0,1,15,7,0,26,0,Chuba,Hubbard,1321.0,1323.0,5.0,27.0,26.0,Signed,Star,69.0,0.0,0.0,NO,tier_6,637.1191135734073,1051.3170731707316,0.06666666666666667,2.770083102493075,NO,-3.0
490,WR,J.Michael,Sturdivant,J.Michael Sturdivant,BAL,0,0,1,0,356,43,643,105,True,0,0,0,0,25,0,0,3,0,0,4,0,0,0,0,6,16,16,0,24,0,J.Michael,Sturdivant,3220.0,3222.0,2.0,24.0,24.0,Signed,Normal,73.0,0.0,0.0,BAL,tier_5,553.6547433903577,2050.56,0.375,9.33125972006221,BAL,0.0
491,WR,Deebo,Samuel,Deebo Samuel,ATL,12,0,0,0,676,50,966,275,True,0,6,0,0,58,0,0,3,4,0,3,0,0,0,0,11,16,16,0,13,0,Deebo,Samuel,2458.0,2460.0,7.0,30.0,13.0,Signed,Star,76.0,0.0,0.0,ATL,tier_4,712.2153209109731,1577.2499999999998,0.6875,11.387163561076605,ATL,3.0
495,HB,Jerome,Ford,Jerome Ford,NE,474,0,0,109,135,19,531,101,True,0,129,0,0,17,0,3,3,43,0,7,0,0,0,0,0,16,7,0,21,2,Jerome,Ford,901.0,903.0,4.0,26.0,21.0,Signed,Star,76.0,0.0,0.0,NE,tier_4,1146.8926553672316,1107.123287671233,0.125,3.766478342749529,NE,-4.0
496,HB,Alvin,Kamara,Alvin Kamara,LV,600,0,2,140,183,23,547,140,True,0,166,0,0,24,0,4,3,43,0,10,0,0,0,0,2,15,4,1,22,11,Alvin,Kamara,1579.0,1581.0,9.0,31.0,22.0,Signed,Normal,72.0,0.0,0.0,LV,tier_5,1431.4442413162706,1086.0631578947368,0.8666666666666667,23.76599634369287,LV,5.0
500,WR,Tyreek,Hill,Tyreek Hill,KC,4,0,0,0,882,50,1026,369,True,0,1,0,0,70,0,0,3,4,0,5,0,0,0,0,1,14,14,0,8,0,Tyreek,Hill,1255.0,1257.0,10.0,32.0,8.0,Signed,Superstar,88.0,0.0,0.0,KC,tier_2,863.5477582846004,1805.7464788732393,0.07142857142857142,0.9746588693957114,KC,-7.0
506,WR,Emeka,Egbuka,Emeka Egbuka,BUF,0,0,5,0,644,56,840,268,True,0,0,0,0,56,0,0,3,0,0,1,0,0,0,0,2,14,14,0,2,0,Emeka,Egbuka,3228.0,3230.0,2.0,23.0,2.0,Signed,Normal,74.0,0.0,0.0,BUF,tier_5,766.6666666666667,1656.0000000000002,0.14285714285714285,2.3809523809523814,BUF,-1.0
507,WR,Isaiah,Bond,Isaiah Bond,TEN,0,0,6,0,618,46,892,220,True,0,0,0,0,50,0,0,3,0,0,2,0,0,0,0,3,14,14,0,29,0,Isaiah,Bond,492.0,494.0,1.0,22.0,29.0,Signed,Normal,74.0,0.0,0.0,TEN,tier_5,692.8251121076233,1779.84,0.21428571428571427,3.36322869955157,TEN,-3.0
509,WR,Andre,Greene Jr,Andre Greene Jr,SEA,0,0,2,0,695,42,906,268,True,0,0,0,0,56,0,0,3,0,0,3,0,0,0,0,2,14,14,0,27,0,Andre,Greene Jr,1992.0,1994.0,0.0,21.0,27.0,Signed,Normal,77.0,0.0,0.0,SEA,tier_4,767.1081677704194,1787.1428571428569,0.14285714285714285,2.207505518763797,SEA,-2.0
510,WR,JoJo,Earle,JoJo Earle,TEN,0,0,1,0,384,21,589,151,True,0,0,0,0,35,0,0,3,0,0,3,0,0,0,0,3,14,11,0,29,0,JoJo,Earle,650.0,652.0,1.0,23.0,29.0,Signed,Normal,70.0,0.0,0.0,TEN,tier_5,651.9524617996605,1579.8857142857141,0.21428571428571427,5.093378607809847,TEN,-2.0
512,HB,Raheim,Sanders,Raheim Sanders,SF,916,0,1,279,240,19,655,195,True,0,199,0,0,32,0,6,3,45,0,19,0,0,0,0,2,13,13,0,14,5,Raheim,Sanders,3222.0,3224.0,2.0,24.0,14.0,Signed,Normal,79.0,0.0,0.0,SF,tier_4,1764.8854961832062,1339.2207792207794,0.5384615384615384,10.68702290076336,SF,3.0
515,HB,George,Pettaway,George Pettaway,CAR,76,0,1,25,148,16,286,130,True,0,21,0,0,19,0,1,3,29,0,5,0,0,0,0,1,16,14,0,20,0,George,Pettaway,624.0,626.0,1.0,23.0,20.0,Signed,Normal,66.0,0.0,0.0,CAR,tier_6,783.2167832167833,1102.8,0.0625,3.4965034965034967,CAR,-1.0
516,HB,Montrell,Johnson Jr,Montrell Johnson Jr,LAC,471,0,0,0,154,28,466,125,True,0,143,0,0,18,0,0,3,7,0,2,0,0,0,0,0,12,6,0,7,1,Montrell,Johnson Jr,837.0,839.0,1.0,24.0,7.0,Signed,Normal,79.0,0.0,0.0,LAC,tier_4,1341.2017167381973,1015.3788819875775,0.08333333333333333,2.1459227467811157,LAC,-6.0
517,WR,Evan,Stewart,Evan Stewart,MIN,0,0,3,0,649,40,850,233,True,0,0,0,0,47,0,0,3,0,0,2,0,0,0,0,8,16,9,0,30,0,Evan,Stewart,3138.0,3140.0,1.0,23.0,30.0,Signed,Normal,73.0,0.0,0.0,MIN,tier_5,763.5294117647059,1988.4255319148936,0.5,9.411764705882351,MIN,4.0
519,HB,Mark,Fletcher Jr,Mark Fletcher Jr,PIT,381,0,1,135,319,28,466,236,True,0,113,0,0,37,0,1,3,34,0,15,0,0,0,0,1,10,10,0,28,7,Mark,Fletcher Jr,2910.0,2912.0,0.0,23.0,28.0,Signed,Normal,78.0,0.0,0.0,PIT,tier_4,1502.145922746781,1068.24,0.8,17.167381974248926,PIT,4.0
520,HB,Henry,Parrish Jr.,Henry Parrish Jr.,PHI,279,0,0,148,139,20,269,134,True,0,54,0,0,16,0,3,3,47,0,6,0,0,0,0,0,14,5,0,12,0,Henry,Parrish Jr.,2564.0,2566.0,1.0,25.0,12.0,Signed,Normal,68.0,0.0,0.0,PHI,tier_6,1553.903345724907,1481.657142857143,0.0,0.0,PHI,8.0
521,WR,Roman,Wilson,Roman Wilson,PHI,0,0,4,0,364,23,621,188,True,0,0,0,0,33,0,0,3,0,0,0,0,0,0,0,0,16,12,0,12,0,Roman,Wilson,3387.0,3389.0,2.0,25.0,12.0,Signed,Normal,71.0,0.0,0.0,PHI,tier_5,586.1513687600644,1588.3636363636365,0.0,0.0,PHI,-6.0
523,HB,Rueben,Owens,Rueben Owens,TEN,639,0,2,93,335,21,691,279,True,0,160,0,0,39,0,2,3,38,0,7,0,0,0,0,2,16,16,0,29,3,Rueben,Owens,250.0,252.0,0.0,21.0,29.0,Signed,Star,83.0,0.0,0.0,TEN,tier_3,1409.5513748191026,1205.7286432160804,0.3125,7.23589001447178,TEN,-2.0
524,WR,Jamari,Thrash,Jamari Thrash,CIN,0,0,1,0,537,52,522,211,True,0,0,0,0,41,0,0,3,0,0,0,0,0,0,0,2,16,8,0,1,0,Jamari,Thrash,3334.0,3336.0,2.0,25.0,1.0,Signed,Normal,78.0,0.0,0.0,CIN,tier_4,1028.7356321839081,1886.0487804878046,0.125,3.8314176245210727,CIN,0.0
525,WR,Elijah,Moore,Elijah Moore,BAL,-3,0,4,0,554,52,758,194,True,0,1,0,0,45,0,0,3,0,0,2,0,0,0,0,3,13,13,0,24,0,Elijah,Moore,1980.0,1982.0,5.0,26.0,24.0,Signed,Normal,74.0,0.0,0.0,BAL,tier_5,726.9129287598944,1714.695652173913,0.23076923076923078,3.95778364116095,BAL,-3.0
527,WR,Jalen,Moreno-Cropper,Jalen Moreno-Cropper,NYG,0,0,0,0,255,19,490,111,True,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,1,15,5,0,15,0,Jalen,Moreno-Cropper,1990.0,1992.0,3.0,25.0,15.0,Signed,Normal,68.0,0.0,0.0,NYG,tier_6,520.4081632653061,1468.8,0.06666666666666667,2.0408163265306123,NYG,-2.0
534,WR,Moose,Muhammad III,Moose Muhammad III,CLE,0,0,1,0,692,69,670,234,True,0,0,0,0,50,0,0,3,0,0,0,0,0,0,0,2,16,16,1,4,0,Moose,Muhammad III,858.0,860.0,1.0,25.0,4.0,Signed,Normal,73.0,0.0,0.0,CLE,tier_5,1032.8358208955224,1992.9599999999998,0.125,2.985074626865672,CLE,1.0
535,WR,Antwane,Wells Jr.,Antwane Wells Jr.,CLE,10,0,1,0,584,36,955,244,True,0,3,0,0,48,0,0,3,6,0,2,0,0,0,0,2,14,14,1,4,0,Antwane,Wells Jr.,3328.0,3330.0,2.0,25.0,4.0,Signed,Normal,74.0,0.0,0.0,CLE,tier_5,621.9895287958115,1707.764705882353,0.14285714285714285,2.0942408376963355,CLE,-3.0
536,WR,Squirrel,White,Squirrel White,LAR,1,0,2,0,515,27,1110,241,True,0,1,0,0,47,0,0,3,1,0,6,0,0,0,0,5,16,16,0,23,0,Squirrel,White,512.0,514.0,1.0,22.0,23.0,Signed,Normal,76.0,0.0,0.0,LAR,tier_4,464.8648648648649,1551.25,0.3125,4.504504504504505,LAR,-5.0
539,WR,Raleek,Brown,Raleek Brown,DET,0,0,1,0,605,24,827,242,True,0,0,0,0,51,0,0,3,0,0,4,0,0,0,0,4,16,16,0,18,0,Raleek,Brown,177.0,179.0,0.0,22.0,18.0,Signed,Normal,73.0,0.0,0.0,DET,tier_5,731.5598548972189,1708.2352941176468,0.25,4.836759371221281,DET,-2.0
542,WR,Demario,Douglas,Demario Douglas,NE,1,0,2,0,387,51,579,148,True,0,2,0,0,26,0,0,3,1,0,1,0,0,0,0,3,16,11,0,21,0,Demario,Douglas,734.0,736.0,3.0,25.0,21.0,Signed,Normal,68.0,0.0,0.0,NE,tier_6,670.1208981001728,2001.0,0.1875,5.181347150259067,NE,0.0
547,WR,Treylon,Burks,Treylon Burks,JAX,0,0,6,0,723,30,849,322,True,0,0,0,0,59,0,0,3,0,0,0,0,0,0,0,5,16,16,0,16,0,Treylon,Burks,386.0,388.0,4.0,26.0,16.0,Signed,Normal,75.0,0.0,0.0,JAX,tier_4,851.5901060070671,1764.6101694915253,0.3125,5.889281507656066,JAX,-1.0
